dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,3.0,[ 5  9 13],"[0.46191108010988224, 0.561187676983554, 0.7162050022273435]",[0.45324562 0.58949442 0.69484917],$r$,dfa (short)
Shuffled,3.0,[ 5  9 13],"[0.5139761747308567, 0.6466568187679115, 0.6841318353305584]",[0.52098451 0.6242956  0.69910363],$r$,dfa (short)
Trace,4.0,[ 5  9 13],"[0.5237551031268267, 0.6859832610187939, 0.7952810999663041]",[0.52546079 0.68021216 0.79942503],$r$,dfa (short)
Shuffled,4.0,[ 5  9 13],"[0.46088374030455487, 0.674106517488898, 0.7676516776823578]",[0.46866343 0.64541445 0.78846853],$r$,dfa (short)
Trace,7.0,[ 5  9 13],"[0.4052995761753471, 0.6678265038642167, 0.6896951469936978]",[0.4233006  0.59651855 0.73930584],$r$,dfa (short)
Shuffled,7.0,[ 5  9 13],"[0.4640028085255281, 0.7139976083586855, 0.9311892354368112]",[0.46429418 0.7128339  0.93212408],$r$,dfa (short)
Trace,25.0,[ 5  9 13 17],"[0.4582505280836921, 0.5676586761744062, 0.6090770325082444, 0.6627897536798028]",[0.46389435 0.55201157 0.61546007 0.66630201],$r$,dfa (short)
Shuffled,25.0,[ 5  9 13 17],"[0.3972918267474892, 0.6340720970072439, 0.7843174090345905, 0.8904253496641037]",[0.4087601  0.60435481 0.77185394 0.92266072],$r$,dfa (short)
Trace,26.0,[ 5  9 13 17],"[0.5179000279502494, 0.6338700583875341, 0.6686516152620374, 0.6881318829012532]",[0.53000767 0.60839101 0.66321933 0.70631045],$r$,dfa (short)
Shuffled,26.0,[ 5  9 13 17],"[0.4956219298315168, 0.745970830316477, 0.8965608048983521, 0.929803243569821]",[0.51541856 0.70494153 0.85749502 0.98923257],$r$,dfa (short)
Trace,27.0,[ 5  9 13],"[0.4647476649154392, 0.5901767799337099, 0.6831833803679306]",[0.46497361 0.58943188 0.68371436],$r$,dfa (short)
Shuffled,27.0,[ 5  9 13],"[0.514204214903012, 0.584952851418741, 0.6482501585297615]",[0.51244505 0.59018504 0.64470884],$r$,dfa (short)
Trace,28.0,[ 5  9 13],"[0.4366553037623686, 0.5194992616643922, 0.5719370098077076]",[0.43750384 0.51688522 0.57371459],$r$,dfa (short)
