dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,15.0,[ 5  9 13 17 21 25 29 33],"[0.46010186568210193, 0.6420179814824843, 0.7788125542747492, 0.9035646958132869, 0.9792341529682086, 1.0541078012986702, 1.1418742271303595, 1.1635426816161287]","[0.47444345 0.63580719 0.76360016 0.87275583 0.96961627 1.05758027
 1.13872086 1.21441291]",$r$,dfa (short)
Shuffled,15.0,[ 5  9 13 17 21 25 29 33],"[0.4678805857688307, 0.6723573059246417, 0.8169974520315306, 0.9289584604945653, 0.999685569796992, 1.0739093124856447, 1.1483911800646978, 1.205718971561437]","[0.49070644 0.65553928 0.78575283 0.89678877 0.99519213 1.08446558
 1.16674322 1.24343914]",$r$,dfa (short)
Trace,16.0,[ 5  9 13 17 21 25 29 33],"[0.37683511175945655, 0.5601960928520332, 0.6595124948172002, 0.7230598307574972, 0.769271992206746, 0.8297973284173861, 0.8582781057112021, 0.8507533605458286]","[0.41157362 0.52915371 0.61923754 0.69448974 0.76015049 0.81897711
 0.8726275  0.92218835]",$r$,dfa (short)
Shuffled,16.0,[ 5  9 13 17 21 25 29 33],"[0.42221387150608863, 0.6295558841347682, 0.7932917618188446, 1.0252018633064606, 1.2129187958251395, 1.382430378265085, 1.5719963402659956, 1.7186768305299516]","[0.40794711 0.63631014 0.84033429 1.02935775 1.20773911 1.37797524
 1.54167061 1.69993613]",$r$,dfa (short)
Trace,17.0,[ 5  9 13],"[0.44572725528253926, 0.6080071185822655, 0.6843807193220519]",[0.45100564 0.58968951 0.69738122],$r$,dfa (short)
Shuffled,17.0,[ 5  9 13],"[0.41852709081365874, 0.6093294504182365, 0.6750135481535717]",[0.42722393 0.57762089 0.69757317],$r$,dfa (short)
Trace,18.0,[ 5  9 13],"[0.523574727561162, 0.66403919511413, 0.6968157781388397]",[0.53179935 0.63768255 0.71439438],$r$,dfa (short)
Shuffled,18.0,[ 5  9 13],"[0.49307721581409936, 0.6787742037333305, 0.7665193267782496]",[0.49910798 0.65766789 0.7815598 ],$r$,dfa (short)
Trace,45.0,[ 5  9 13 17],"[0.46621393410416556, 0.594802477005521, 0.6982466268753268, 0.8095937442997841]",[0.46244958 0.60076557 0.70761931 0.79737921],$r$,dfa (short)
Shuffled,45.0,[ 5  9 13 17],"[0.47419486560950735, 0.6655747381117098, 0.8118554090792635, 0.925245228538116]",[0.47731384 0.65907215 0.80648986 0.93444408],$r$,dfa (short)
Trace,46.0,[ 5  9 13 17],"[0.41096557118880245, 0.5622464479238936, 0.6917247762431803, 0.6819327706075523]",[0.4225156  0.54863516 0.64603092 0.72782566],$r$,dfa (short)
Shuffled,46.0,[ 5  9 13 17],"[0.455767086754707, 0.5869339201103897, 0.7105613954652149, 0.7846154048913911]",[0.45485103 0.59296079 0.6999534  0.7899986 ],$r$,dfa (short)
Trace,47.0,[ 5  9 13],"[0.3631122752637107, 0.5408060365840985, 0.573464503896832]",[0.37400431 0.50082819 0.60120644],$r$,dfa (short)
Shuffled,47.0,[ 5  9 13],"[0.47843097863732276, 0.6914568374306789, 0.7485963870121705]",[0.48976739 0.65063501 0.77714991],$r$,dfa (short)
Trace,15.0,[ 5  9 13 17 21 25 29 33],"[0.4188823808425353, 0.6570516535812777, 0.8120510308830172, 0.9274326784281616, 1.0334330292308294, 1.1190518827578615, 1.2038642575683263, 1.2756625750067474]","[0.44693589 0.62688277 0.7746652  0.90401889 1.02094601 1.12872845
 1.2293996  1.32432561]",$\phi$,dfa (short)
Shuffled,15.0,[ 5  9 13 17 21 25 29 33],"[0.5039547651826232, 0.7040309674406491, 0.8199407710122968, 0.9172251061073518, 1.0157755273697104, 1.0855244943781677, 1.1456470878687337, 1.2087396402186221]","[0.52177143 0.68191005 0.8062174  0.9109758  1.00299213 1.08587407
 1.16180314 1.23221588]",$\phi$,dfa (short)
