dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,1.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69 73 77 81 85 89],"[0.3768612786973921, 0.553332560617165, 0.6609517840256297, 0.7060379531275809, 0.7576191814933295, 0.8219553219030709, 0.8625673525023768, 0.9082003849289119, 0.964233446056794, 1.0030468539026798, 1.0466218677990442, 1.099882697018737, 1.135930191915654, 1.1692915454378332, 1.2057107393562734, 1.2305295574392046, 1.2541475900375028, 1.2836623150370479, 1.3056763624542709, 1.3276162536489275, 1.355506007276301, 1.3780718409680812]","[0.41194238 0.52893759 0.61847985 0.69322726 0.75841302 0.81678916
 0.87000969 0.91915833 0.96498964 1.00805338 1.04876438 1.08744455
 1.1243495  1.1596861  1.19362448 1.22630656 1.25785209 1.28836324
 1.31792795 1.34662258 1.37451388 1.40166062]",$r$,dfa (short)
Shuffled,1.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69 73 77 81 85 89],"[0.3898472302285832, 0.6384330823029177, 0.8041869969652842, 0.9394157600708827, 1.0529562840409095, 1.175575683978011, 1.2937304283206774, 1.3921157376245505, 1.4902645906554182, 1.5814358872983203, 1.6476851957492078, 1.7083124384427562, 1.771119297467871, 1.8227723792989359, 1.8740095117275797, 1.9243835857388734, 1.9642023756028977, 2.003949598373521, 2.0410297020476875, 2.06916866494341, 2.09996159494431, 2.135656939461213]","[0.45615224 0.63539514 0.78179048 0.90945547 1.02453237 1.13036947
 1.22903633 1.3219207  1.41000808 1.49402893 1.57454289 1.65199027
 1.72672509 1.79903711 1.86916724 1.93731832 2.00366317 2.06835044
 2.13150916 2.19325219 2.25367894 2.31287752]",$r$,dfa (short)
Trace,2.0,[ 5  9 13 17 21 25 29 33 37 41 45],"[0.44144415936202985, 0.5866839229584696, 0.671197786181356, 0.7170575639454834, 0.7514931889352768, 0.7867627586510593, 0.7966917727933687, 0.810193339458139, 0.8249897944189074, 0.8288416478174455, 0.8371830621222913]","[0.48683831 0.57184001 0.63240929 0.68060592 0.72114248 0.75640132
 0.78777086 0.81613804 0.84210722 0.86611052 0.88846858]",$r$,dfa (short)
Shuffled,2.0,[ 5  9 13 17 21 25 29 33 37 41 45],"[0.4395728805077722, 0.7186152133769804, 0.8446111731688491, 0.9381820666276706, 1.0092524604004225, 1.0535914879147628, 1.0824626297441249, 1.1025817814167644, 1.1176940265203004, 1.136896356908695, 1.160379070933527]","[0.52667836 0.66604356 0.77141482 0.85865935 0.93427444 1.00165396
 1.06282697 1.11911718 1.17144289 1.22047097 1.26670321]",$r$,dfa (short)
Trace,4.0,[ 5  9 13 17 21 25 29 33],"[0.3735322425457787, 0.5058321005312159, 0.5541982589827671, 0.5738802243265108, 0.5914078437062734, 0.6235038904256358, 0.646035964992385, 0.6591147311452099]","[0.4020604  0.47334412 0.52423224 0.56477535 0.59890662 0.62861642
 0.65506564 0.67899637]",$r$,dfa (short)
Shuffled,4.0,[ 5  9 13 17 21 25 29 33],"[0.38634336818701553, 0.659409148739612, 0.8611903583895881, 0.9793145596888495, 1.0932758652474848, 1.167699666639642, 1.216913442170554, 1.2599056698477493]","[0.43395622 0.62279414 0.78073154 0.92068221 1.04837037 1.16695765
 1.27841843 1.38408788]",$r$,dfa (short)
Trace,6.0,[ 5  9 13 17],"[0.2999046779437777, 0.45246486540700287, 0.5960073999492483, 0.691763799328979]",[0.3012368  0.45255758 0.58379474 0.70296798],$r$,dfa (short)
Shuffled,6.0,[ 5  9 13 17],"[0.32636021430761003, 0.532059740486871, 0.7838610825988013, 0.9471011805512508]",[0.32433464 0.54639016 0.75719777 0.96069949],$r$,dfa (short)
Trace,7.0,[ 5  9 13 17 21 25 29 33],"[0.42294781621149247, 0.5829277803089543, 0.7667679791431862, 0.9035579046719163, 1.0423259690623576, 1.1120894529569199, 1.1269031475906481, 1.1135838565857827]","[0.43660277 0.60459857 0.74116711 0.85988785 0.96664742 1.06464643
 1.15585922 1.24160743]",$r$,dfa (short)
Shuffled,7.0,[ 5  9 13 17 21 25 29 33],"[0.5034232267453972, 0.7260889866834116, 0.8449249303473575, 0.9548066341128516, 1.0372750892839873, 1.109564564718066, 1.183219023390545, 1.2475138527285075]","[0.52815651 0.69496255 0.82515065 0.93526609 1.03225525 1.11981084
 1.20017103 1.27481251]",$r$,dfa (short)
Trace,8.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69],"[0.49153823816610176, 0.7155553254399953, 0.8211736683253584, 0.9136985517977093, 0.9845632545385452, 0.994552995000231, 1.006176172207935, 1.0253586962103538, 1.0349295422040043, 1.04594893392929, 1.0580216809791099, 1.0619650006410866, 1.070323612112854, 1.0789275911445166, 1.081493572598528, 1.0878617843701763, 1.0964354235178773]","[0.60800201 0.705592   0.77445899 0.82890328 0.87447021 0.91394812
 0.94895529 0.98052191 1.00934795 1.03593255 1.06064531 1.08376816
 1.10552154 1.12608134 1.14559032 1.16416612 1.1819069 ]",$r$,dfa (short)
