dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,1.0,[ 5  7  9 11 13 15],"[0.029746222167511972, 0.04560717739111509, 0.04471496236094756, 0.04743316909830509, 0.04977686569184627, 0.04949967195213767]",[0.03388106 0.03889412 0.04311654 0.0468149  0.05013454 0.05316475],$f_n e^{\phi_{n}}$,dfa (short)
Trace,1.0,[ 5  7  9 11 13 15],"[0.052427048316630594, 0.0565748010707672, 0.05894730166494013, 0.06200661061165851, 0.06362306437356381, 0.06417882038149193]",[0.05278923 0.05627413 0.0590263  0.06132021 0.06329769 0.06504225],$f_n e^{\phi_{n}}$,mean (short)
Shuffled,1.0,[ 5  7  9 11 13 15],"[0.030046479500542952, 0.03650019266867947, 0.04001707412489379, 0.04504233408298833, 0.052654553998180094, 0.05685062354335994]",[0.02962991 0.03596263 0.04156065 0.04665002 0.05135903 0.05576906],$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,1.0,[ 5  7  9 11 13 15],"[0.052545284976857, 0.06975334758173082, 0.07933530003354287, 0.09263413311534006, 0.1030773158296661, 0.11077178991542959]",[0.053777   0.06749045 0.07996903 0.09157012 0.10250148 0.1128974 ],$f_n e^{\phi_{n}}$,mean (short)
Trace,2.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29],"[0.0476838716848403, 0.06052667226013814, 0.06700942831249705, 0.06903370152514847, 0.07488915408836379, 0.07828234071742897, 0.0796733916912494, 0.0836486589175831, 0.08623623237604212, 0.08743357224575625, 0.08954477773478396, 0.09206634602042621, 0.09205240654739744]","[0.05212777 0.05855793 0.06387295 0.06846126 0.07253133 0.0762097
 0.07957959 0.08269907 0.08561045 0.08834559 0.09092922 0.0933809
 0.09571646]",$f_n e^{\phi_{n}}$,dfa (short)
Trace,2.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29],"[0.06304012702699872, 0.07436417112703958, 0.07943577975858584, 0.08265291047111478, 0.08996626099181701, 0.09483520649127583, 0.09778567052516085, 0.10338448644005034, 0.10796294090896412, 0.11017110414347252, 0.1140047143720229, 0.1170107032856867, 0.11848050354621356]","[0.06403327 0.07217291 0.07892053 0.08475861 0.08994675 0.0946428
 0.09895077 0.1029433  0.10667339 0.11018102 0.1134972  0.11664654
 0.11964892]",$f_n e^{\phi_{n}}$,mean (short)
Shuffled,2.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29],"[0.05041188921150292, 0.06880761181186257, 0.08669814465088566, 0.10125276746345123, 0.11236490060318995, 0.12271223137198048, 0.1310717200911013, 0.1397947860309239, 0.1459499882277519, 0.15152036818167808, 0.1567415084612669, 0.15944177925379627, 0.16117404272742317]","[0.05670512 0.07053174 0.08301633 0.09455388 0.10537258 0.11561916
 0.12539497 0.13477369 0.143811   0.15255026 0.16102604 0.1692665
 0.17729495]",$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,2.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29],"[0.09318694134106761, 0.1168973986304324, 0.13284620042534986, 0.144736871117298, 0.15513981952731778, 0.16139276116483373, 0.16736019018361797, 0.1730366808801999, 0.1768963767613591, 0.17957406630911513, 0.18273295865291025, 0.18544642166739964, 0.18819454926639442]","[0.10292813 0.11670497 0.12818502 0.1381573  0.14704824 0.15511796
 0.16253837 0.16942985 0.17588037 0.18195645 0.18770977 0.19318138
 0.19840452]",$f_n e^{\phi_{n}}$,mean (short)
Trace,3.0,[5 7 9],"[0.04586065056646316, 0.06080774968409798, 0.06385111835656546]",[0.04707945 0.05718955 0.06613321],$f_n e^{\phi_{n}}$,dfa (short)
Trace,3.0,[5 7 9],"[0.06554266391372553, 0.08175218307945138, 0.08393215971607196]",[0.06703284 0.07756466 0.08649685],$f_n e^{\phi_{n}}$,mean (short)
Shuffled,3.0,[5 7 9],"[0.051915802029681345, 0.05726080395377159, 0.0622367351399681]",[0.0518306  0.05748121 0.06210002],$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,3.0,[5 7 9],"[0.06837703880733557, 0.07678275616286448, 0.07633651437698183]",[0.06940879 0.07413979 0.07788261],$f_n e^{\phi_{n}}$,mean (short)
Trace,5.0,[5 7 9],"[0.02900326460367289, 0.039895001709566384, 0.04284759174248417]",[0.02979759 0.03745191 0.04442595],$f_n e^{\phi_{n}}$,dfa (short)
Trace,5.0,[5 7 9],"[0.04542670311261476, 0.05124934751821011, 0.05208491634955705]",[0.04597398 0.04983383 0.05292674],$f_n e^{\phi_{n}}$,mean (short)
Shuffled,5.0,[5 7 9],"[0.03500618243262189, 0.050029047316650616, 0.049464113379509296]",[0.03661948 0.04502533 0.05253976],$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,5.0,[5 7 9],"[0.056959140426973746, 0.06304430546474982, 0.0626275208619264]",[0.05772518 0.06110492 0.06375776],$f_n e^{\phi_{n}}$,mean (short)
Trace,6.0,[ 5  7  9 11],"[0.03376068381986842, 0.03613782302128508, 0.039753055621774995, 0.041872667124321535]",[0.0334746  0.03679068 0.03948006 0.04176797],$f_n e^{\phi_{n}}$,dfa (short)
Trace,6.0,[ 5  7  9 11],"[0.04436896597160992, 0.04887942637188277, 0.04997734876073756, 0.052439682654833994]",[0.04476849 0.04792784 0.0504322  0.05252553],$f_n e^{\phi_{n}}$,mean (short)
Shuffled,6.0,[ 5  7  9 11],"[0.03471902330992025, 0.041355068763530685, 0.043738234786888784, 0.04486870683830437]",[0.03562942 0.03976324 0.04316078 0.04608093],$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,6.0,[ 5  7  9 11],"[0.045916138106922466, 0.05398622786551369, 0.0516125270477026, 0.05320469272183988]",[0.04761562 0.05031625 0.05243284 0.05418665],$f_n e^{\phi_{n}}$,mean (short)
Trace,8.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33 35],"[0.039043963476976924, 0.05462025724753305, 0.06201786787255927, 0.06299214266861443, 0.06636416948084842, 0.07049918427589666, 0.07122521083959532, 0.07358299139653442, 0.07618337934638929, 0.0765056195685603, 0.07818230339511799, 0.0804371939348119, 0.08029072019943323, 0.08179779736736872, 0.0835346660407661, 0.08383678024133535]","[0.04682402 0.05220842 0.05663023 0.0604284  0.06378388 0.06680601
 0.06956648 0.07211514 0.07448819 0.07671288 0.07881026 0.080797
 0.08268652 0.08448981 0.08621602 0.08787284]",$f_n e^{\phi_{n}}$,dfa (short)
Trace,8.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33 35],"[0.056315013325964676, 0.06846374223190885, 0.07545193371889353, 0.07738399516662994, 0.08016595995392924, 0.08391266603191841, 0.08468358096202815, 0.08648443380811463, 0.08894929702260186, 0.08908448799665447, 0.09058549953618308, 0.09240619427466591, 0.09263722902043388, 0.09338121721047937, 0.09393818522184194, 0.09357846102349329]","[0.06268932 0.06772051 0.07174003 0.0751202  0.07805528 0.08066053
 0.08301041 0.085156   0.08713402 0.08897179 0.09069025 0.09230583
 0.09383166 0.09527844 0.09665499 0.09796868]",$f_n e^{\phi_{n}}$,mean (short)
