dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,1.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33],"[0.051144366894193174, 0.06537215922915204, 0.07019645394655633, 0.07844286133480659, 0.08136660698083888, 0.0839043716505309, 0.08678012457451055, 0.08720332945310867, 0.08753249622650408, 0.08850782756633688, 0.0893418453893638, 0.09002702216100121, 0.09085750170538727, 0.09111412628452477, 0.09122273272741764]","[0.05918067 0.06467382 0.06910682 0.07286369 0.07614652 0.079076
 0.08173053 0.08416414 0.08641584 0.08851477 0.09048332 0.09233912
 0.0940963  0.09576641 0.09735897]",$f_n e^{\phi_{n}}$,dfa (short)
Trace,1.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33],"[0.07726632777318729, 0.08305057028192991, 0.08624101553243035, 0.09055201325687047, 0.09243393443954956, 0.09345956474461015, 0.09551891339797382, 0.09615129945514092, 0.09743826106504408, 0.09919428078853883, 0.09988749150029172, 0.10004476207496787, 0.100833969813932, 0.10071073676775502, 0.10007688713419097]","[0.07963347 0.08339338 0.08631706 0.08872499 0.09078071 0.09257949
 0.094182   0.09562932 0.09695065 0.09816752 0.09929627 0.10034963
 0.10133767 0.10226857 0.10314902]",$f_n e^{\phi_{n}}$,mean (short)
Shuffled,1.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33],"[0.05212276240982012, 0.06169851326323316, 0.07245359109945329, 0.08227937038249554, 0.09143621035973369, 0.10064754709728363, 0.1081148426771942, 0.11442705218388129, 0.120361767314391, 0.1246819782697861, 0.12812221654558603, 0.13124007334914206, 0.1335249070541994, 0.13525813622862762, 0.13737334411245766]","[0.05369405 0.06426317 0.07349333 0.08180659 0.08944007 0.09654297
 0.10321646 0.10953297 0.11554645 0.12129842 0.12682163 0.13214248
 0.1372826  0.14226    0.14708988]",$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,1.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33],"[0.0873213504759879, 0.10796314637278961, 0.12228926334796149, 0.13298716634469482, 0.1409856158548718, 0.1476953093131277, 0.15407636623319887, 0.1598352859876621, 0.16366937715430488, 0.16706532553936684, 0.17007441171648835, 0.17198176930306514, 0.17457339892448032, 0.1769798863182842, 0.17839402257141782]","[0.0964043  0.10861308 0.11873026 0.12748122 0.13525618 0.14229232
 0.14874592 0.15472609 0.16031243 0.16556497 0.17053029 0.17524533
 0.17973992 0.18403858 0.18816171]",$f_n e^{\phi_{n}}$,mean (short)
Trace,2.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33],"[0.052560384080670236, 0.06810592943690658, 0.07935330205509926, 0.07953972830052883, 0.08439779875088843, 0.08831692071239008, 0.08893228170912525, 0.09338666853294776, 0.09729293049439615, 0.09758357036996924, 0.10114801989005905, 0.10378381822820813, 0.10421612023150023, 0.10694247839832659, 0.10806610451395086]","[0.0595249  0.06656483 0.07236099 0.07734945 0.08176356 0.08574452
 0.08938505 0.0927497  0.09588542 0.09882754 0.1016034  0.10423467
 0.10673879 0.10913009 0.11142046]",$f_n e^{\phi_{n}}$,dfa (short)
Trace,2.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33],"[0.07360525124751525, 0.08561415915949958, 0.09318349469758402, 0.09327214414408158, 0.100667834709156, 0.10556818946495955, 0.10635390832114912, 0.11121237751993623, 0.11500765027576233, 0.11603744907519248, 0.12009450845991036, 0.12324711809244925, 0.1246467983626247, 0.12807802115733777, 0.12958875123196598]","[0.07616191 0.08378672 0.08997569 0.09524414 0.09986455 0.1040003
 0.1077578  0.11121066 0.1144121  0.11740196 0.12021094 0.12286323
 0.12537827 0.12777194 0.13005739]",$f_n e^{\phi_{n}}$,mean (short)
Shuffled,2.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33],"[0.04848501309715746, 0.06575958575084992, 0.07849387736094049, 0.08398403384862879, 0.09127059094698796, 0.09438347182438447, 0.09652090322380785, 0.10205099209454134, 0.10658906045911638, 0.11047642783111054, 0.11631374392305496, 0.12048132538560642, 0.12347214495216031, 0.12783549262661753, 0.13071615235690778]","[0.05500768 0.06441081 0.07246839 0.07962014 0.08610927 0.09208691
 0.09765448 0.10288393 0.10782846 0.1125287  0.11701652 0.12131744
 0.12545229 0.12943832 0.13328999]",$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,2.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33],"[0.08056278936061124, 0.09929208434514804, 0.11105585548912483, 0.11994853377557488, 0.12960465817375152, 0.13699662301406731, 0.143697111868387, 0.15011403063938963, 0.15554926728858146, 0.16092080721091814, 0.1656657044148279, 0.16986183706859762, 0.1729694703710079, 0.1749235317316157, 0.17681067146727972]","[0.08589961 0.0984483  0.10900288 0.11823738 0.12651886 0.13407263
 0.14104836 0.14755131 0.1536587  0.15942911 0.1649082  0.17013236
 0.17513109 0.17992873 0.18454561]",$f_n e^{\phi_{n}}$,mean (short)
Trace,3.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33],"[0.05217499713937865, 0.06341690752302337, 0.07144166503659156, 0.07497653986973715, 0.07651906456323553, 0.07944105452876822, 0.08044887124393424, 0.0814835883778497, 0.08259051297681358, 0.08310994305236863, 0.08341680421774635, 0.085035851672011, 0.0857410394399666, 0.08589176243869039, 0.08720250037498599]","[0.05901918 0.06370227 0.06744095 0.07058318 0.0733104  0.07573022
 0.0779121  0.07990372 0.0817393  0.08344433 0.08503832 0.08653658
 0.08795136 0.0892926  0.09056852]",$f_n e^{\phi_{n}}$,dfa (short)
Trace,3.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33],"[0.06958041743018234, 0.07636784778755641, 0.08347786074494573, 0.08424694582819288, 0.08468053071249068, 0.08741526990358305, 0.08703086492334948, 0.08738063873513792, 0.08907372701139975, 0.08915039709706922, 0.08963954972046262, 0.09068277777823994, 0.09056038570816119, 0.09112100048796057, 0.09203013680082632]","[0.07408571 0.07722623 0.07965847 0.08165546 0.08335604 0.08484092
 0.08616134 0.08735197 0.08843737 0.08943566 0.09036054 0.0912227
 0.09203058 0.09279102 0.0935096 ]",$f_n e^{\phi_{n}}$,mean (short)
