dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,1.0,[ 5  7  9 11 13 15 17 19 21 23 25 27],"[0.05121534420011193, 0.05630455509409894, 0.06366097752613029, 0.06607558105434778, 0.06797452988485514, 0.07013560230123411, 0.07030635942788693, 0.07106713358501045, 0.07225045661207401, 0.07227741876355652, 0.07284068411128361, 0.07365151997326198]","[0.05409792 0.05792475 0.06095863 0.06349483 0.06568647 0.06762391
 0.06936529 0.07095035 0.07240756 0.07375806 0.07501799 0.07619999]",$f_n e^{\phi_{n}}$,dfa (short)
Trace,1.0,[ 5  7  9 11 13 15 17 19 21 23 25 27],"[0.06430426359124597, 0.069362220349551, 0.07405450575178125, 0.07460571153547624, 0.0757724226244173, 0.07873498008081398, 0.07916391091097169, 0.07973853774227199, 0.0810981835490274, 0.08124640787625298, 0.08179392822031979, 0.08270329082398781]","[0.06628755 0.06946085 0.07192974 0.07396396 0.07570122 0.0772218
 0.07857679 0.07980083 0.08091855 0.08194808 0.08290321 0.08379468]",$f_n e^{\phi_{n}}$,mean (short)
Shuffled,1.0,[ 5  7  9 11 13 15 17 19 21 23 25 27],"[0.03877654952240597, 0.055076574606500193, 0.06687219759758253, 0.07512810499562597, 0.08524526596356617, 0.09294090567758799, 0.09846153196476075, 0.10449850729244049, 0.10687667824730993, 0.10750966502749207, 0.10854938108503176, 0.10999236299072929]","[0.04466573 0.05466016 0.06355829 0.07169255 0.07925273 0.08635974
 0.09309647 0.09952278 0.10568364 0.11161388 0.11734116 0.1228879 ]",$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,1.0,[ 5  7  9 11 13 15 17 19 21 23 25 27],"[0.07810291400970334, 0.10108364093331235, 0.11563237965026876, 0.12450785007458785, 0.13217436479811717, 0.13694488981480338, 0.1380613128656061, 0.14124230661276643, 0.14349101559804509, 0.14591145070908604, 0.14944364046630915, 0.15218207399494024]","[0.0886577  0.09971308 0.10886071 0.11676392 0.12377907 0.13012255
 0.13593683 0.14132133 0.14634849 0.15107296 0.15553708 0.15977444]",$f_n e^{\phi_{n}}$,mean (short)
Trace,2.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39],"[0.03610277689098499, 0.044104146060398704, 0.054936281489500124, 0.05737973768602805, 0.06311257989470219, 0.06902295520008064, 0.07016471259221077, 0.0743115247006836, 0.07873856390483355, 0.07987373439873725, 0.08324900242749503, 0.08714391335247942, 0.08845583773139389, 0.09219489470623773, 0.09626197209200177, 0.09790799855184454, 0.10153462317694464, 0.1054187576820557]","[0.03853949 0.04539814 0.0513059  0.05657053 0.06136297 0.06578982
 0.06992281 0.07381295 0.07749805 0.08100703 0.08436261 0.08758304
 0.0906832  0.09367545 0.09657015 0.09937614 0.10210098 0.10475122]",$f_n e^{\phi_{n}}$,dfa (short)
Trace,2.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39],"[0.05343513103957475, 0.06572578369740477, 0.0778454842435823, 0.081899513839864, 0.09017650161773808, 0.09763905250828975, 0.10036831649434474, 0.1063592337245116, 0.11126886673803935, 0.11345938293856217, 0.11849965754000162, 0.12336962744513467, 0.12596808248910402, 0.13085265909489036, 0.1351195014720861, 0.13725226503604443, 0.14152368377217067, 0.14549387590049487]","[0.05670205 0.06623259 0.07438203 0.08160348 0.08814712 0.0941682
 0.09977077 0.10502857 0.1099961  0.11471492 0.11921763 0.12353031
 0.12767423 0.131667   0.13552337 0.13925587 0.14287524 0.14639076]",$f_n e^{\phi_{n}}$,mean (short)
Shuffled,2.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39],"[0.04034982295527527, 0.04656055511145695, 0.052908146448940624, 0.06060335517587957, 0.06547229025608071, 0.0719656799577228, 0.07836752352270666, 0.08171743940330042, 0.08704986567353493, 0.09198754524389587, 0.09496669189390004, 0.09992642058711605, 0.10500914592167887, 0.10827500476308607, 0.11309606249312441, 0.11547675547563366, 0.11701899323319309, 0.11769694758761401]","[0.03929574 0.04729527 0.05431542 0.06066196 0.06650738 0.07196055
 0.0770955  0.08196534 0.08660972 0.09105921 0.09533794 0.09946542
 0.10345764 0.10732793 0.11108756 0.11474611 0.11831186 0.12179201]",$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,2.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39],"[0.057553832270758706, 0.06720479202260068, 0.07905290520534769, 0.0912355860731864, 0.09888811605091691, 0.1078034043640949, 0.11697910997487605, 0.12260775159595814, 0.13057190509319375, 0.13845871860783182, 0.14427609116213902, 0.15146070042775178, 0.15802315218642557, 0.16356304960808585, 0.16964564328767398, 0.17448927523992847, 0.17819730017834384, 0.18073351518094055]","[0.05705131 0.06922663 0.07998698 0.08976791 0.09881658 0.1072897
 0.11529427 0.12290729 0.13018641 0.13717618 0.14391191 0.15042213
 0.15673032 0.16285608 0.16881597 0.17462417 0.18029288 0.18583274]",$f_n e^{\phi_{n}}$,mean (short)
Trace,3.0,[ 5  7  9 11 13 15 17 19 21 23 25],"[0.03899726653458718, 0.04525358460169776, 0.048885518938321715, 0.05481418526854385, 0.0561540544049648, 0.0591368737674529, 0.0617543391236356, 0.06289130284000596, 0.06487660812051547, 0.06663739141379438, 0.06744524435350152]","[0.04026177 0.04510067 0.04909059 0.05252847 0.05557336 0.05832162
 0.06083659 0.06316237 0.06533107 0.06736686 0.06928846]",$f_n e^{\phi_{n}}$,dfa (short)
Trace,3.0,[ 5  7  9 11 13 15 17 19 21 23 25],"[0.05315355717388883, 0.0584003447962845, 0.06431186323491411, 0.06980439193666398, 0.07267307811648076, 0.07602372021620003, 0.07748706229574909, 0.07816715686113752, 0.07918095932550323, 0.07953411811110875, 0.07961006584564227]","[0.0548346  0.05988556 0.06395941 0.06741041 0.0704249  0.07311412
 0.07555031 0.07778325 0.07984886 0.08177396 0.08357919]",$f_n e^{\phi_{n}}$,mean (short)
Shuffled,3.0,[ 5  7  9 11 13 15 17 19 21 23 25],"[0.03713512362661747, 0.04988030110928238, 0.057380141266753795, 0.062257839330660786, 0.0684994307323809, 0.07391680536668029, 0.07610536270867539, 0.0787332842461862, 0.0806629796340823, 0.08246149778716874, 0.08455024508086488]","[0.04122402 0.04850019 0.05476083 0.0603353  0.06540636 0.0700879
 0.07445652 0.07856665 0.08245863 0.08616329 0.08970487]",$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,3.0,[ 5  7  9 11 13 15 17 19 21 23 25],"[0.057708362094075503, 0.07123901515422974, 0.07972362986232635, 0.08401218633643837, 0.08995236614411944, 0.09312492641639745, 0.09594809822966856, 0.0987494410617297, 0.10098110670353588, 0.10218172285182522, 0.10390564301175671]","[0.06238847 0.07002321 0.07632914 0.08176967 0.08659343 0.09095119
 0.09494212 0.09863536 0.10208127 0.10531779 0.10837433]",$f_n e^{\phi_{n}}$,mean (short)
Trace,4.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29],"[0.03618233107880756, 0.04121013360688693, 0.04675117728853587, 0.05090412092724948, 0.05151489603600447, 0.05355908672227648, 0.05460447886159299, 0.05535268453726276, 0.05633418136881039, 0.056514078076812836, 0.05675415584817545, 0.057525298860862974, 0.05725275976836434]","[0.03908103 0.04249508 0.04523824 0.04755522 0.04957432 0.05137194
 0.05299759 0.05448533 0.0558597  0.057139   0.05833728 0.05946558
 0.06053275]",$f_n e^{\phi_{n}}$,dfa (short)
Trace,4.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29],"[0.049347767130735264, 0.05235697035232585, 0.05720044763354474, 0.05861986218217864, 0.05999067671968581, 0.06261828429319165, 0.06334475362333405, 0.06495227087195557, 0.06679759232819267, 0.06764694060329939, 0.06812553019461483, 0.06893494078427051, 0.06894856904193263]","[0.0498806  0.05327605 0.05596209 0.05820376 0.06013825 0.0618464
 0.06338017 0.06477503 0.06605639 0.06724306 0.06834944 0.06938677
 0.07036404]",$f_n e^{\phi_{n}}$,mean (short)
Shuffled,4.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29],"[0.03560266833950611, 0.040864580024708816, 0.049204692273818136, 0.05234998503313924, 0.05398063518191552, 0.05608199412141831, 0.057167379822037276, 0.059279178502484466, 0.06019354004107895, 0.06039989371123663, 0.061000046603036914, 0.06043282425950912, 0.05974724947221157]","[0.03899016 0.04298614 0.04623572 0.04900596 0.05143832 0.05361769
 0.05559944 0.0574219  0.0591128  0.06069292 0.06217827 0.06358148
 0.06491272]",$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,4.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29],"[0.04950063384729764, 0.05719528483988125, 0.06358307662680793, 0.0661715240690695, 0.0697689141691887, 0.07047250506013607, 0.07051767159470017, 0.07105393571055058, 0.07144398447738132, 0.07174142891094946, 0.0723820840240083, 0.07307615074610332, 0.07351592233829528]","[0.05424186 0.05793975 0.06086529 0.063307   0.06541422 0.06727498
 0.06894583 0.07046542 0.07186139 0.07315425 0.07435966 0.07548987
 0.07655465]",$f_n e^{\phi_{n}}$,mean (short)
Trace,5.0,[ 5  7  9 11 13 15 17 19 21 23],"[0.0390445130929486, 0.04343133791621694, 0.04616927496568112, 0.0484843061639159, 0.04756076870726206, 0.04953091120146218, 0.04970514568749279, 0.04974015146321763, 0.050908668778412984, 0.05108488812716797]","[0.04086153 0.04312587 0.04489861 0.04636629 0.04762464 0.04872967
 0.04971719 0.05061153 0.05143002 0.05218547]",$f_n e^{\phi_{n}}$,dfa (short)
Trace,5.0,[ 5  7  9 11 13 15 17 19 21 23],"[0.051184298021156815, 0.0545196796679437, 0.0568258373181386, 0.058442540721983814, 0.059781473189724266, 0.06086846408350579, 0.061265095429223565, 0.0614432907265253, 0.0610063706222161, 0.060879790951079746]","[0.05251641 0.05461881 0.05624384 0.05757605 0.05870912 0.05969744
 0.06057551 0.06136663 0.06208733 0.06274975]",$f_n e^{\phi_{n}}$,mean (short)
Shuffled,5.0,[ 5  7  9 11 13 15 17 19 21 23],"[0.035152005971919274, 0.04374139323467208, 0.05075869387970029, 0.057299027525185946, 0.061597664284856433, 0.06550654721275866, 0.07042064581246883, 0.07440212206024305, 0.07680726573723573, 0.08125151433426056]","[0.03637146 0.0435651  0.0498517  0.05551679 0.06072087 0.06556498
 0.07011767 0.07442802 0.07853259 0.08245954]",$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,5.0,[ 5  7  9 11 13 15 17 19 21 23],"[0.05884315972226227, 0.06990081333724281, 0.07738115733901207, 0.08527166840540563, 0.09134777049641506, 0.0960225061581541, 0.10055190700859169, 0.10338111600863024, 0.10537823494695497, 0.10718200036692349]","[0.06095845 0.06964039 0.07692242 0.08328004 0.08897161 0.0941554
 0.09893642 0.10338841 0.10756538 0.11150832]",$f_n e^{\phi_{n}}$,mean (short)
Trace,6.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29],"[0.03162627389577112, 0.04078792649315431, 0.044058586417862124, 0.04825873488002343, 0.05030887357197966, 0.05239787607410347, 0.054460835681037024, 0.05489201887607227, 0.05508527863455607, 0.05596254948129272, 0.05658738905046936, 0.05673735759142109, 0.05738593830937004]","[0.03589645 0.03971982 0.0428389  0.04550439 0.04784943 0.04995409
 0.05187069 0.05363549 0.05527476 0.05680821 0.05825106 0.05961531
 0.06091062]",$f_n e^{\phi_{n}}$,dfa (short)
Trace,6.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29],"[0.046537139757141, 0.05126407502184253, 0.054391082290588734, 0.0578888334112157, 0.060172199975830495, 0.06036670964392245, 0.06170804877187465, 0.06212394980341888, 0.06194683977128471, 0.06281046527188112, 0.06306731317365566, 0.06295221953490295, 0.06371646243334902]","[0.04900707 0.05183745 0.05405762 0.05589848 0.05747868 0.05886777
 0.06011024 0.06123634 0.06226765 0.06322013 0.06410594 0.06493454
 0.06571349]",$f_n e^{\phi_{n}}$,mean (short)
Shuffled,6.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29],"[0.028097756447872456, 0.03605402139274317, 0.04389702140977696, 0.050709890206332285, 0.05604473309135403, 0.060740109123897726, 0.06365355222095423, 0.06805921980905844, 0.07221418539948189, 0.07490560865021552, 0.07943046486630828, 0.08374993281563461, 0.0873840085544701]","[0.02967177 0.03658945 0.04278917 0.04848566 0.05380216 0.05881757
 0.06358614 0.06814718 0.07253029 0.07675848 0.08085005 0.08481984
 0.08868015]",$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,6.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29],"[0.052922071747404556, 0.06645288590355856, 0.07723135000256007, 0.08704378121988118, 0.0963481557641466, 0.10550533994995467, 0.1142266747646032, 0.12267803152530779, 0.12928295978709042, 0.13419580997222935, 0.13837862627897454, 0.14200613229715048, 0.14502523960514974]","[0.05467795 0.06652434 0.07701824 0.08657403 0.0954273  0.10372764
 0.11157733 0.11905004 0.12620101 0.13307293 0.13969967 0.14610863
 0.15232236]",$f_n e^{\phi_{n}}$,mean (short)
Trace,7.0,[ 5  7  9 11 13 15 17 19 21 23 25 27],"[0.03328637407764281, 0.04385964434307447, 0.049946203078326715, 0.0557612310970542, 0.06069779233566245, 0.0642247582528495, 0.06624522243785451, 0.0679372927918331, 0.06850442921104473, 0.06913081961250411, 0.06955345912121876, 0.069821339608553]","[0.0378253  0.04353065 0.04834664 0.05257195 0.05636975 0.05984044
 0.06305081 0.06604795 0.06886643 0.07153253 0.07406674 0.07648542]",$f_n e^{\phi_{n}}$,dfa (short)
