dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,1.0,[ 5  9 13 17],"[0.42034569069330013, 0.5922963166836623, 0.6851013887362649, 0.7393014836170684]",[0.43126646 0.56763785 0.67409729 0.76415672],$r$,dfa (short)
Shuffled,1.0,[ 5  9 13 17],"[0.47216805600536627, 0.6135334152727235, 0.6749717406893132, 0.7301383348691104]",[0.48083432 0.59241204 0.6750281  0.74247935],$r$,dfa (short)
Trace,2.0,[ 5  9 13],"[0.40569463646478515, 0.6987864967148399, 0.7137529601434153]",[0.42626856 0.61449662 0.77248294],$r$,dfa (short)
Shuffled,2.0,[ 5  9 13],"[0.4075579521159279, 0.6805772565022954, 1.0288856168122016]",[0.4017529  0.70642594 1.00556058],$r$,dfa (short)
Trace,3.0,[ 5  9 13 17 21],"[0.5056737629114796, 0.6011920658558257, 0.6408529380589353, 0.6593006211277429, 0.6651562537963497]",[0.51970484 0.58225689 0.62516315 0.65844598 0.6859055 ],$r$,dfa (short)
Shuffled,3.0,[ 5  9 13 17 21],"[0.5239315609703433, 0.8081040127644393, 0.9310145169402652, 0.936551480486698, 0.929126169622356]",[0.57442854 0.7288242  0.84586783 0.94294835 1.02720095],$r$,dfa (short)
Trace,4.0,[ 5  9 13 17 21],"[0.35554660201017496, 0.5605804505166995, 0.6625577978044507, 0.7695997458611918, 0.9223509918576241]",[0.36427282 0.53009519 0.6703206  0.79550328 0.91036218],$r$,dfa (short)
Shuffled,4.0,[ 5  9 13 17 21],"[0.2813174010154757, 0.4088772743207271, 0.47561898583037976, 0.5377948551321498, 0.5799967866339995]",[0.29051656 0.39023985 0.4693644  0.53703463 0.59713981],$r$,dfa (short)
Trace,5.0,[ 5  9 13 17],"[0.5125774882577461, 0.5892548500748295, 0.622729898056862, 0.648231901685082]",[0.51737236 0.5792248  0.62162644 0.654505  ],$r$,dfa (short)
Shuffled,5.0,[ 5  9 13 17],"[0.44908248322324856, 0.6463000711449994, 0.8279154263060398, 0.979732517081431]",[0.44752531 0.65175062 0.82455728 0.9788901 ],$r$,dfa (short)
Trace,6.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69 73 77 81 85 89 93 97],"[0.47905321776577925, 0.6373301834655707, 0.7378346577772047, 0.8188664799874898, 0.8689988325720241, 0.8990925404518387, 0.93045831626053, 0.9578236996540201, 0.9788584908952391, 1.0020987593248791, 1.0196880862132534, 1.0290263497147243, 1.0417539442670751, 1.0528361577285943, 1.0645885499513454, 1.0813663573404966, 1.0961943137000132, 1.1089816688354077, 1.1238280132303138, 1.1364747811636986, 1.1473509706664498, 1.156225686050492, 1.165035657763298, 1.1728278547319388]","[0.55689059 0.65042595 0.71677266 0.76940561 0.81357142 0.85191574
 0.88597742 0.91673789 0.94486502 0.97083572 0.99500353 1.01763844
 1.03895175 1.05911221 1.0782569  1.09649888 1.11393253 1.13063758
 1.14668202 1.16212435 1.1770153  1.19139917 1.2053149  1.21879692]",$r$,dfa (short)
