dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,1.0,[5 7 9],"[0.4288981938475191, 0.5110934312484735, 0.6156471692768843]",[0.42508159 0.52189066 0.60832348],$r$,dfa (short)
Shuffled,1.0,[5 7 9],"[0.4348131865631838, 0.5382471707183012, 0.6600839894116243]",[0.4316782  0.54743404 0.65371996],$r$,dfa (short)
Trace,2.0,[5 7 9],"[0.5093774126158447, 0.490086377811136, 0.4616424021861083]",[0.51193873 0.48437074 0.46475291],$r$,dfa (short)
Shuffled,2.0,[5 7 9],"[0.6555186889873602, 0.6320866999656903, 0.7751145999110337]",[0.63141854 0.68996089 0.73720088],$r$,dfa (short)
Trace,3.0,[5 7 9],"[0.4801667402010665, 0.5519346195194946, 0.6103972125966924]",[0.48042834 0.55123197 0.61084249],$r$,dfa (short)
Shuffled,3.0,[5 7 9],"[0.5623046669588602, 0.5154984632227181, 0.678694457364065]",[0.53216846 0.58637932 0.63044266],$r$,dfa (short)
Trace,4.0,[5 7 9],"[0.43051580049336513, 0.6012364368870619, 0.6259901319498845]",[0.445354   0.55542594 0.65504382],$r$,dfa (short)
Shuffled,4.0,[5 7 9],"[0.3425882738508063, 0.4332101944734584, 0.5000852472424953]",[0.34435471 0.42803055 0.5035405 ],$r$,dfa (short)
Trace,5.0,[ 5  7  9 11],"[0.4286458414195761, 0.5592231212387163, 0.6114540867482792, 0.6883657834970961]",[0.43873706 0.53416094 0.61874097 0.69579537],$r$,dfa (short)
Shuffled,5.0,[ 5  7  9 11],"[0.575568362191091, 0.6151021280323604, 0.713137910842211, 0.7599278380302075]",[0.56498589 0.63978096 0.70203658 0.75606889],$r$,dfa (short)
Trace,1.0,[ 5  7  9 11],"[0.3371668974461829, 0.4630958203844729, 0.5910124983019408, 0.7457309843691621]",[0.33401684 0.46736938 0.60065949 0.73390134],$\phi$,dfa (short)
Shuffled,1.0,[ 5  7  9 11],"[0.4911047327891032, 0.6160225781102655, 0.7054218993051851, 0.7355559402027183]",[0.50249647 0.59980025 0.68458016 0.76080162],$\phi$,dfa (short)
Trace,2.0,[5 7 9],"[0.5163855772618432, 0.4859718945339851, 0.4540038034986887]",[0.51828891 0.48180812 0.45624563],$\phi$,dfa (short)
Shuffled,2.0,[5 7 9],"[0.49779470698410716, 0.5177273111155837, 0.6368904056262157]",[0.48365605 0.55381998 0.61278879],$\phi$,dfa (short)
Trace,3.0,[5 7 9],"[0.5466139795459036, 0.6637833999838089, 0.8261256192970668]",[0.54012242 0.6825926  0.81301663],$\phi$,dfa (short)
Shuffled,3.0,[5 7 9],"[0.44260809517122923, 0.5861569978038715, 0.6257157732065349]",[0.45309365 0.5549209  0.64564138],$\phi$,dfa (short)
Trace,4.0,[5 7 9],"[0.4895020622413049, 0.584390714710827, 0.6581489768051633]",[0.49057216 0.58141363 0.66007599],$\phi$,dfa (short)
Shuffled,4.0,[5 7 9],"[0.3877990258004513, 0.4509178487861587, 0.49414956351740785]",[0.38912585 0.44733001 0.49641447],$\phi$,dfa (short)
Trace,5.0,[ 5  7  9 11],"[0.40097947556306035, 0.553498517450997, 0.6286191822848258, 0.6300518925998835]",[0.42280998 0.51578885 0.59834302 0.67365129],$\phi$,dfa (short)
Shuffled,5.0,[ 5  7  9 11],"[0.37717282188775464, 0.5646547353356038, 0.6472742890798289, 0.6860370510075626]",[0.4000233  0.51707984 0.62635042 0.72995993],$\phi$,dfa (short)
Trace,1.0,[5 7 9],"[0.2715062258036157, 0.4328790574823066, 0.6076628563010081]",[0.27191354 0.43136398 0.6088837 ],$f$,dfa (short)
Shuffled,1.0,[5 7 9],"[0.3103695787380772, 0.5234855693542942, 0.6621443196037065]",[0.31828757 0.4935333  0.68485776],$f$,dfa (short)
Trace,2.0,[5 7 9],"[0.48570712601519045, 0.4538321129707698, 0.43437625544010156]",[0.48516574 0.45501745 0.43372814],$f$,dfa (short)
Shuffled,2.0,[5 7 9],"[0.5367677164561613, 0.5207668960332532, 0.6802652818103713]",[0.51214633 0.58121651 0.6388164 ],$f$,dfa (short)
Trace,3.0,[5 7 9],"[0.3247001419612538, 0.6508885146053089, 0.737452216109447]",[0.34613725 0.56048816 0.80335628],$f$,dfa (short)
Shuffled,3.0,[5 7 9],"[0.49500633406769273, 0.5110406074194619, 0.6280581547312026]",[0.48059252 0.54761032 0.60369475],$f$,dfa (short)
Trace,4.0,[5 7 9],"[0.36549078121300815, 0.494977181182775, 0.5614114900397136]",[0.37149575 0.47646626 0.57379519],$f$,dfa (short)
Shuffled,4.0,[5 7 9],"[0.36080619325343877, 0.5992559056471313, 0.7184864164962392]",[0.37253849 0.55604371 0.749937  ],$f$,dfa (short)
Trace,5.0,[ 5  7  9 11],"[0.3127457170938583, 0.5634218081314606, 0.6305935901498906, 0.7297039407671936]",[0.34088688 0.48478241 0.63063299 0.77801406],$f$,dfa (short)
