dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,3.0,[ 5  7  9 11],"[0.3221484665738299, 0.5715172052949211, 0.7076969595710518, 0.7749287934143649]",[0.34869942 0.50859432 0.67422552 0.8444357 ],$r$,dfa (short)
Shuffled,3.0,[ 5  7  9 11],"[0.34498229433750804, 0.5799835786469918, 0.6647008979313271, 0.6843078775544207]",[0.37755525 0.50688097 0.63161841 0.75292033],$r$,dfa (short)
Trace,4.0,[ 5  7  9 11],"[0.5108262196239329, 0.5335288521832333, 0.6039054144915912, 0.6589829814167113]",[0.49827963 0.55677493 0.60490282 0.64630245],$r$,dfa (short)
Shuffled,4.0,[ 5  7  9 11],"[0.37936708299411526, 0.5548209051471538, 0.6521518867790685, 0.7017981706678869]",[0.39767578 0.518304   0.63171412 0.73984232],$r$,dfa (short)
Trace,5.0,[ 5  7  9 11 13],"[0.46191108010988224, 0.5227560317742531, 0.561187676983554, 0.6450200325371456, 0.7162050022273435]",[0.45188689 0.52575504 0.58870202 0.64433359 0.69463495],$r$,dfa (short)
Shuffled,5.0,[ 5  7  9 11 13],"[0.4516242908932058, 0.587586820939928, 0.7260821444388631, 0.7954591873774972, 0.8397524024745482]",[0.46493072 0.5818668  0.68801672 0.78651866 0.87919338],$r$,dfa (short)
Trace,6.0,[ 5  7  9 11 13],"[0.5237551031268267, 0.6106181215041914, 0.6859832610187939, 0.7168840930698478, 0.7952810999663041]",[0.52667975 0.60711031 0.67509925 0.7348146  0.78853585],$r$,dfa (short)
Shuffled,6.0,[ 5  7  9 11 13],"[0.48027406591111077, 0.5837171147733828, 0.7082058200477594, 0.7714268183692486, 0.850104507815443]",[0.48177621 0.59042806 0.68728251 0.77590752 0.85834228],$r$,dfa (short)
Trace,9.0,[5 7 9],"[0.5712387584479843, 0.6095327232845166, 0.6621946248643864]",[0.56806323 0.61753184 0.65727076],$r$,dfa (short)
Shuffled,9.0,[5 7 9],"[0.35915390615688164, 0.47896944649103246, 0.615915075546497]",[0.35703908 0.48563121 0.61106428],$r$,dfa (short)
Trace,10.0,[5 7 9],"[0.4288492996661762, 0.6293331009245342, 0.5957352368295014]",[0.45323709 0.55296759 0.64152479],$r$,dfa (short)
Shuffled,10.0,[5 7 9],"[0.3679088599891647, 0.5058757995773884, 0.5708867619005124]",[0.37494769 0.48394293 0.58555715],$r$,dfa (short)
Trace,11.0,[ 5  7  9 11 13],"[0.4052995761753471, 0.5510175535157644, 0.6678265038642167, 0.6598489333109996, 0.6896951469936978]",[0.43468168 0.52358193 0.60165136 0.67226676 0.73733423],$r$,dfa (short)
