dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,1.0,[ 5  7  9 11 13 15 17],"[0.06657882952488652, 0.07582323134610643, 0.0875763387165658, 0.09522164454749904, 0.09941172485757145, 0.1028240500039815, 0.10540458288993343]","[0.06769181 0.07715521 0.08507687 0.09198228 0.09815651 0.10377397
 0.10895022]",$f_n e^{\phi_{n}}$,dfa (short)
Trace,1.0,[ 5  7  9 11 13 15 17],"[0.09621321010200129, 0.1033412036218601, 0.11348797283708367, 0.1183899583340793, 0.1209275182954792, 0.12408149996997296, 0.12582946683576993]","[0.09707771 0.10478215 0.11093298 0.11610257 0.12058943 0.12457056
 0.12816027]",$f_n e^{\phi_{n}}$,mean (short)
Shuffled,1.0,[ 5  7  9 11 13 15 17],"[0.06009907891486265, 0.09476792679223141, 0.10689556890996184, 0.12042166810066836, 0.1303689212291883, 0.13310321300513497, 0.13992104799000796]","[0.06856406 0.08517951 0.10016659 0.11400565 0.12697395 0.13924964
 0.15095572]",$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,1.0,[ 5  7  9 11 13 15 17],"[0.12537031670148843, 0.16120056743480973, 0.18003590299286756, 0.2071843646110817, 0.22600472470710609, 0.23323708881683827, 0.24065987998388538]","[0.13070942 0.15665706 0.17934499 0.19979825 0.21859335 0.2360933
 0.25254445]",$f_n e^{\phi_{n}}$,mean (short)
Trace,2.0,[ 5  7  9 11 13 15],"[0.03289605177185682, 0.04800695608962296, 0.05220636641108559, 0.051881576820283715, 0.05284896066909672, 0.05180580031587673]",[0.03764476 0.04271527 0.04694319 0.05061766 0.05389502 0.05687068],$f_n e^{\phi_{n}}$,dfa (short)
Trace,2.0,[ 5  7  9 11 13 15],"[0.050448493970640364, 0.054441804222049195, 0.05501120868652937, 0.05531808386498518, 0.055735194553799314, 0.055953414119249326]",[0.05163941 0.05312795 0.05426768 0.05519527 0.05597955 0.05666023],$f_n e^{\phi_{n}}$,mean (short)
Shuffled,2.0,[ 5  7  9 11 13 15],"[0.034771613286000265, 0.0388700912626031, 0.04319061143144104, 0.04427964153342771, 0.0456287471576213, 0.04680155906552998]",[0.03545658 0.03884498 0.0415854  0.04391176 0.04594736 0.04776597],$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,2.0,[ 5  7  9 11 13 15],"[0.04451636593143489, 0.05130850545332066, 0.05536668523099834, 0.056711232902255646, 0.060102910271671806, 0.06084774026369977]",[0.04570832 0.05023161 0.05389975 0.05702012 0.0597551  0.06220201],$f_n e^{\phi_{n}}$,mean (short)
Trace,3.0,[ 5  7  9 11 13 15 17 19 21],"[0.042668967881778964, 0.046948864450162976, 0.05101630243409211, 0.053390154729584895, 0.054947458177519, 0.05528286035784131, 0.05705967998908261, 0.057766569870116975, 0.05840595867338899]","[0.04387223 0.04716155 0.04977828 0.05197156 0.05387095 0.0555531
 0.0570674  0.05844768 0.0597182 ]",$f_n e^{\phi_{n}}$,dfa (short)
Trace,3.0,[ 5  7  9 11 13 15 17 19 21],"[0.0533872547159177, 0.05800110150901163, 0.05768029205488951, 0.06046916663528719, 0.06159445931211986, 0.062049075658745116, 0.06354734949913556, 0.06421562691173029, 0.06504927575424294]","[0.05418643 0.05658957 0.05845377 0.05998631 0.06129272 0.0624344
 0.0634504  0.06436713 0.06520334]",$f_n e^{\phi_{n}}$,mean (short)
