dataset,lineage_ID,slope,intercept,std_err,variable,kind
Trace,5.0,0.30278133321819345,-1.1052999834732289,0.0026753888724187656,$r$,dfa (short)
Shuffled,5.0,0.41156675894087036,-1.352450284217944,0.00232491017255349,$r$,dfa (short)
Trace,6.0,0.3636879166519786,-1.1324870138637195,0.081425919887949,$r$,dfa (short)
Shuffled,6.0,0.2524023163692621,-0.9308986815749756,0.025506777648751162,$r$,dfa (short)
Trace,7.0,0.17657445757824863,-0.9281521305587878,0.06794762679090649,$r$,dfa (short)
Shuffled,7.0,0.3833066255867538,-1.3582003883479945,0.05319809379011546,$r$,dfa (short)
Trace,8.0,0.3598500961852138,-1.2173103070358124,0.08190275903759174,$r$,dfa (short)
Shuffled,8.0,0.4131698541962334,-1.352171411815509,0.015950260835693255,$r$,dfa (short)
Trace,9.0,0.5840222155453223,-1.9024290670706856,0.03470799950831614,$r$,dfa (short)
Shuffled,9.0,0.6450461801473358,-1.7841908629926138,0.13689507931987646,$r$,dfa (short)
Trace,10.0,0.2655995285156422,-1.1818285264911537,0.0011688552064365468,$r$,dfa (short)
Shuffled,10.0,0.23565207375171437,-1.016450825006189,0.11306193404042673,$r$,dfa (short)
Trace,5.0,0.36763813589458566,-1.144312483534368,0.07708810008986322,$\phi$,dfa (short)
Shuffled,5.0,0.7441728369836126,-2.0527756787825653,0.08838922068294007,$\phi$,dfa (short)
Trace,6.0,0.3132626178286584,-0.9796849946429136,0.08405562631146955,$\phi$,dfa (short)
Shuffled,6.0,0.48976959877303133,-1.4826302687873394,0.05689637909425283,$\phi$,dfa (short)
Trace,7.0,0.189989378119282,-1.0452491409812636,0.08690679248352827,$\phi$,dfa (short)
Shuffled,7.0,0.3213915171575633,-1.3918065753536908,0.04448792582001854,$\phi$,dfa (short)
Trace,8.0,0.3081185215338047,-1.111369411265121,0.015613639404991785,$\phi$,dfa (short)
Shuffled,8.0,0.3177176797527002,-1.1147075343413362,0.02569202695644489,$\phi$,dfa (short)
Trace,9.0,0.34253918876169426,-1.213245962751836,0.11289474058274292,$\phi$,dfa (short)
Shuffled,9.0,0.5916774818790417,-1.775336386565262,0.11343611520319263,$\phi$,dfa (short)
Trace,10.0,0.40486235668072323,-1.216992259649682,0.05882124100958184,$\phi$,dfa (short)
Shuffled,10.0,0.428775251391428,-1.482190740740963,0.02827361422078294,$\phi$,dfa (short)
Trace,11.0,0.409458715904652,-1.4856840308619401,0.005274137421108803,$\phi$,dfa (short)
Shuffled,11.0,0.40501613663624,-1.3278947179578564,0.09978715274262616,$\phi$,dfa (short)
Trace,12.0,0.17836552657719917,-0.7857790493469059,0.02231335164823788,$\phi$,dfa (short)
Shuffled,12.0,0.6043035470449475,-1.8143988289437525,0.048967380295026376,$\phi$,dfa (short)
Trace,5.0,0.7338197691436026,-2.0411264537480065,0.022480302917068873,$f$,dfa (short)
Shuffled,5.0,0.6375910272919839,-1.6460863400078936,0.0681832242883373,$f$,dfa (short)
Trace,6.0,0.3444578111272783,-1.1964447437392327,0.11164701946540467,$f$,dfa (short)
Shuffled,6.0,0.5170606459072757,-1.6841910654383303,0.045494952438144866,$f$,dfa (short)
Trace,7.0,0.365883777727609,-1.2650873780794525,0.053590092755201685,$f$,dfa (short)
Shuffled,7.0,0.30253510330757116,-1.0900338208360787,0.047848140106066014,$f$,dfa (short)
Trace,8.0,0.597157108985579,-1.7702431286230402,0.01728205251250099,$f$,dfa (short)
Shuffled,8.0,0.3988142516335052,-1.288772424611989,0.0032929225084135103,$f$,dfa (short)
Trace,9.0,0.9613304704478676,-2.834622200121397,0.063652675980398,$f$,dfa (short)
Shuffled,9.0,1.2056791279324637,-3.2487328693239967,0.22680773183535058,$f$,dfa (short)
Trace,10.0,0.6697251416704065,-2.155912893534883,0.13154351973683015,$f$,dfa (short)
Shuffled,10.0,0.486312037090161,-1.5313639686371672,0.09854772181033873,$f$,dfa (short)
Trace,5.0,0.5096544560744479,-1.4883333518815565,0.10340056562978073,$\Delta$,dfa (short)
Shuffled,5.0,0.7087272440874612,-2.0148341974669113,0.05526382122296038,$\Delta$,dfa (short)
Trace,6.0,0.5540542259160747,-1.5234199583899526,0.12356827691804466,$\Delta$,dfa (short)
Shuffled,6.0,0.4255466278266777,-1.3062937052756596,0.11274759321240319,$\Delta$,dfa (short)
Trace,7.0,0.3134134984068556,-1.2603747245516392,0.09042184600740748,$\Delta$,dfa (short)
Shuffled,7.0,0.2941971314849439,-1.2958877976251766,0.03466702216472068,$\Delta$,dfa (short)
Trace,8.0,0.38238723323545976,-1.2031932077596506,0.040793053294410124,$\Delta$,dfa (short)
Shuffled,8.0,0.3684540502264621,-1.257946577006523,0.011192429064222062,$\Delta$,dfa (short)
Trace,9.0,0.532018345837473,-1.6535474631231626,0.057438653616957484,$\Delta$,dfa (short)
Shuffled,9.0,0.7204000122433704,-2.0557935547026207,0.11009029328941736,$\Delta$,dfa (short)
Trace,10.0,0.44854725296292347,-1.3027922910581067,0.06776178169880513,$\Delta$,dfa (short)
Shuffled,10.0,0.46955319631647147,-1.5800361748870249,0.03980356504490255,$\Delta$,dfa (short)
Trace,11.0,0.6125770870230327,-1.8955908165446629,0.06664375338586398,$\Delta$,dfa (short)
Shuffled,11.0,0.7635761364094689,-2.14167672720392,0.04823601946444877,$\Delta$,dfa (short)
Trace,12.0,0.3171835218471872,-1.098115940799848,0.04969565530231712,$\Delta$,dfa (short)
Shuffled,12.0,0.42585712434195383,-1.4413850032173974,0.017755233024399252,$\Delta$,dfa (short)
Trace,5.0,0.6010645417013087,-1.6777860979471761,0.008920927447066464,$\tau$,dfa (short)
Shuffled,5.0,0.46524376902960674,-1.527352550215895,0.0758117160016027,$\tau$,dfa (short)
Trace,6.0,0.33398231907354686,-1.1010177266042418,0.001764426044938043,$\tau$,dfa (short)
Shuffled,6.0,0.5240546457431692,-1.5419176517991695,0.04045567139307107,$\tau$,dfa (short)
Trace,7.0,0.3363440202110686,-1.2987249016743625,0.025424661582221453,$\tau$,dfa (short)
Shuffled,7.0,0.3831203112097522,-1.3941655361029928,0.04248697536385779,$\tau$,dfa (short)
Trace,8.0,0.271049957634064,-1.0238239635181479,0.011937900249375919,$\tau$,dfa (short)
Shuffled,8.0,0.3493597712378409,-1.2925758450786593,0.020303535817941008,$\tau$,dfa (short)
