dataset,lineage_ID,slope,intercept,std_err,variable,kind
Trace,1.0,0.909172567397971,-4.4347208905739794,0.12077684058241382,$f_n e^{\phi_{n}}$,dfa (short)
Trace,1.0,0.34398718889148644,-3.0546359109603007,0.01224781918072917,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,1.0,0.17377162419707495,-3.087451655921286,0.0632094572753965,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,1.0,0.22420617472906063,-2.776832675299433,0.0484914278556203,$f_n e^{\phi_{n}}$,mean (short)
Trace,2.0,0.2261030957270662,-3.792449584692782,0.09640310679198662,$f_n e^{\phi_{n}}$,dfa (short)
Trace,2.0,0.4015660160807167,-3.8449813051795916,0.053543702144199366,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,2.0,0.436914975071246,-4.1591575737392805,0.15923712931912953,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,2.0,-0.02134258079985305,-2.972690538385164,0.023798959734297288,$f_n e^{\phi_{n}}$,mean (short)
Trace,3.0,0.4823921700972565,-4.1809066238984,0.04355684944343792,$f_n e^{\phi_{n}}$,dfa (short)
Trace,3.0,0.5049681621655147,-3.8033486000115873,0.034752131142333935,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,3.0,0.516828368154219,-4.167740801020193,0.043445017029881294,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,3.0,0.46965004245303454,-3.790885544696705,0.021733003983414566,$f_n e^{\phi_{n}}$,mean (short)
Trace,4.0,0.5253492664789283,-3.994876823177691,0.04186434113018811,$f_n e^{\phi_{n}}$,dfa (short)
Trace,4.0,0.6350233906978472,-3.819418409446925,0.03436309941615453,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,4.0,0.43299318959302635,-4.249645011280767,0.04746213665334489,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,4.0,0.4535048899253573,-3.738871984289921,0.05392113248012195,$f_n e^{\phi_{n}}$,mean (short)
