dataset,lineage_ID,slope,intercept,std_err,variable,kind
Trace,15.0,0.4980598361520135,-1.54720922811382,0.016277182982255986,$r$,dfa (short)
Shuffled,15.0,0.4927164403707627,-1.5049057214562482,0.020116195184582283,$r$,dfa (short)
Trace,16.0,0.4275208285664815,-1.575835602165981,0.0370513064660594,$r$,dfa (short)
Shuffled,16.0,0.7563093542565366,-2.1138506953851346,0.017282482148372934,$r$,dfa (short)
Trace,17.0,0.45614562105084105,-1.5304134967731196,0.055451134494015605,$r$,dfa (short)
Shuffled,17.0,0.5131274029846918,-1.6762936676816935,0.09687284643193672,$r$,dfa (short)
Trace,18.0,0.3089119574042132,-1.1286636375995638,0.0734152166870531,$r$,dfa (short)
Shuffled,18.0,0.4693498951701102,-1.4503223203856717,0.05726021820889239,$r$,dfa (short)
Trace,45.0,0.4451738608586395,-1.4876974363563122,0.018464974753188555,$r$,dfa (short)
Shuffled,45.0,0.5489385846915056,-1.6230636191163974,0.01292286627862956,$r$,dfa (short)
Trace,46.0,0.4443913121379983,-1.5767491286024815,0.07813854397965246,$r$,dfa (short)
Shuffled,46.0,0.4511131649774326,-1.5138239430759128,0.01505019309437538,$r$,dfa (short)
Trace,47.0,0.496771704151512,-1.7830111666570043,0.13921058289226962,$r$,dfa (short)
Shuffled,47.0,0.483199542478637,-1.4915043705433104,0.11030595494556081,$r$,dfa (short)
Trace,15.0,0.5756244709657726,-1.7317719575578612,0.025635250196184414,$\phi$,dfa (short)
Shuffled,15.0,0.4553831621893865,-1.383436594260787,0.013789799166800681,$\phi$,dfa (short)
Trace,16.0,0.386549265347367,-1.3505003442499846,0.034978019694075504,$\phi$,dfa (short)
Shuffled,16.0,0.7640616331615553,-2.0814811086728464,0.011409631826730651,$\phi$,dfa (short)
Trace,17.0,0.3035171638884715,-1.2195425531880904,0.019154508596950837,$\phi$,dfa (short)
Shuffled,17.0,0.45537614937139803,-1.5953821247513775,0.11505157520717108,$\phi$,dfa (short)
Trace,18.0,0.6192171386495688,-1.8366207347535588,0.06451227893498299,$\phi$,dfa (short)
Shuffled,18.0,0.16149177716475874,-0.796775192168159,0.03520770325593903,$\phi$,dfa (short)
Trace,45.0,0.6757940959400633,-1.8735120016200975,0.06304333249610061,$\phi$,dfa (short)
Shuffled,45.0,0.38825592966695993,-1.1756269559662726,0.019996801371237976,$\phi$,dfa (short)
Trace,46.0,0.41631431418376336,-1.3875044852822849,0.04240412050835561,$\phi$,dfa (short)
Shuffled,46.0,0.4597402686282821,-1.4605430023938788,0.023209612354589387,$\phi$,dfa (short)
Trace,47.0,0.46787790917160926,-1.5539104391899454,0.06781030469063996,$\phi$,dfa (short)
Shuffled,47.0,0.5042367132035162,-1.6018914630451166,0.05304888962148871,$\phi$,dfa (short)
Trace,48.0,0.39475943778283573,-1.2882741707208796,0.07091040703872034,$\phi$,dfa (short)
Shuffled,48.0,0.23058666711352493,-0.8474841539457292,0.0071864829959408585,$\phi$,dfa (short)
Trace,15.0,0.7015592648960526,-1.8860256167991207,0.03246795595246689,$f$,dfa (short)
Shuffled,15.0,0.3668635196081177,-1.117969944733071,0.04121526081216674,$f$,dfa (short)
Trace,16.0,0.7395992679140604,-1.9474382780634736,0.049614126923000795,$f$,dfa (short)
Shuffled,16.0,0.4527567798606594,-1.3562480963514336,0.04274039074993719,$f$,dfa (short)
Trace,17.0,0.7222253385060872,-1.9119109230813642,0.016027728270323793,$f$,dfa (short)
Shuffled,17.0,0.21459256645086852,-0.9798506407843748,0.016560429435927775,$f$,dfa (short)
Trace,18.0,0.7751339239719044,-2.210962352109536,0.039011304393544693,$f$,dfa (short)
Shuffled,18.0,0.8747078700846859,-2.2129054434287023,0.15315366051574256,$f$,dfa (short)
Trace,45.0,0.9515698269988153,-2.3386110272603915,0.07499686902229956,$f$,dfa (short)
Shuffled,45.0,0.3878010134525889,-1.3137572732243392,0.08563384429737303,$f$,dfa (short)
Trace,46.0,0.8779083047495004,-2.239081239572518,0.07445361853788184,$f$,dfa (short)
Shuffled,46.0,0.5035531380093851,-1.6198784359576088,0.10817075064517051,$f$,dfa (short)
Trace,47.0,0.8649114055371981,-2.2013784851922646,0.051115423003862445,$f$,dfa (short)
Shuffled,47.0,0.6200076238303295,-1.8174432381648469,0.025980706840612895,$f$,dfa (short)
Trace,15.0,0.7197937955572172,-2.0164472349893043,0.03794526740157772,$\Delta$,dfa (short)
Shuffled,15.0,0.48233431391292014,-1.5075283271294224,0.02999577370663953,$\Delta$,dfa (short)
Trace,16.0,0.4929192056185001,-1.6340688413088846,0.014660900078074796,$\Delta$,dfa (short)
Shuffled,16.0,0.7478996630095828,-2.1031715153367383,0.010272849116398551,$\Delta$,dfa (short)
Trace,17.0,0.5391750899738222,-1.576142084312696,0.06270491251041478,$\Delta$,dfa (short)
Shuffled,17.0,0.18819644782958858,-1.020365504095645,0.020944386451029532,$\Delta$,dfa (short)
Trace,18.0,0.9361322111381393,-2.631597089165284,0.05303118387785706,$\Delta$,dfa (short)
Shuffled,18.0,0.256624113254751,-1.0563931751324058,0.04953933091902259,$\Delta$,dfa (short)
Trace,45.0,0.9733497225639335,-2.6296805665459817,0.07893334036305695,$\Delta$,dfa (short)
Shuffled,45.0,0.5806283254533121,-1.566575830123573,0.01768403477466339,$\Delta$,dfa (short)
Trace,46.0,0.3215548083183815,-1.1667407359104853,0.0035319626857763563,$\Delta$,dfa (short)
Shuffled,46.0,0.42986588393602665,-1.4299549112580276,0.053317384413097454,$\Delta$,dfa (short)
Trace,47.0,0.5886534608735564,-1.8556290722126616,0.035812706552105125,$\Delta$,dfa (short)
Shuffled,47.0,0.551587701949238,-1.696636793135538,0.07218519335165088,$\Delta$,dfa (short)
Trace,48.0,0.31449687548489125,-1.015910995545844,0.00943086438908736,$\Delta$,dfa (short)
Shuffled,48.0,0.5085608673619946,-1.3886526460823472,0.010070589279225224,$\Delta$,dfa (short)
Trace,15.0,0.6276494518141363,-1.7920657024886963,0.04793988788691614,$\tau$,dfa (short)
Shuffled,15.0,0.47531072075275194,-1.4522497499465814,0.026053121422417055,$\tau$,dfa (short)
Trace,16.0,0.43811346938742396,-1.4246138481046007,0.017554101756596833,$\tau$,dfa (short)
Shuffled,16.0,0.8046434489973473,-2.150732780652572,0.011851914499925861,$\tau$,dfa (short)
Trace,17.0,0.4333859515956212,-1.4343042947799292,0.016776096958899023,$\tau$,dfa (short)
