dataset,lineage_ID,slope,intercept,std_err,variable,kind
Trace,1.0,0.42530221893012726,-1.5713693137217544,0.00798048150378757,$r$,dfa (short)
Shuffled,1.0,0.5638448073336659,-1.6924018783986379,0.015676228672222084,$r$,dfa (short)
Trace,2.0,0.2737850505820529,-1.1604632738016407,0.0246028317966311,$r$,dfa (short)
Shuffled,2.0,0.39940517585048757,-1.2839830758114767,0.04289976469248218,$r$,dfa (short)
Trace,4.0,0.27768633000516396,-1.3580718523583224,0.028944179482954177,$r$,dfa (short)
Shuffled,4.0,0.6146317748611603,-1.8240232978978599,0.05002800369801409,$r$,dfa (short)
Trace,6.0,0.6924593120446672,-2.314328896718094,0.020482744164767537,$r$,dfa (short)
Shuffled,6.0,0.8873244210727054,-2.5540730136620824,0.03569927187713487,$r$,dfa (short)
Trace,7.0,0.5538419542410763,-1.720105722737012,0.038811228634601375,$r$,dfa (short)
Shuffled,7.0,0.4669471186916295,-1.3898850117647101,0.018618344546409468,$r$,dfa (short)
Trace,8.0,0.25325339618221604,-0.9051727013332033,0.027665248664396354,$r$,dfa (short)
Shuffled,8.0,0.45113162461255446,-1.3099916875836655,0.0283959073802917,$r$,dfa (short)
Trace,10.0,0.3272758102435509,-1.2503259588808333,0.00294269342946108,$r$,dfa (short)
Shuffled,10.0,0.3320436418070048,-1.1803848901213259,0.01507490526810371,$r$,dfa (short)
Trace,11.0,0.35256679033543853,-1.2629087819096083,0.01766227266704826,$r$,dfa (short)
Shuffled,11.0,0.5095789441543792,-1.501580513874697,0.012183407419607356,$r$,dfa (short)
Trace,12.0,0.24091734297984313,-0.9157477702000629,0.038303524094423294,$r$,dfa (short)
Shuffled,12.0,0.45485069396890715,-1.407373688794752,0.04742712848723316,$r$,dfa (short)
Trace,13.0,0.3627427240984784,-1.3032628520373395,0.009755530915006683,$r$,dfa (short)
Shuffled,13.0,0.34517412326274327,-1.1173116351451355,0.05862957506365511,$r$,dfa (short)
Trace,14.0,0.2650272700505907,-1.143324587884836,0.011761774859408892,$r$,dfa (short)
Shuffled,14.0,0.5083479039815707,-1.480538206616299,0.013684389060998333,$r$,dfa (short)
Trace,15.0,0.24319049502479131,-0.9446023756339159,0.02643544112448358,$r$,dfa (short)
Shuffled,15.0,0.5850855927383337,-1.7204903171599795,0.013690695695115624,$r$,dfa (short)
Trace,16.0,0.39045762643739546,-1.3295023119283527,0.014281877024283808,$r$,dfa (short)
Shuffled,16.0,0.3836705122040783,-1.2846262792570775,0.05256697215264972,$r$,dfa (short)
Trace,17.0,0.8976445784660898,-3.194574451883753,0.023813718578867778,$r$,dfa (short)
Shuffled,17.0,0.6808407576342407,-2.9518270765182417,0.11590820701857193,$r$,dfa (short)
Trace,19.0,0.2847586333395862,-1.239437411861526,0.014880908872444913,$r$,dfa (short)
Shuffled,19.0,0.6178780206220601,-1.7793219608979072,0.00929758686145103,$r$,dfa (short)
Trace,20.0,0.39696524888478946,-1.352210617349754,0.01514847643590568,$r$,dfa (short)
Shuffled,20.0,0.5131504178647573,-1.5430972988130247,0.02474046741323211,$r$,dfa (short)
Trace,21.0,0.6225034698022031,-1.8454605034745635,0.02081468969278892,$r$,dfa (short)
Shuffled,21.0,0.565103667004642,-1.6335286465073169,0.04134985643010842,$r$,dfa (short)
Trace,22.0,0.29459508677268575,-1.1552474301484077,0.016187848658611066,$r$,dfa (short)
Shuffled,22.0,0.5854027460366902,-1.740155253645976,0.014839430193186265,$r$,dfa (short)
Trace,23.0,0.335804109538974,-1.2103113258102929,0.0711021453980231,$r$,dfa (short)
Shuffled,23.0,0.5245868179272382,-1.5168834116091952,0.03208732601939044,$r$,dfa (short)
Trace,24.0,0.2792632507822057,-1.1146977293669136,0.035792255240038706,$r$,dfa (short)
Shuffled,24.0,0.39041719693456756,-1.385658954501524,0.020960939564052188,$r$,dfa (short)
Trace,25.0,0.3700488202136642,-1.3330646525418381,0.03132603396987792,$r$,dfa (short)
Shuffled,25.0,0.5334862516015269,-1.6334293283406758,0.042344930599516155,$r$,dfa (short)
Trace,26.0,0.5280573705979964,-1.7003143019509055,0.013767387402961706,$r$,dfa (short)
Shuffled,26.0,0.6025625209272208,-1.8623576678517282,0.017564300201836507,$r$,dfa (short)
Trace,27.0,0.5366996876978255,-1.972421465207756,0.10243637976725804,$r$,dfa (short)
Shuffled,27.0,0.720745015423435,-2.3287875695128184,0.1665595341034438,$r$,dfa (short)
Trace,28.0,0.4710435691169317,-1.7259271573482682,0.029619152162001016,$r$,dfa (short)
Shuffled,28.0,0.5429712981343824,-1.737540536143781,0.02693183859917604,$r$,dfa (short)
Trace,29.0,0.3322084582500637,-1.311439246300519,0.005674288626629299,$r$,dfa (short)
Shuffled,29.0,0.5026604457767795,-1.6034516713913078,0.019666553120550902,$r$,dfa (short)
Trace,30.0,0.4585235270017426,-1.744992885048815,0.009348311414400966,$r$,dfa (short)
Shuffled,30.0,0.5366644764366973,-1.7108573376668235,0.015312171989102813,$r$,dfa (short)
Trace,31.0,0.4779599636673932,-1.5918606992204751,0.07550751447867884,$r$,dfa (short)
Shuffled,31.0,0.8802600511590415,-2.4447552233225895,0.06863728607527313,$r$,dfa (short)
Trace,32.0,0.42240360011795,-1.658722598734732,0.013389449821713927,$r$,dfa (short)
Shuffled,32.0,0.540227973846825,-1.7120305697304443,0.034563856359476154,$r$,dfa (short)
Trace,33.0,0.33451179312950863,-1.3371533334683807,0.11442852183262076,$r$,dfa (short)
Shuffled,33.0,0.534504177007624,-1.5896238267641332,0.05388779782806863,$r$,dfa (short)
Trace,35.0,0.5425252757387925,-2.2222243694562507,0.015232654953845947,$r$,dfa (short)
Shuffled,35.0,0.6532592671959236,-2.279391843757303,0.023172048481860535,$r$,dfa (short)
Trace,36.0,0.36679701243543217,-1.3531456740985561,0.018413054518045504,$r$,dfa (short)
Shuffled,36.0,0.44939970025785725,-1.4497443706290774,0.027896390052182533,$r$,dfa (short)
Trace,38.0,0.2436059220504109,-0.9927863739715427,0.022092998920748147,$r$,dfa (short)
Shuffled,38.0,0.6431519312092991,-1.8069480965160054,0.034512219666747654,$r$,dfa (short)
Trace,39.0,0.8204801396328247,-2.855022934562291,0.007091372291721319,$r$,dfa (short)
Shuffled,39.0,0.7072644186312016,-2.482325769728909,0.04563919157882914,$r$,dfa (short)
Trace,40.0,0.3012558763193976,-1.0802210731788353,0.021152712000427027,$r$,dfa (short)
Shuffled,40.0,0.4718602607241968,-1.5351887610245512,0.01069522395434042,$r$,dfa (short)
Trace,41.0,0.2911045299047767,-1.1368886213995517,0.010239696948837465,$r$,dfa (short)
Shuffled,41.0,0.6104963661987972,-1.783655913599153,0.012898592290445179,$r$,dfa (short)
Trace,42.0,0.4986522769821708,-1.7551672782565466,0.030919081345430175,$r$,dfa (short)
Shuffled,42.0,0.6342807731600958,-1.9086159441260255,0.033274319970823585,$r$,dfa (short)
Trace,43.0,0.3963250593703328,-1.4572340823182461,0.026210930257415613,$r$,dfa (short)
Shuffled,43.0,0.4117089837060934,-1.3246641618880592,0.02909142712817007,$r$,dfa (short)
Trace,44.0,0.29895245301289475,-1.2477401013243878,0.050988820509948005,$r$,dfa (short)
Shuffled,44.0,0.5973816685949441,-1.7523209657201178,0.03508686918561396,$r$,dfa (short)
Trace,46.0,0.5763546297388773,-2.079934319934943,0.010669954288428663,$r$,dfa (short)
Shuffled,46.0,0.6166188084448071,-2.0250610568121914,0.012310111657154246,$r$,dfa (short)
Trace,47.0,0.5515924394544924,-1.9944221429598046,0.021040662516338324,$r$,dfa (short)
Shuffled,47.0,0.6450362220373772,-2.101538731012412,0.033440060108225325,$r$,dfa (short)
Trace,49.0,0.08818055130850905,-1.1569737282609418,0.0638253535500624,$r$,dfa (short)
Shuffled,49.0,0.32371961065449417,-1.1622431104878574,0.024356256718847672,$r$,dfa (short)
Trace,50.0,0.39805119231643143,-1.68510961906003,0.02623821216747976,$r$,dfa (short)
Shuffled,50.0,0.3166762652978608,-1.2244350369266643,0.024867035751089592,$r$,dfa (short)
Trace,51.0,0.6781399624922346,-2.4343105061584436,0.012638634785857911,$r$,dfa (short)
Shuffled,51.0,0.7489821355798804,-2.515421470442324,0.015891602925476023,$r$,dfa (short)
Trace,52.0,0.2579167148566358,-1.1199024466976069,0.011776446822445158,$r$,dfa (short)
Shuffled,52.0,0.525129278239827,-1.4810750162321948,0.01925738664318285,$r$,dfa (short)
Trace,53.0,0.1614231301526723,-1.1033493812591622,0.060295329260967395,$r$,dfa (short)
Shuffled,53.0,0.4898491240713936,-1.6279384807629058,0.04155954303367061,$r$,dfa (short)
Trace,55.0,0.8675392563115709,-3.1826601316817023,0.029130982459542647,$r$,dfa (short)
Shuffled,55.0,0.9793700478361637,-3.5280236325954037,0.01794338532311788,$r$,dfa (short)
Trace,1.0,0.4070719995364871,-1.4055325866024524,0.009856229271307923,$\phi$,dfa (short)
Shuffled,1.0,0.5424892338629111,-1.61450028633347,0.0073331921742625745,$\phi$,dfa (short)
Trace,2.0,0.2894266786062049,-1.1349978536093857,0.011598368088002858,$\phi$,dfa (short)
Shuffled,2.0,0.38277879281722493,-1.279549033519927,0.0167464654401086,$\phi$,dfa (short)
Trace,4.0,0.2983577979721006,-1.15772695930857,0.011099628159350498,$\phi$,dfa (short)
Shuffled,4.0,0.516148585635414,-1.568620337910597,0.012182734149578624,$\phi$,dfa (short)
Trace,6.0,0.5274651895201137,-1.5662494754397318,0.058416814159295664,$\phi$,dfa (short)
Shuffled,6.0,0.6887948822863973,-1.7616606579553706,0.030640242477846642,$\phi$,dfa (short)
Trace,7.0,0.4488485822230615,-1.491388254709743,0.04228654572684081,$\phi$,dfa (short)
Shuffled,7.0,0.5133220437720276,-1.513353230885348,0.04858030941803911,$\phi$,dfa (short)
Trace,8.0,0.41499299928229877,-1.3488429772473132,0.014868749906353246,$\phi$,dfa (short)
Shuffled,8.0,0.5005616191750428,-1.45449776763865,0.01772784273557828,$\phi$,dfa (short)
Trace,10.0,0.40037823729800087,-1.390550118606699,0.012248957701517474,$\phi$,dfa (short)
