dataset,lineage_ID,slope,intercept,std_err,variable,kind
Trace,3.0,0.48402441075167885,-1.6791971925466218,0.04700449722181896,$r$,dfa (short)
Shuffled,3.0,0.5738667120609137,-1.6576943967287305,0.019767299658007182,$r$,dfa (short)
Trace,7.0,0.5045216320358252,-1.367873793819241,0.07312952748391756,$r$,dfa (short)
Shuffled,7.0,0.599426428607811,-1.661277214988493,0.061705090061524755,$r$,dfa (short)
Trace,9.0,0.2909279785333941,-1.1002613392249139,0.027855113956814212,$r$,dfa (short)
Shuffled,9.0,0.4143001711425465,-1.2645463807116448,0.04788842389153127,$r$,dfa (short)
Trace,11.0,0.23364042667579774,-0.9096782174375331,0.04581649418635569,$r$,dfa (short)
Shuffled,11.0,0.4079330705412003,-1.290492102788546,0.018090275339140417,$r$,dfa (short)
Trace,12.0,0.3574030706211844,-1.384941614167332,0.022452049498316924,$r$,dfa (short)
Shuffled,12.0,0.46524984463197055,-1.4574164827482303,0.028224209913309622,$r$,dfa (short)
Trace,13.0,0.27578781790151924,-1.144663597992552,0.0019072394398359316,$r$,dfa (short)
Shuffled,13.0,0.9446137687457623,-2.627524641891159,0.0301591232876652,$r$,dfa (short)
Trace,14.0,0.3048461211859352,-1.2966305934005278,0.06772157681884076,$r$,dfa (short)
Shuffled,14.0,0.3677971135294634,-1.1041576600592429,0.02721543012776594,$r$,dfa (short)
Trace,16.0,0.3669422663053963,-1.5421822801990719,0.0338664874973259,$r$,dfa (short)
Shuffled,16.0,0.7010165253201847,-2.13496610507757,0.16696044140892116,$r$,dfa (short)
Trace,20.0,0.1920062099846879,-1.020836579714266,0.04786767177791761,$r$,dfa (short)
Shuffled,20.0,0.5781563086401951,-1.7080105565197736,0.05241394187141722,$r$,dfa (short)
Trace,21.0,0.6103050367182965,-1.980069273311305,0.025653051524203965,$r$,dfa (short)
Shuffled,21.0,0.7736513982427237,-2.1221990544745046,0.17565994405841898,$r$,dfa (short)
Trace,23.0,0.3953629515841298,-1.4509341589603573,0.08247480730794461,$r$,dfa (short)
