dataset,lineage_ID,slope,intercept,std_err,variable,kind
Trace,1.0,0.5895962057632336,-2.9576309929564726,0.11002751569612901,$f_n e^{\phi_{n}}$,dfa (short)
Trace,1.0,0.6773576700420336,-2.85270340597613,0.04714265898956604,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,1.0,0.7473395981471225,-3.2380179282744703,0.08452929323394456,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,1.0,0.3722236767570247,-2.0413358094028844,0.06536895392050912,$f_n e^{\phi_{n}}$,mean (short)
Trace,2.0,0.3051139098479554,-3.171678102130981,0.01658715330399175,$f_n e^{\phi_{n}}$,dfa (short)
Trace,2.0,0.24624141990483175,-2.8632182195518756,0.030846866253551798,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,2.0,0.4574711671445896,-3.511663734577649,0.01055290501378948,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,2.0,0.5604693812767848,-3.1354246484942667,0.010902842823162805,$f_n e^{\phi_{n}}$,mean (short)
Trace,3.0,0.14932754709268645,-3.324276238613747,0.046635963902008165,$f_n e^{\phi_{n}}$,dfa (short)
Trace,3.0,0.19664633436775442,-3.194230652144958,0.046811901037264646,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,3.0,0.8750976154170604,-4.523155310958691,0.05387360278818358,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,3.0,0.44114566789669724,-3.151593477176206,0.025220108514296596,$f_n e^{\phi_{n}}$,mean (short)
Trace,4.0,0.27277515113254674,-3.471090660968245,0.049191084738213174,$f_n e^{\phi_{n}}$,dfa (short)
Trace,4.0,0.10637788787352956,-2.921320794844023,0.012101834762112976,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,4.0,0.2873205755702758,-3.4948732174814783,0.023045608430223487,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,4.0,0.4621047446656606,-3.417440257462716,0.011810630645320966,$f_n e^{\phi_{n}}$,mean (short)
Trace,5.0,0.4739392809214006,-3.7494413739249755,0.013949715898748197,$f_n e^{\phi_{n}}$,dfa (short)
Trace,5.0,0.566411106598275,-3.478056939244092,0.011205675052245994,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,5.0,0.42231512935046867,-3.5436666098854968,0.016212706890471874,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,5.0,0.3155396471269086,-2.8598908980821918,0.015149188379516435,$f_n e^{\phi_{n}}$,mean (short)
Trace,6.0,0.5638245930083696,-3.9210898848075635,0.02227471804385193,$f_n e^{\phi_{n}}$,dfa (short)
Trace,6.0,0.4051103475742116,-3.1667454964240154,0.011396531191783842,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,6.0,0.5409165373073944,-3.826507182252619,0.023608493023089993,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,6.0,0.3271124575750468,-3.0036101929459007,0.02685998660859493,$f_n e^{\phi_{n}}$,mean (short)
Trace,7.0,0.2901002245813063,-3.1331191695639284,0.017431389507512565,$f_n e^{\phi_{n}}$,dfa (short)
Trace,7.0,0.2126529291387037,-2.7529507027109807,0.008899155144767166,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,7.0,0.41611538692758654,-3.274347662368772,0.02891986262333686,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,7.0,0.2996367084145043,-2.6513613989225906,0.019978577392533066,$f_n e^{\phi_{n}}$,mean (short)
Trace,8.0,0.24858643876463005,-3.314720923284069,0.006040379033487902,$f_n e^{\phi_{n}}$,dfa (short)
Trace,8.0,0.2655255953956173,-3.1049455244775483,0.008245439790061806,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,8.0,0.5064371758831451,-3.7351468235235767,0.0037748990663869645,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,8.0,0.637186902582534,-3.4406931527265012,0.004468506001156707,$f_n e^{\phi_{n}}$,mean (short)
Trace,9.0,0.4171051757773947,-3.2162872147531405,0.0070354546515050045,$f_n e^{\phi_{n}}$,dfa (short)
Trace,9.0,0.31145729674435013,-2.65586701409079,0.017677013272176086,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,9.0,0.45601668277850915,-3.25116104191222,0.016373632877611576,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,9.0,0.3323022411082883,-2.5005119391304316,0.015759006112861178,$f_n e^{\phi_{n}}$,mean (short)
Trace,10.0,0.5977412983210068,-3.337842996629908,0.05439831571533068,$f_n e^{\phi_{n}}$,dfa (short)
Trace,10.0,0.3314886949502025,-2.4779042823043866,0.049693226799633936,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,10.0,0.7201090078284033,-3.537347491373512,0.06007847046409179,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,10.0,0.4277497262076249,-2.4416425429237276,0.0454087998396555,$f_n e^{\phi_{n}}$,mean (short)
Trace,11.0,0.585343812495711,-3.86296680705607,0.01653223930554788,$f_n e^{\phi_{n}}$,dfa (short)
Trace,11.0,0.6132757635249577,-3.4150480765885742,0.0035955895686020025,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,11.0,0.5869653268335544,-3.7835927683200383,0.017088418117190106,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,11.0,0.5558342486933442,-3.2337156824040516,0.004660489634534263,$f_n e^{\phi_{n}}$,mean (short)
