dataset,lineage_ID,slope,intercept,std_err,variable,kind
Trace,1.0,0.4045165462710804,-3.7585091028260127,0.027734043996466264,$f_n e^{\phi_{n}}$,dfa (short)
Trace,1.0,0.36081859716621567,-3.446493059194486,0.011069890490475132,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,1.0,0.791678733654579,-4.638126344390385,0.011189292669326535,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,1.0,0.5673381238519091,-3.466664961924395,0.036472012429368886,$f_n e^{\phi_{n}}$,mean (short)
Trace,2.0,0.3766565628079103,-3.7582703771353856,0.014674881467404064,$f_n e^{\phi_{n}}$,dfa (short)
Trace,2.0,0.2666060581561751,-3.2848229557027464,0.021562399759531933,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,2.0,0.49346547695178367,-3.8426015978930623,0.03904656167397553,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,2.0,0.35419809250557355,-3.053967330995434,0.025094748005146036,$f_n e^{\phi_{n}}$,mean (short)
Trace,3.0,0.3331776071974857,-3.3982649760837225,0.009335074550358334,$f_n e^{\phi_{n}}$,dfa (short)
Trace,3.0,0.2682262985874374,-3.117791958827286,0.006472434635626299,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,3.0,0.4827931986547295,-3.5441267266046435,0.012068149555926817,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,3.0,0.32807890637694165,-2.875307585359987,0.0185547397009562,$f_n e^{\phi_{n}}$,mean (short)
Trace,4.0,0.22261369218410065,-3.572948250142447,0.02690289408276275,$f_n e^{\phi_{n}}$,dfa (short)
Trace,4.0,0.07139682418738935,-2.9819555032518728,0.008923939021976083,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,4.0,0.48612742649496593,-3.8493057713466623,0.013661401156919072,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,4.0,0.6105454737155348,-3.718923754316076,0.008521148142663056,$f_n e^{\phi_{n}}$,mean (short)
Trace,5.0,0.31335457081792295,-4.229627821062286,0.03416089969375952,$f_n e^{\phi_{n}}$,dfa (short)
Trace,5.0,0.1917791725669549,-3.7263452550298766,0.018106118481450346,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,5.0,0.3419237224968266,-4.164661267789142,0.030268571271592812,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,5.0,0.21399475167902668,-3.537292207735,0.019183421423370886,$f_n e^{\phi_{n}}$,mean (short)
Trace,6.0,0.3771434697656504,-3.6323300662885947,0.04372453733729391,$f_n e^{\phi_{n}}$,dfa (short)
Trace,6.0,0.16840437800157013,-2.9175290657733726,0.02315913482633276,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,6.0,0.5486538135248751,-3.900317875868942,0.019949447507206827,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,6.0,0.5451219678156005,-3.437621256457095,0.004825670253968089,$f_n e^{\phi_{n}}$,mean (short)
Trace,7.0,0.14603850796230644,-3.69184966798183,0.012823126469386884,$f_n e^{\phi_{n}}$,dfa (short)
Trace,7.0,0.09465520804052747,-3.3816953051420606,0.00433657570272784,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,7.0,0.5028450317236438,-4.067900435674265,0.024922396203292875,$f_n e^{\phi_{n}}$,dfa (short)
