dataset,lineage_ID,slope,intercept,std_err,variable,kind
Trace,1.0,0.2532872050930216,-1.0665784196552537,0.022548822373852414,$r$,dfa (short)
Shuffled,1.0,0.40335177882118894,-1.4793511671936668,0.04530545720049861,$r$,dfa (short)
Trace,2.0,0.545141843209254,-1.910474170288984,0.019653769225539033,$r$,dfa (short)
Shuffled,2.0,0.6015566280994464,-1.9080827101314952,0.014650425913429,$r$,dfa (short)
Trace,3.0,0.287062475277903,-1.1396429343163375,0.027009102362594874,$r$,dfa (short)
Shuffled,3.0,0.5317968058697959,-1.59930836355525,0.0297297006091326,$r$,dfa (short)
Trace,4.0,0.23421413754532866,-1.011391592488055,0.04294452819186327,$r$,dfa (short)
Shuffled,4.0,0.518809311083915,-1.6116602891639795,0.024899495321448976,$r$,dfa (short)
Trace,5.0,0.17027216293362693,-0.9093130767611033,0.033383333666155875,$r$,dfa (short)
Shuffled,5.0,0.47170658000864557,-1.573624804974712,0.03304000407445749,$r$,dfa (short)
Trace,6.0,0.32339559049772654,-1.1231096106725376,0.04523197493048222,$r$,dfa (short)
Shuffled,6.0,0.38367062571781374,-1.2971345870796542,0.03767183010138298,$r$,dfa (short)
Trace,7.0,0.4587594451533846,-1.4709792164052737,0.050959615250665544,$r$,dfa (short)
Shuffled,7.0,0.5635684842124199,-1.632764020204661,0.01582773202124419,$r$,dfa (short)
Trace,8.0,0.23377339464009647,-1.1907531728201333,0.054469793825704174,$r$,dfa (short)
Shuffled,8.0,0.7317994659415064,-2.1290172300521095,0.12345767305645862,$r$,dfa (short)
Trace,9.0,0.4172600593098013,-1.1967474471433162,0.06232438299892249,$r$,dfa (short)
Shuffled,9.0,0.330733909109609,-1.1578192280799122,0.0146926512557709,$r$,dfa (short)
Trace,10.0,0.3373192152137512,-1.192644474837381,0.036655171440631094,$r$,dfa (short)
Shuffled,10.0,0.37499873957459107,-1.2555841654837592,0.028884140237019816,$r$,dfa (short)
Trace,11.0,0.51481864641373,-1.6668377493052016,0.027032367457092782,$r$,dfa (short)
Shuffled,11.0,0.5081354797359258,-1.5610343302021585,0.0394978811623455,$r$,dfa (short)
Trace,12.0,0.6074133540731684,-2.1463313208120214,0.023935399880511007,$r$,dfa (short)
Shuffled,12.0,0.598546595580575,-1.9411634596668463,0.01290156847909651,$r$,dfa (short)
Trace,13.0,0.4139026460572016,-1.1850226349001054,0.02522976479205657,$r$,dfa (short)
Shuffled,13.0,0.43490811029040355,-1.3080908959982303,0.040387194242587056,$r$,dfa (short)
Trace,14.0,0.1978392726275269,-0.9686745899887255,0.04377242787649745,$r$,dfa (short)
Shuffled,14.0,0.48041763365168116,-1.5228761223814793,0.05679175237591283,$r$,dfa (short)
Trace,15.0,0.27878582908960214,-1.1007972765662672,0.05392186658074705,$r$,dfa (short)
Shuffled,15.0,0.6508817745553841,-1.7111593361419133,0.012973858497825404,$r$,dfa (short)
Trace,16.0,0.2859055794847809,-1.0145934932413851,0.026285429270439805,$r$,dfa (short)
Shuffled,16.0,0.5809902461193595,-1.5505023167619076,0.061505460638274764,$r$,dfa (short)
Trace,17.0,0.2008435845307586,-0.8111834308972885,0.04608828090102601,$r$,dfa (short)
Shuffled,17.0,0.5151775174650811,-1.4714527234350303,0.03306546565226989,$r$,dfa (short)
Trace,18.0,0.4011628621244008,-1.3502896237143656,0.06338642403015371,$r$,dfa (short)
Shuffled,18.0,0.4892553260132165,-1.3101166125815131,0.039282225308681765,$r$,dfa (short)
Trace,19.0,0.25621588989794714,-1.0419607970426872,0.031209305906963174,$r$,dfa (short)
Shuffled,19.0,0.34745104929798076,-1.128422110082444,0.06722069114563556,$r$,dfa (short)
Trace,20.0,0.33718704729270615,-1.261469942616015,0.02636692511610476,$r$,dfa (short)
Shuffled,20.0,0.610031072382569,-1.7189278230848446,0.027278291021151795,$r$,dfa (short)
Trace,21.0,0.19654456798690428,-1.005870522593864,0.011250067140062029,$r$,dfa (short)
Shuffled,21.0,0.5552538365620132,-1.6135753354016358,0.031138664382066396,$r$,dfa (short)
Trace,22.0,0.41092386593236807,-1.2173339943885837,0.04499509963467145,$r$,dfa (short)
Shuffled,22.0,0.6234410718021445,-1.8151904733680324,0.028315785632748534,$r$,dfa (short)
Trace,23.0,0.3064889509430531,-1.0800867336531887,0.042457869646428247,$r$,dfa (short)
Shuffled,23.0,0.5268274398730145,-1.4617520005635882,0.05424200684313995,$r$,dfa (short)
Trace,24.0,0.40742521677551874,-1.1768904062504906,0.07468774627019242,$r$,dfa (short)
Shuffled,24.0,0.4162498166357954,-1.32366864015545,0.03592322511184966,$r$,dfa (short)
Trace,25.0,0.3400700015307183,-1.1123293178695373,0.011809903837849467,$r$,dfa (short)
Shuffled,25.0,0.5305305574682225,-1.521853503211221,0.03557123171853075,$r$,dfa (short)
Trace,26.0,0.34229937696388585,-1.258034644452025,0.0006841784000341712,$r$,dfa (short)
Shuffled,26.0,0.6377253806469757,-1.832995773593084,0.08920045300224302,$r$,dfa (short)
Trace,27.0,0.4425114256501236,-1.4113965914417113,0.05044024396921301,$r$,dfa (short)
Shuffled,27.0,0.5354287121825322,-1.687806609869627,0.041170337930452515,$r$,dfa (short)
Trace,28.0,0.19787760288126038,-1.134388676662224,0.09753221334513683,$r$,dfa (short)
Shuffled,28.0,0.5377977781068853,-1.7913662500605252,0.0659140067937255,$r$,dfa (short)
Trace,29.0,0.4209413222318391,-1.3885379834231308,0.10270705189864816,$r$,dfa (short)
Shuffled,29.0,0.6381934295890345,-1.8134614317146256,0.021515112546162174,$r$,dfa (short)
Trace,30.0,0.3196914972251226,-1.1920156072670929,0.018383066408439754,$r$,dfa (short)
Shuffled,30.0,0.4286576233259917,-1.3220670806355,0.026481489990054414,$r$,dfa (short)
Trace,1.0,0.24574076277372967,-1.0678414371553249,0.021241821927147794,$\phi$,dfa (short)
Shuffled,1.0,0.2322218290661652,-1.0202808509204309,0.026979717820300245,$\phi$,dfa (short)
Trace,2.0,0.6479157543326517,-2.0065154183513845,0.035294828563359415,$\phi$,dfa (short)
Shuffled,2.0,0.6581728942675569,-1.8824128251742993,0.02964919078548543,$\phi$,dfa (short)
Trace,3.0,0.5252999284890212,-1.6769047682760005,0.015848647973190327,$\phi$,dfa (short)
Shuffled,3.0,0.551001751510435,-1.5207443325722547,0.04316996631097955,$\phi$,dfa (short)
Trace,4.0,0.40616712570739916,-1.270572806592784,0.05419703719740214,$\phi$,dfa (short)
Shuffled,4.0,0.517492985057221,-1.5642899810047775,0.03495064463374111,$\phi$,dfa (short)
Trace,5.0,0.22372518299065766,-0.9967715514377643,0.02577700700888932,$\phi$,dfa (short)
Shuffled,5.0,0.4113744761833735,-1.3172153361467176,0.011187046035837275,$\phi$,dfa (short)
Trace,6.0,0.42016274202386594,-1.3011668595060424,0.038284697336135196,$\phi$,dfa (short)
Shuffled,6.0,0.39650151634202985,-1.3323628521529658,0.024852754423569556,$\phi$,dfa (short)
Trace,7.0,0.43489185033010047,-1.357254836825204,0.03605660459728266,$\phi$,dfa (short)
Shuffled,7.0,0.3849515665907385,-1.2740679634849177,0.03136114189651733,$\phi$,dfa (short)
Trace,8.0,0.23051918315842124,-1.0182440462532238,0.03483802096767168,$\phi$,dfa (short)
Shuffled,8.0,0.5719040013221268,-1.7575213178267863,0.0661168773787091,$\phi$,dfa (short)
Trace,9.0,0.45754715612508606,-1.3535110197418097,0.05024545130476825,$\phi$,dfa (short)
Shuffled,9.0,0.42605445365265404,-1.3598591922712426,0.04037295218680059,$\phi$,dfa (short)
Trace,10.0,0.432983238797671,-1.3006486580942063,0.010805592677527672,$\phi$,dfa (short)
Shuffled,10.0,0.4938173061914842,-1.449778625642607,0.049055011670964155,$\phi$,dfa (short)
Trace,11.0,0.34504930428154607,-1.2812561801974034,0.017705893781015117,$\phi$,dfa (short)
Shuffled,11.0,0.5136832668982106,-1.5519622245639966,0.04923596759030687,$\phi$,dfa (short)
