dataset,lineage_ID,slope,intercept,std_err,variable,kind
Trace,3.0,0.909172567397971,-4.4347208905739794,0.12077684058241382,$f_n e^{\phi_{n}}$,dfa (short)
Trace,3.0,0.34398718889148644,-3.0546359109603007,0.01224781918072917,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,3.0,0.9321587794886811,-4.55558319281912,0.10648217282782867,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,3.0,0.7067992489749646,-3.6032825895665517,0.035107838402727,$f_n e^{\phi_{n}}$,mean (short)
Trace,4.0,0.2261030957270662,-3.792449584692782,0.09640310679198662,$f_n e^{\phi_{n}}$,dfa (short)
Trace,4.0,0.4015660160807167,-3.8449813051795916,0.053543702144199366,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,4.0,0.38953538332589355,-4.056047018151016,0.025696412268995262,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,4.0,0.24814390151813118,-3.610553034924891,0.0345377311948308,$f_n e^{\phi_{n}}$,mean (short)
Trace,5.0,0.4823921700972565,-4.1809066238984,0.04355684944343792,$f_n e^{\phi_{n}}$,dfa (short)
Trace,5.0,0.5049681621655147,-3.8033486000115873,0.034752131142333935,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,5.0,0.2723654937671769,-3.716561632838795,0.04628081240186553,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,5.0,0.5080128111558176,-3.72716833653916,0.06677260997219096,$f_n e^{\phi_{n}}$,mean (short)
Trace,6.0,0.5253492664789283,-3.994876823177691,0.04186434113018811,$f_n e^{\phi_{n}}$,dfa (short)
Trace,6.0,0.6350233906978472,-3.819418409446925,0.03436309941615453,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,6.0,0.3392629579168503,-3.8807317972582567,0.028002526577126322,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,6.0,0.3535064674989161,-3.5394223433885297,0.026546522504976976,$f_n e^{\phi_{n}}$,mean (short)
Trace,9.0,0.1866994558821665,-3.6086458659997764,0.0635663280474675,$f_n e^{\phi_{n}}$,dfa (short)
Trace,9.0,0.26778427812466216,-3.6300382163048734,0.09126837415960959,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,9.0,0.3295822587940973,-3.9722622351529453,0.23104806861052793,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,9.0,-0.030481895807430718,-3.0885325638776147,0.04451436977299314,$f_n e^{\phi_{n}}$,mean (short)
Trace,10.0,0.5001175551478712,-4.109311895385993,0.3236807260264439,$f_n e^{\phi_{n}}$,dfa (short)
Trace,10.0,0.224995094586168,-3.3941035328809193,0.1759002207625659,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,10.0,1.0373176160806372,-5.221567760524332,0.22444458970452263,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,10.0,0.4241568739330568,-3.529079304374144,0.13808390809231907,$f_n e^{\phi_{n}}$,mean (short)
Trace,11.0,0.5258153589168518,-4.096692894593912,0.1333237325270969,$f_n e^{\phi_{n}}$,dfa (short)
Trace,11.0,0.39470296384387416,-3.7227211209418325,0.1339796335807527,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,11.0,0.40447920264453835,-3.9275376769400494,0.06523515792610213,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,11.0,0.3975795947658975,-3.6427356576082794,0.07309775832877144,$f_n e^{\phi_{n}}$,mean (short)
Trace,12.0,0.3794586660930285,-4.352556239010599,0.18617148685132232,$f_n e^{\phi_{n}}$,dfa (short)
Trace,12.0,0.09992707287514134,-3.528614353763286,0.07067689974100047,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,12.0,0.6832465511072568,-4.7393732831491855,0.20137634587635028,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,12.0,0.56977217877887,-3.934116233881829,0.19076645881124107,$f_n e^{\phi_{n}}$,mean (short)
Trace,13.0,0.3697511831066722,-4.204944824979274,0.07172699541554513,$f_n e^{\phi_{n}}$,dfa (short)
Trace,13.0,0.26950293335864345,-3.8018827816896676,0.0286278875117086,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,13.0,0.3854777114373108,-4.217516324762551,0.058948331113614166,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,13.0,0.5390460774430856,-4.157250749159248,0.06132067424244976,$f_n e^{\phi_{n}}$,mean (short)
Trace,14.0,0.2880914896498401,-3.87145574938023,0.09936475227226231,$f_n e^{\phi_{n}}$,dfa (short)
Trace,14.0,0.14719769088020535,-3.413082119488842,0.037220094752498156,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,14.0,0.4467733300765656,-4.2168130973951925,0.0840818781593891,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,14.0,0.4118488991542686,-3.708468089212512,0.030877700304980993,$f_n e^{\phi_{n}}$,mean (short)
