dataset,lineage_ID,slope,intercept,std_err,variable,kind
Trace,1.0,1.121757944308507,-2.8589447543035846,0.2065291261567276,$r$,dfa (short)
Shuffled,1.0,0.533937390071096,-1.676229125116934,0.10643248548719442,$r$,dfa (short)
Trace,2.0,0.32989248402267657,-1.227535330303081,0.06371469046739088,$r$,dfa (short)
Shuffled,2.0,0.7237583742073725,-2.0167916483242365,0.0758794698856113,$r$,dfa (short)
Trace,3.0,0.44997321526896944,-1.5185273336550071,0.046796759405593094,$r$,dfa (short)
Shuffled,3.0,0.7076895513424738,-2.00919875801676,0.03520078475983643,$r$,dfa (short)
Trace,4.0,0.42237609420523675,-1.320950696080427,0.024227715454807335,$r$,dfa (short)
Shuffled,4.0,0.6040752467683496,-1.7431692225154505,0.12859669045267516,$r$,dfa (short)
Trace,5.0,0.2481568983170657,-0.964915670994527,0.03841951108829772,$r$,dfa (short)
Shuffled,5.0,0.27747534692991654,-1.3169526515345413,0.08153867847941065,$r$,dfa (short)
Trace,6.0,0.5910859945442928,-1.7426561194567105,0.38119329035848465,$r$,dfa (short)
Shuffled,6.0,0.9562522356828509,-2.4714084228065105,0.31923193332993893,$r$,dfa (short)
Trace,7.0,0.5530308531974062,-1.7232101153016384,0.11654220663685849,$r$,dfa (short)
Shuffled,7.0,0.6651084981830816,-1.8764148050884382,0.04635289580184519,$r$,dfa (short)
Trace,8.0,0.47093485826808207,-1.4768608683492292,0.04597887751099148,$r$,dfa (short)
Shuffled,8.0,0.4350734504502418,-1.461795415491015,0.03716064765145283,$r$,dfa (short)
Trace,9.0,0.5040084484801625,-1.606794017884662,0.10530751754795953,$r$,dfa (short)
Shuffled,9.0,0.3982028835220673,-1.4116028331367285,0.21450149373881547,$r$,dfa (short)
Trace,10.0,0.8160289207589614,-2.121740949953817,0.33532908720649934,$r$,dfa (short)
Shuffled,10.0,1.212334024570244,-2.7366014396241196,0.05603179307924181,$r$,dfa (short)
Trace,11.0,0.17615337150290827,-0.9650967301419062,0.1182409767088226,$r$,dfa (short)
Shuffled,11.0,0.5048415609290764,-1.5568097793663438,0.08393307501582689,$r$,dfa (short)
Trace,12.0,0.14016724152601992,-0.908583244885298,0.029768026868690414,$r$,dfa (short)
Shuffled,12.0,0.4441706379628902,-1.3898474208112503,0.019928397622381296,$r$,dfa (short)
Trace,13.0,0.3218146122589037,-1.116027025669505,0.06642433781743762,$r$,dfa (short)
Shuffled,13.0,0.6760798519950867,-1.9285818897724418,0.05698387833680398,$r$,dfa (short)
Trace,14.0,0.48478228740939594,-1.584189988938594,0.08691102130128452,$r$,dfa (short)
Shuffled,14.0,0.35098549900389303,-1.4487312694060082,0.07125016700512934,$r$,dfa (short)
Trace,15.0,0.3639980281703338,-1.3609399372058304,0.08534410056308996,$r$,dfa (short)
Shuffled,15.0,0.5311301848755097,-1.6927722450608242,0.05313295720259818,$r$,dfa (short)
Trace,16.0,0.5941386817581598,-1.7016039263652813,0.34517462442892605,$r$,dfa (short)
Shuffled,16.0,1.0915666465732694,-2.6934231685364374,0.014064349013132473,$r$,dfa (short)
Trace,17.0,0.5608416233134761,-1.5794580245502958,0.0007255058312101877,$r$,dfa (short)
Shuffled,17.0,0.6438411507940904,-1.7120107401574114,0.11364635220250235,$r$,dfa (short)
Trace,18.0,0.7930437992781784,-2.0379683104752324,0.20288660042418705,$r$,dfa (short)
Shuffled,18.0,0.4149792940403126,-1.4712488807557702,0.04779126476761554,$r$,dfa (short)
Trace,25.0,0.3023719491668156,-1.2615029123167592,0.022473467587600177,$r$,dfa (short)
Shuffled,25.0,0.6093031112588648,-1.7318130115060635,0.04669326146704988,$r$,dfa (short)
Trace,26.0,0.21791705751619744,-0.9743743222891185,0.022807859511206494,$r$,dfa (short)
Shuffled,26.0,0.4526474358835448,-1.473657596358964,0.06071540619455077,$r$,dfa (short)
Trace,27.0,0.410143351904655,-1.423298565062208,0.01410652858838252,$r$,dfa (short)
Shuffled,27.0,0.540085945347608,-1.6006562267420996,0.0709145567034373,$r$,dfa (short)
Trace,28.0,0.2713325552874036,-1.2649188258123105,0.021423331470576488,$r$,dfa (short)
Shuffled,28.0,0.39329828184550913,-1.1912550900605328,0.03332640212348869,$r$,dfa (short)
