dataset,lineage_ID,slope,intercept,std_err,variable,kind
Trace,1.0,0.19231698065247788,-3.818910580074031,0.029480046211012776,$f_n e^{\phi_{n}}$,dfa (short)
Trace,1.0,0.05155147182323172,-3.321454817648058,0.007552509039896492,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,1.0,0.6944011647128849,-4.79590166658992,0.031121955426235155,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,1.0,0.4586670869767983,-3.7572663728341835,0.020981341789151033,$f_n e^{\phi_{n}}$,mean (short)
Trace,2.0,0.15014385800498256,-3.8556652532461224,0.023199051742881054,$f_n e^{\phi_{n}}$,dfa (short)
Trace,2.0,0.08821772716573419,-3.5718917498134495,0.014407248394429929,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,2.0,0.4160041292263954,-4.307364734965012,0.017564539940134086,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,2.0,0.33313597837506975,-3.744302358545232,0.02137369925322725,$f_n e^{\phi_{n}}$,mean (short)
Trace,3.0,0.3485278513132877,-4.082653139151959,0.026527399133563268,$f_n e^{\phi_{n}}$,dfa (short)
Trace,3.0,0.2230528268971514,-3.582617881732516,0.008641374998736502,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,3.0,0.4635408650864919,-4.259326313044271,0.02615740830578772,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,3.0,0.41868192661634523,-3.823486976624088,0.007683937901442064,$f_n e^{\phi_{n}}$,mean (short)
Trace,4.0,0.47644849324260086,-4.291949332611047,0.02096337166805125,$f_n e^{\phi_{n}}$,dfa (short)
Trace,4.0,0.27754868949325284,-3.5516666557607137,0.02624668378915414,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,4.0,0.4544282306968098,-4.222166551829867,0.020492785987942488,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,4.0,0.5754876258475784,-3.9475046961431834,0.007469892700588125,$f_n e^{\phi_{n}}$,mean (short)
Trace,5.0,0.23820628665035315,-3.9071197699039786,0.021498639014465366,$f_n e^{\phi_{n}}$,dfa (short)
Trace,5.0,0.15562191900786618,-3.579062923761752,0.002726553162605881,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,5.0,0.4622512439741541,-4.288135194762097,0.020254443235178617,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,5.0,0.3371611006565967,-3.6434848951837604,0.008199957420798303,$f_n e^{\phi_{n}}$,mean (short)
Trace,6.0,0.1930280783655358,-4.055853824737018,0.020766637230812304,$f_n e^{\phi_{n}}$,dfa (short)
Trace,6.0,0.11406789549281315,-3.6958982351122702,0.007041424206164718,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,6.0,0.5349623114335117,-4.6812806903067194,0.016688244600363226,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,6.0,0.47489799614179656,-4.173525357719688,0.01701598374609987,$f_n e^{\phi_{n}}$,mean (short)
Trace,7.0,0.25366572568722656,-3.8491739259462023,0.025208047068483754,$f_n e^{\phi_{n}}$,dfa (short)
