dataset,lineage_ID,slope,intercept,std_err,variable,kind
Trace,1.0,0.38889973801129923,-3.3187001283243784,0.026342595196053652,$f_n e^{\phi_{n}}$,dfa (short)
Trace,1.0,0.22697778395361373,-2.6975501749778856,0.01638995687639718,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,1.0,0.6449042799418456,-3.7179201602738416,0.08832504276227943,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,1.0,0.5381792745024901,-2.9009447169622944,0.03620888705360084,$f_n e^{\phi_{n}}$,mean (short)
Trace,2.0,0.37555216302818184,-3.8839894980808936,0.12570458878903046,$f_n e^{\phi_{n}}$,dfa (short)
Trace,2.0,0.08445861906043167,-3.0994009830473632,0.021242518557322725,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,2.0,0.27125529059004033,-3.776014866165993,0.026514700943798045,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,2.0,0.2804510146229884,-3.5368433335584766,0.02689284056772293,$f_n e^{\phi_{n}}$,mean (short)
Trace,3.0,0.21486911515057108,-3.472292246345699,0.0156531538046508,$f_n e^{\phi_{n}}$,dfa (short)
Trace,3.0,0.12896809118729083,-3.1228908719176793,0.009410847224154004,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,3.0,0.2703927424301537,-3.5117946115607905,0.04768665215700599,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,3.0,0.23776200090413688,-3.157002278436422,0.013161699596089321,$f_n e^{\phi_{n}}$,mean (short)
Trace,4.0,0.7407429251334735,-4.0098835974827,0.018215225240667862,$f_n e^{\phi_{n}}$,dfa (short)
Trace,4.0,0.5990983455175581,-3.2415207948731184,0.015399843321068314,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,4.0,0.48714595195721233,-3.4893624062030852,0.012943135562408932,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,4.0,0.43174222205304447,-2.9079018772059797,0.019041494900866374,$f_n e^{\phi_{n}}$,mean (short)
Trace,5.0,0.19767798312503013,-3.210177069468383,0.012800786466209784,$f_n e^{\phi_{n}}$,dfa (short)
Trace,5.0,0.17250894325473518,-3.053289647585,0.022315786298011394,$f_n e^{\phi_{n}}$,mean (short)
