dataset,lineage_ID,slope,intercept,std_err,variable,kind
Trace,1.0,0.4339085613214805,-1.614675389644457,0.008906406391594115,$r$,dfa (short)
Shuffled,1.0,0.5593875161932268,-1.7150515595190126,0.022082716429122063,$r$,dfa (short)
Trace,2.0,0.2907660396518891,-1.2404984913712165,0.028580642933736147,$r$,dfa (short)
Shuffled,2.0,0.3909866006159684,-1.276103334245522,0.04623289577597015,$r$,dfa (short)
Trace,4.0,0.2567638536733902,-1.2338475291015891,0.02517416666275446,$r$,dfa (short)
Shuffled,4.0,0.5702447432536171,-1.651296919715594,0.024943843814543412,$r$,dfa (short)
Trace,6.0,0.5692828057809411,-1.9571917157223289,0.03137035982370502,$r$,dfa (short)
Shuffled,6.0,1.2101920891022684,-3.6359341345266976,0.061323865426152736,$r$,dfa (short)
Trace,7.0,0.6323452060352581,-1.895054550833717,0.031529569876030415,$r$,dfa (short)
Shuffled,7.0,0.6927554256433154,-1.9596276070189076,0.054446500836787565,$r$,dfa (short)
Trace,8.0,0.26946972066648384,-0.96501955086011,0.03332800665710921,$r$,dfa (short)
Shuffled,8.0,0.47222739332211255,-1.4516492465239867,0.03375624515555592,$r$,dfa (short)
Trace,10.0,0.3363412440569733,-1.2727991933111293,0.009796944692912623,$r$,dfa (short)
Shuffled,10.0,0.5403895037151506,-1.6993156355129915,0.03240266445226249,$r$,dfa (short)
Trace,11.0,0.35991241952474706,-1.2912576945968004,0.018254280744098225,$r$,dfa (short)
Shuffled,11.0,0.5141094458980164,-1.542300164661665,0.033442121831831144,$r$,dfa (short)
Trace,12.0,0.3802278842501365,-1.2764197112822941,0.05982904878432799,$r$,dfa (short)
Shuffled,12.0,1.071752736674689,-2.7267908392039852,0.23456791308745734,$r$,dfa (short)
Trace,13.0,0.548155376654628,-1.7554243176614062,0.1280965707210468,$r$,dfa (short)
Shuffled,13.0,0.5512662724387372,-1.6949501913778615,0.046769305972401747,$r$,dfa (short)
Trace,14.0,0.2667731759743198,-1.152900444841624,0.01046130643217696,$r$,dfa (short)
Shuffled,14.0,0.5773448251331958,-1.6420907198615264,0.01798204694504255,$r$,dfa (short)
Trace,15.0,0.2759440651303433,-1.041099087672977,0.03467188807185522,$r$,dfa (short)
Shuffled,15.0,0.4727465161432256,-1.4253749786538126,0.03993434074846332,$r$,dfa (short)
Trace,16.0,0.4790045504305329,-1.6091838596292747,0.009671540601319606,$r$,dfa (short)
Shuffled,16.0,0.7489694402829684,-2.0688262241453295,0.11015829926587753,$r$,dfa (short)
Trace,17.0,1.7344928393717156,-6.151778967813027,0.1687673365930092,$r$,dfa (short)
Shuffled,17.0,0.9673023722653238,-3.3811981423165345,0.02081934830382811,$r$,dfa (short)
Trace,19.0,0.2750495386896691,-1.236046564289259,0.011033391719760685,$r$,dfa (short)
Shuffled,19.0,0.6140444077464523,-1.7697851876711996,0.09711723789817907,$r$,dfa (short)
Trace,20.0,0.41438760460636676,-1.4116609749517646,0.020495158827482336,$r$,dfa (short)
Shuffled,20.0,0.6094603090541978,-1.7076436770824062,0.0147175622066322,$r$,dfa (short)
Trace,21.0,0.6148764499309508,-1.8204089810528932,0.023110249548632885,$r$,dfa (short)
Shuffled,21.0,0.5094222043898463,-1.6478684553364926,0.016917642148467894,$r$,dfa (short)
Trace,22.0,0.3243099092170927,-1.24993851696202,0.029021530991267527,$r$,dfa (short)
Shuffled,22.0,0.5268650570595094,-1.4996939163704122,0.023053807214293617,$r$,dfa (short)
Trace,23.0,0.518939425964858,-1.707322288230155,0.15809424562191704,$r$,dfa (short)
Shuffled,23.0,0.6496951220639311,-1.8366523383521614,0.028542360303825502,$r$,dfa (short)
Trace,24.0,0.2690372135471924,-1.0775672489878476,0.01691444363281845,$r$,dfa (short)
Shuffled,24.0,0.4255541170482254,-1.291836111988661,0.03549309063988587,$r$,dfa (short)
Trace,25.0,0.35591444283325074,-1.2656618738572825,0.02710535422472165,$r$,dfa (short)
Shuffled,25.0,0.689491129153704,-2.0936621491906235,0.023409285144605923,$r$,dfa (short)
Trace,26.0,0.5058529700347915,-1.6018202456549961,0.009911856170664942,$r$,dfa (short)
Shuffled,26.0,0.3674886326649324,-1.402064698322418,0.015505173297937071,$r$,dfa (short)
Trace,27.0,0.39646410517614117,-1.5324056119871732,0.09131469566750912,$r$,dfa (short)
Shuffled,27.0,1.0564991194878155,-3.1917156859905744,0.09961408044395294,$r$,dfa (short)
Trace,28.0,0.6297457330756346,-2.230601603280438,0.030630272186522235,$r$,dfa (short)
Shuffled,28.0,0.6872376372605858,-2.127598767890739,0.051234119380411,$r$,dfa (short)
Trace,29.0,0.3765822669651562,-1.5011904952856348,0.01106429999491357,$r$,dfa (short)
Shuffled,29.0,0.46879683390454513,-1.4866855284538603,0.015722081843362545,$r$,dfa (short)
Trace,30.0,0.4134121113308835,-1.5532051417678847,0.00854125184289488,$r$,dfa (short)
Shuffled,30.0,0.36152008059397567,-1.20298425223141,0.035428096697429676,$r$,dfa (short)
Trace,31.0,0.49169573679211276,-1.6204820954135413,0.0842897633289515,$r$,dfa (short)
Shuffled,31.0,0.6385335895396145,-1.8041499003500994,0.03649006018299261,$r$,dfa (short)
Trace,32.0,0.43138265020373073,-1.7340813988000012,0.006148297665877214,$r$,dfa (short)
Shuffled,32.0,0.5846943616310251,-1.9114134854699882,0.02970437904764721,$r$,dfa (short)
Trace,35.0,0.5889361142175294,-2.429975863330652,0.023345433459825798,$r$,dfa (short)
Shuffled,35.0,0.7388677305067759,-2.6532286921411696,0.031587627389789145,$r$,dfa (short)
Trace,36.0,0.39505969507148564,-1.4615946422995187,0.021510992599044945,$r$,dfa (short)
Shuffled,36.0,0.540960436332354,-1.6050058113434655,0.00864376022172723,$r$,dfa (short)
Trace,38.0,0.41253325325335893,-1.5096484640269272,0.06508945885044772,$r$,dfa (short)
Shuffled,38.0,0.44701574821140966,-1.2888212112988633,0.03630010485195935,$r$,dfa (short)
Trace,39.0,0.7739641294504782,-2.682696245721647,0.009609683463423386,$r$,dfa (short)
Shuffled,39.0,0.6680003216699648,-2.249783331323273,0.009952057045955875,$r$,dfa (short)
Trace,40.0,0.3233473533121468,-1.1642303879063431,0.022182514639598933,$r$,dfa (short)
Shuffled,40.0,0.46243085994391353,-1.4015935985519894,0.010410397505293784,$r$,dfa (short)
Trace,41.0,0.30189397793380457,-1.164650682750718,0.014122895106992073,$r$,dfa (short)
Shuffled,41.0,0.5526005390410796,-1.6127037994861615,0.009564566761461637,$r$,dfa (short)
Trace,42.0,0.6320267423277595,-2.2855618560327047,0.020108669440936082,$r$,dfa (short)
Shuffled,42.0,0.41181622312153227,-1.5757680859022403,0.043965808620723475,$r$,dfa (short)
Trace,43.0,0.4080733497660974,-1.5180619148227268,0.02666864322401163,$r$,dfa (short)
Shuffled,43.0,0.3753812877984064,-1.3139266364376592,0.021512733432906175,$r$,dfa (short)
Trace,44.0,0.2518560523348905,-1.0689121030664597,0.05787887115353175,$r$,dfa (short)
Shuffled,44.0,0.5944967956201727,-1.704732237301183,0.044685656025800595,$r$,dfa (short)
Trace,46.0,0.6570134457861944,-2.424142955526441,0.01837960403219263,$r$,dfa (short)
Shuffled,46.0,0.787179089003559,-2.6006729007636578,0.01788867899836372,$r$,dfa (short)
Trace,47.0,0.5930367798538885,-2.1346069121303826,0.017750040769031153,$r$,dfa (short)
Shuffled,47.0,0.6964153875891035,-2.0825851744816917,0.00531891323766971,$r$,dfa (short)
Trace,49.0,0.08449008080733342,-1.060914287136914,0.08068420038246478,$r$,dfa (short)
Shuffled,49.0,0.6947507086223089,-2.3821889667139287,0.1294379353512478,$r$,dfa (short)
Trace,50.0,0.38388774257439434,-1.6343611003702176,0.022449320899604552,$r$,dfa (short)
Shuffled,50.0,0.5020951891137126,-1.5815659223643463,0.01894028581820655,$r$,dfa (short)
Trace,51.0,0.7464317447332107,-2.7243839912674614,0.022609655650570996,$r$,dfa (short)
Shuffled,51.0,0.7664998578970901,-2.6959915043983664,0.03216389021974747,$r$,dfa (short)
Trace,52.0,0.2675354964023344,-1.163046853081992,0.01247658610998214,$r$,dfa (short)
Shuffled,52.0,0.41084015931828816,-1.209698329288491,0.029102674725289573,$r$,dfa (short)
Trace,53.0,0.22904646986905677,-1.2940713308262974,0.06456803292751043,$r$,dfa (short)
Shuffled,53.0,0.48167531009095726,-1.559133933776553,0.019096166678546234,$r$,dfa (short)
Trace,55.0,1.007859527975161,-3.7422239506899784,0.04532167065059202,$r$,dfa (short)
Shuffled,55.0,0.5439865628977594,-2.68460811219036,0.03246060411881548,$r$,dfa (short)
Trace,1.0,0.4115446052928769,-1.4247599686685806,0.01318415056941098,$\phi$,dfa (short)
Shuffled,1.0,0.3898326149771817,-1.1609352070066072,0.021565551501411855,$\phi$,dfa (short)
Trace,2.0,0.34410369956401254,-1.3005583800209408,0.029316853357518286,$\phi$,dfa (short)
Shuffled,2.0,0.46194819764255945,-1.3455206714844576,0.014125773658979466,$\phi$,dfa (short)
Trace,4.0,0.3214294883688851,-1.212068157278285,0.016591674827770252,$\phi$,dfa (short)
Shuffled,4.0,0.5366406661980501,-1.6676372129428592,0.0224844053224759,$\phi$,dfa (short)
Trace,6.0,0.6910767496154859,-1.9420853574245969,0.12422347396114097,$\phi$,dfa (short)
Shuffled,6.0,0.758122584221632,-2.20212270513604,0.009710333399411042,$\phi$,dfa (short)
Trace,7.0,0.43629332550174477,-1.4533455881991808,0.046054907505169336,$\phi$,dfa (short)
Shuffled,7.0,0.6497416450101774,-1.8196231345483251,0.06014930683801568,$\phi$,dfa (short)
Trace,8.0,0.4129006490325463,-1.326444595606523,0.01352144866824159,$\phi$,dfa (short)
Shuffled,8.0,0.5094108062419332,-1.437822710894502,0.02463022109347308,$\phi$,dfa (short)
Trace,10.0,0.3990282775723784,-1.3736563696254516,0.013748225460033365,$\phi$,dfa (short)
Shuffled,10.0,0.44578726841809674,-1.4194755201356322,0.030692349230259517,$\phi$,dfa (short)
Trace,11.0,0.4448000206317829,-1.4989783819616667,0.011897871363489533,$\phi$,dfa (short)
Shuffled,11.0,0.47307231677055445,-1.4137289171245875,0.0228730884750597,$\phi$,dfa (short)
Trace,12.0,0.3149653916992247,-1.1346676051037037,0.06216700331716393,$\phi$,dfa (short)
Shuffled,12.0,0.8307631738320039,-2.1310344703679927,0.10670383502554147,$\phi$,dfa (short)
Trace,13.0,0.3271021125792112,-1.1430738600071848,0.0035403697143955334,$\phi$,dfa (short)
Shuffled,13.0,0.4345075191601811,-1.3806519669047488,0.07106380665191672,$\phi$,dfa (short)
Trace,14.0,0.49218463911415106,-1.5389428240803316,0.014782339504436151,$\phi$,dfa (short)
Shuffled,14.0,0.480396883063828,-1.3984078293611755,0.019587485427254824,$\phi$,dfa (short)
Trace,15.0,0.3992901308632077,-1.4662549042370152,0.026165447750473747,$\phi$,dfa (short)
Shuffled,15.0,0.47000098935006274,-1.372354405868741,0.04143413737602238,$\phi$,dfa (short)
Trace,16.0,0.3226263944106436,-1.3029791740149783,0.04153099822052365,$\phi$,dfa (short)
Shuffled,16.0,0.6099344080563649,-1.694294689533909,0.04530660938998046,$\phi$,dfa (short)
Trace,17.0,0.9424277164123174,-3.1320049691034915,0.029982214951257462,$\phi$,dfa (short)
Shuffled,17.0,0.7208228098405572,-2.317872151919962,0.025804726584010684,$\phi$,dfa (short)
Trace,19.0,0.3102635405767505,-1.2251473274830413,0.021763607031796067,$\phi$,dfa (short)
Shuffled,19.0,0.4804773046856924,-1.4056619467533746,0.09662032891521175,$\phi$,dfa (short)
Trace,20.0,0.5237933598384337,-1.6536363231032192,0.010895747117778305,$\phi$,dfa (short)
Shuffled,20.0,0.5202526400616992,-1.5217855221752365,0.013607538665073653,$\phi$,dfa (short)
Trace,21.0,0.6542917394438077,-2.0471782238883,0.040631638916020875,$\phi$,dfa (short)
Shuffled,21.0,0.44493238599712853,-1.5324476595568575,0.04349564110223827,$\phi$,dfa (short)
Trace,22.0,0.35560511425888625,-1.3506845337375413,0.018982960221728965,$\phi$,dfa (short)
Shuffled,22.0,0.5623097151036849,-1.5599937182951402,0.017831007981267872,$\phi$,dfa (short)
Trace,23.0,0.27325838932001234,-1.145970406738174,0.08909838158298392,$\phi$,dfa (short)
Shuffled,23.0,0.7433780439802107,-1.966721807130617,0.010591990384079965,$\phi$,dfa (short)
Trace,24.0,0.33063037436478987,-1.1640207617468823,0.039109632165343626,$\phi$,dfa (short)
Shuffled,24.0,0.4409893690151631,-1.3215468801426253,0.08472192195881756,$\phi$,dfa (short)
Trace,25.0,0.36230267273108163,-1.3003453478373888,0.019476383072383033,$\phi$,dfa (short)
Shuffled,25.0,0.6354762277962083,-1.8611208963635764,0.013719039829888102,$\phi$,dfa (short)
Trace,26.0,0.5567162545930001,-1.752469849467129,0.025070582686692502,$\phi$,dfa (short)
Shuffled,26.0,0.42642104195687647,-1.3769303651020508,0.025408284946230514,$\phi$,dfa (short)
Trace,27.0,0.6816088372785422,-2.1915315568965363,0.0674316346695264,$\phi$,dfa (short)
Shuffled,27.0,0.4603058559905753,-1.4233715332063284,0.025490539467047046,$\phi$,dfa (short)
Trace,28.0,0.33649119391432064,-1.264768152589113,0.017235628354376274,$\phi$,dfa (short)
Shuffled,28.0,0.6000251450585331,-1.809141662445567,0.04640473558403821,$\phi$,dfa (short)
Trace,29.0,0.6198156471601509,-1.878420926523199,0.017787126895135785,$\phi$,dfa (short)
