dataset,lineage_ID,slope,intercept,std_err,variable,kind
Trace,1.0,0.19961584821958006,-0.8999832502144367,0.011402960544182345,$r$,dfa (short)
Shuffled,1.0,0.425154583163678,-1.2434740693358715,0.007966687710722937,$r$,dfa (short)
Trace,2.0,0.318422335955734,-1.1910798526265665,0.011131604514414983,$r$,dfa (short)
Shuffled,2.0,0.5764839140597676,-1.6171602871036495,0.019382516056125024,$r$,dfa (short)
Trace,3.0,0.31684854762320513,-1.1874031116137946,0.01182990680948903,$r$,dfa (short)
Shuffled,3.0,0.44561371677254796,-1.3015789993933116,0.0278563692405938,$r$,dfa (short)
Trace,4.0,0.2581598067090046,-0.9747749589111476,0.015432612410107847,$r$,dfa (short)
Shuffled,4.0,0.5777041664604564,-1.7302401468282487,0.006345711411138418,$r$,dfa (short)
Trace,5.0,0.27954759223376535,-1.1580601242076998,0.017602015461511338,$r$,dfa (short)
Shuffled,5.0,0.5775171717312921,-1.5959942181310645,0.017314420573711208,$r$,dfa (short)
Trace,6.0,0.29522222404465037,-1.1809052221381706,0.012551723809822094,$r$,dfa (short)
Shuffled,6.0,0.5373560647233997,-1.558194969336467,0.02475633169713794,$r$,dfa (short)
Trace,7.0,0.16340325981569934,-0.7138135378280525,0.01856172025387224,$r$,dfa (short)
Shuffled,7.0,0.5105259797439697,-1.4393630465702065,0.01549728536568497,$r$,dfa (short)
Trace,8.0,0.2859482284555379,-1.127275751585374,0.01063385844516625,$r$,dfa (short)
Shuffled,8.0,0.5354069242598282,-1.594682952186035,0.015590250355914636,$r$,dfa (short)
Trace,9.0,0.5595227045802836,-2.1354827897119537,0.012496470137604262,$r$,dfa (short)
Shuffled,9.0,0.7772429800308592,-2.4988281746797174,0.01358490230957982,$r$,dfa (short)
Trace,10.0,0.4231670515873407,-1.5525460470437258,0.004204402859406339,$r$,dfa (short)
Shuffled,10.0,0.5196898700067144,-1.7005088154062962,0.007418344083834725,$r$,dfa (short)
Trace,11.0,0.2167800782232622,-0.9411972334403376,0.006304553325034408,$r$,dfa (short)
Shuffled,11.0,0.4598820923181955,-1.400387173404877,0.014688633925833434,$r$,dfa (short)
Trace,12.0,0.33601094242583796,-1.3423181829708621,0.007743613657258997,$r$,dfa (short)
Shuffled,12.0,0.5736616895879391,-1.7444435314580193,0.006969617173904205,$r$,dfa (short)
Trace,13.0,0.4027685764032838,-1.4579244840167973,0.007325205777332399,$r$,dfa (short)
Shuffled,13.0,0.5760382995561851,-1.7446163494622124,0.008326992022990039,$r$,dfa (short)
Trace,14.0,0.3259254497156072,-1.2523564455972895,0.00821331620958692,$r$,dfa (short)
Shuffled,14.0,0.432737336479572,-1.3146552629509167,0.010315532619252474,$r$,dfa (short)
Trace,15.0,0.3666820402988363,-1.4294303217419546,0.01373125356613514,$r$,dfa (short)
Shuffled,15.0,0.476496638958973,-1.3966257443156584,0.018818539526148786,$r$,dfa (short)
Trace,16.0,0.2666226972769787,-1.0553507588307984,0.013432974891217045,$r$,dfa (short)
Shuffled,16.0,0.48254853591064295,-1.4111206421523947,0.01462425599369016,$r$,dfa (short)
Trace,17.0,0.33766414362816277,-1.2734114213744256,0.010482594552489658,$r$,dfa (short)
Shuffled,17.0,0.4794882838531981,-1.4519843297311816,0.010851503566454085,$r$,dfa (short)
Trace,18.0,0.32296071060309384,-1.2287614198826287,0.0234084095734566,$r$,dfa (short)
Shuffled,18.0,0.4609265869644263,-1.4797155969364741,0.018799719766505893,$r$,dfa (short)
Trace,19.0,0.21472312886602452,-0.9482805288989254,0.012346603924900916,$r$,dfa (short)
Shuffled,19.0,0.41876682524350256,-1.187618955640145,0.015953266946396694,$r$,dfa (short)
Trace,20.0,0.2177360455547233,-1.0041978626746955,0.016992912624725843,$r$,dfa (short)
Shuffled,20.0,0.7009152958319425,-2.0723463241824485,0.0321581046927417,$r$,dfa (short)
Trace,1.0,0.29966188808251326,-1.0282956914217538,0.01660709492521733,$\phi$,dfa (short)
Shuffled,1.0,0.39903070759527726,-1.1502667771833837,0.012510083514152953,$\phi$,dfa (short)
Trace,2.0,0.40991714228572823,-1.2278210581550926,0.024009146541151796,$\phi$,dfa (short)
Shuffled,2.0,0.5648178018062863,-1.6007072434282414,0.01432541782951503,$\phi$,dfa (short)
Trace,3.0,0.48699651654801185,-1.5758265389220416,0.01138934074633801,$\phi$,dfa (short)
Shuffled,3.0,0.3532935808572176,-1.0973092859100204,0.009666066668016622,$\phi$,dfa (short)
Trace,4.0,0.4050598091621731,-1.2546702739861397,0.005095707052401807,$\phi$,dfa (short)
Shuffled,4.0,0.4829907827897103,-1.3774587090526798,0.013642089684847557,$\phi$,dfa (short)
Trace,5.0,0.3265923436619525,-1.1574501268285622,0.018284517723124845,$\phi$,dfa (short)
Shuffled,5.0,0.583710008796269,-1.5741537826191605,0.028739274351117994,$\phi$,dfa (short)
Trace,6.0,0.30441793625169256,-1.06824640364879,0.01615159922478062,$\phi$,dfa (short)
Shuffled,6.0,0.49610564716710615,-1.4327332027252906,0.018703293446120164,$\phi$,dfa (short)
Trace,7.0,0.3115143793812819,-0.964884447787986,0.023935888826771754,$\phi$,dfa (short)
