param1,param2,n,generation,gamma_ta,label
fold_growth,fold_growth,19,1.0,1.0,Trace
fold_growth,fold_growth,19,1.0,1.0,Trace
fold_growth,division_ratio,19,1.0,1.0,Trace
fold_growth,added_length,19,1.0,1.0,Trace
fold_growth,generationtime,19,1.0,1.0,Trace
fold_growth,length_birth,19,1.0,1.0,Trace
fold_growth,length_final,19,1.0,1.0,Trace
fold_growth,growth_rate,19,1.0,1.0,Trace
division_ratio,division_ratio,19,1.0,1.0,Trace
division_ratio,division_ratio,19,1.0,1.0,Trace
division_ratio,added_length,19,1.0,1.0,Trace
division_ratio,generationtime,19,1.0,1.0,Trace
division_ratio,length_birth,19,1.0,1.0,Trace
division_ratio,length_final,19,1.0,1.0,Trace
division_ratio,growth_rate,19,1.0,1.0,Trace
added_length,added_length,19,1.0,1.0,Trace
added_length,added_length,19,1.0,1.0,Trace
added_length,generationtime,19,1.0,1.0,Trace
added_length,length_birth,19,1.0,1.0,Trace
added_length,length_final,19,1.0,1.0,Trace
added_length,growth_rate,19,1.0,1.0,Trace
generationtime,generationtime,19,1.0,1.0,Trace
generationtime,generationtime,19,1.0,1.0,Trace
generationtime,length_birth,19,1.0,1.0,Trace
generationtime,length_final,19,1.0,1.0,Trace
generationtime,growth_rate,19,1.0,1.0,Trace
length_birth,length_birth,19,1.0,1.0,Trace
length_birth,length_birth,19,1.0,1.0,Trace
length_birth,length_final,19,1.0,1.0,Trace
length_birth,growth_rate,19,1.0,1.0,Trace
length_final,length_final,19,1.0,1.0,Trace
length_final,length_final,19,1.0,1.0,Trace
length_final,growth_rate,19,1.0,1.0,Trace
growth_rate,growth_rate,19,1.0,1.0,Trace
growth_rate,growth_rate,19,1.0,1.0,Trace
fold_growth,fold_growth,20,2.0,0.43257896482391606,Trace
fold_growth,fold_growth,20,2.0,0.43257896482391606,Trace
fold_growth,division_ratio,20,2.0,0.8245119955049979,Trace
fold_growth,added_length,20,2.0,0.25805747552079145,Trace
fold_growth,generationtime,20,2.0,0.39469324139410533,Trace
fold_growth,length_birth,20,2.0,0.6719877738646094,Trace
fold_growth,length_final,20,2.0,-1.3172497655494524,Trace
fold_growth,growth_rate,20,2.0,0.7569343126282029,Trace
division_ratio,division_ratio,20,2.0,0.6787211414139274,Trace
division_ratio,division_ratio,20,2.0,0.6787211414139274,Trace
division_ratio,added_length,20,2.0,0.5546260996319111,Trace
division_ratio,generationtime,20,2.0,0.7000046137634999,Trace
division_ratio,length_birth,20,2.0,0.8773998873000188,Trace
division_ratio,length_final,20,2.0,0.9708802714432649,Trace
division_ratio,growth_rate,20,2.0,0.2736059843179028,Trace
added_length,added_length,20,2.0,0.41765659297901225,Trace
added_length,added_length,20,2.0,0.41765659297901225,Trace
added_length,generationtime,20,2.0,0.2630828635472123,Trace
added_length,length_birth,20,2.0,-4.7817475543394385,Trace
added_length,length_final,20,2.0,0.5677827433835629,Trace
added_length,growth_rate,20,2.0,0.40472561408532104,Trace
generationtime,generationtime,20,2.0,0.4893426025917929,Trace
generationtime,generationtime,20,2.0,0.4893426025917929,Trace
generationtime,length_birth,20,2.0,0.5894270109577067,Trace
generationtime,length_final,20,2.0,-0.646358094338659,Trace
generationtime,growth_rate,20,2.0,0.7880480710425073,Trace
length_birth,length_birth,20,2.0,0.8852626729044053,Trace
length_birth,length_birth,20,2.0,0.8852626729044053,Trace
length_birth,length_final,20,2.0,1.100485205454899,Trace
length_birth,growth_rate,20,2.0,1.2020263217300107,Trace
length_final,length_final,20,2.0,0.7978601318315526,Trace
length_final,length_final,20,2.0,0.7978601318315526,Trace
length_final,growth_rate,20,2.0,-16.35594269313236,Trace
growth_rate,growth_rate,20,2.0,0.8030685775307241,Trace
growth_rate,growth_rate,20,2.0,0.8030685775307241,Trace
fold_growth,fold_growth,20,3.0,0.3748726795580583,Trace
fold_growth,fold_growth,20,3.0,0.3748726795580583,Trace
fold_growth,division_ratio,20,3.0,0.7274685450139541,Trace
fold_growth,added_length,20,3.0,0.29909277500552955,Trace
fold_growth,generationtime,20,3.0,0.3167058063133461,Trace
fold_growth,length_birth,20,3.0,0.5921095230879031,Trace
fold_growth,length_final,20,3.0,0.06039837746393997,Trace
fold_growth,growth_rate,20,3.0,-0.5838883256391888,Trace
division_ratio,division_ratio,20,3.0,0.3136313662796936,Trace
division_ratio,division_ratio,20,3.0,0.3136313662796936,Trace
division_ratio,added_length,20,3.0,-1.8441926245805387,Trace
division_ratio,generationtime,20,3.0,0.46921635909886017,Trace
division_ratio,length_birth,20,3.0,0.6300628652594674,Trace
division_ratio,length_final,20,3.0,0.5070185610738493,Trace
division_ratio,growth_rate,20,3.0,0.004735046599517399,Trace
added_length,added_length,20,3.0,0.41923501385330636,Trace
added_length,added_length,20,3.0,0.41923501385330636,Trace
added_length,generationtime,20,3.0,0.2540579735485493,Trace
added_length,length_birth,20,3.0,1.8164302844441544,Trace
added_length,length_final,20,3.0,0.502164334696148,Trace
added_length,growth_rate,20,3.0,-1.3359200174542645,Trace
generationtime,generationtime,20,3.0,0.33451698339886426,Trace
generationtime,generationtime,20,3.0,0.33451698339886426,Trace
generationtime,length_birth,20,3.0,0.5220255098336596,Trace
generationtime,length_final,20,3.0,0.04197544020122592,Trace
generationtime,growth_rate,20,3.0,0.43771300302091276,Trace
length_birth,length_birth,20,3.0,0.7664928471487559,Trace
length_birth,length_birth,20,3.0,0.7664928471487559,Trace
length_birth,length_final,20,3.0,0.8926791671089598,Trace
length_birth,growth_rate,20,3.0,0.6928193575101971,Trace
length_final,length_final,20,3.0,0.6312655548010927,Trace
length_final,length_final,20,3.0,0.6312655548010927,Trace
length_final,growth_rate,20,3.0,-17.805720992563334,Trace
growth_rate,growth_rate,20,3.0,0.5774571315383762,Trace
growth_rate,growth_rate,20,3.0,0.5774571315383762,Trace
fold_growth,fold_growth,20,4.0,0.17863536941199942,Trace
fold_growth,fold_growth,20,4.0,0.17863536941199942,Trace
fold_growth,division_ratio,20,4.0,0.5237861264992454,Trace
fold_growth,added_length,20,4.0,0.09522966348471724,Trace
fold_growth,generationtime,20,4.0,0.13455962541453365,Trace
fold_growth,length_birth,20,4.0,0.3379188553527514,Trace
fold_growth,length_final,20,4.0,-0.17511349713901958,Trace
fold_growth,growth_rate,20,4.0,-0.327574026647179,Trace
division_ratio,division_ratio,20,4.0,0.2629852320072266,Trace
division_ratio,division_ratio,20,4.0,0.2629852320072266,Trace
division_ratio,added_length,20,4.0,0.21886754122600877,Trace
division_ratio,generationtime,20,4.0,0.301429241677821,Trace
division_ratio,length_birth,20,4.0,0.5575634111506159,Trace
division_ratio,length_final,20,4.0,0.5999579466644507,Trace
division_ratio,growth_rate,20,4.0,-0.2713148388345935,Trace
added_length,added_length,20,4.0,0.25227244508899366,Trace
added_length,added_length,20,4.0,0.25227244508899366,Trace
added_length,generationtime,20,4.0,0.04824131354522785,Trace
added_length,length_birth,20,4.0,-88.44098358454406,Trace
added_length,length_final,20,4.0,0.4100003043496437,Trace
added_length,growth_rate,20,4.0,-1.0767390430243893,Trace
generationtime,generationtime,20,4.0,0.16002554549456094,Trace
generationtime,generationtime,20,4.0,0.16002554549456094,Trace
generationtime,length_birth,20,4.0,0.2927730769725195,Trace
generationtime,length_final,20,4.0,-0.24488001696182424,Trace
generationtime,growth_rate,20,4.0,0.2541856779750985,Trace
length_birth,length_birth,20,4.0,0.6260920871796948,Trace
length_birth,length_birth,20,4.0,0.6260920871796948,Trace
length_birth,length_final,20,4.0,0.9213874517892724,Trace
length_birth,growth_rate,20,4.0,0.3245541602784322,Trace
length_final,length_final,20,4.0,0.5885370086178753,Trace
length_final,length_final,20,4.0,0.5885370086178753,Trace
length_final,growth_rate,20,4.0,4.318180998968645,Trace
growth_rate,growth_rate,20,4.0,0.42200454471846355,Trace
growth_rate,growth_rate,20,4.0,0.42200454471846355,Trace
fold_growth,fold_growth,20,5.0,0.14716220831734828,Trace
fold_growth,fold_growth,20,5.0,0.14716220831734828,Trace
fold_growth,division_ratio,20,5.0,0.43179259966574174,Trace
fold_growth,added_length,20,5.0,0.07302190131112894,Trace
fold_growth,generationtime,20,5.0,0.10024231562277781,Trace
fold_growth,length_birth,20,5.0,0.2840117097126481,Trace
fold_growth,length_final,20,5.0,-0.15494653744895218,Trace
fold_growth,growth_rate,20,5.0,-0.5333581105485009,Trace
division_ratio,division_ratio,20,5.0,0.24375814195579915,Trace
division_ratio,division_ratio,20,5.0,0.24375814195579915,Trace
division_ratio,added_length,20,5.0,5.237503363070286,Trace
division_ratio,generationtime,20,5.0,0.25050594731354364,Trace
division_ratio,length_birth,20,5.0,0.4798414236559468,Trace
division_ratio,length_final,20,5.0,0.5336422573257175,Trace
division_ratio,growth_rate,20,5.0,-0.3922504694166757,Trace
added_length,added_length,20,5.0,0.2503148010279815,Trace
added_length,added_length,20,5.0,0.2503148010279815,Trace
added_length,generationtime,20,5.0,0.02406985513101716,Trace
added_length,length_birth,20,5.0,2.7787050897587457,Trace
added_length,length_final,20,5.0,0.4038326040679323,Trace
added_length,growth_rate,20,5.0,-1.1976928025708682,Trace
generationtime,generationtime,20,5.0,0.1258770011169027,Trace
generationtime,generationtime,20,5.0,0.1258770011169027,Trace
generationtime,length_birth,20,5.0,0.23810899630825558,Trace
generationtime,length_final,20,5.0,-0.2105347021208221,Trace
generationtime,growth_rate,20,5.0,0.213786852463529,Trace
length_birth,length_birth,20,5.0,0.5598045973886064,Trace
length_birth,length_birth,20,5.0,0.5598045973886064,Trace
length_birth,length_final,20,5.0,0.7896004922993489,Trace
length_birth,growth_rate,20,5.0,0.1631503231185583,Trace
