dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,0.0,"[  5   7   9  11  13  15  17  19  21  23  25  27  29  31  33  35  37  39
  41  43  45  47  49  51  53  55  57  59  61  63  65  67  69  71  73  75
  77  79  81  83  85  87  89  91  93  95  97  99 101 103 105 107 109 111
 113 115 117 119 121 123 125]","[0.08414326416679059, 0.10503064198289404, 0.11808052875143034, 0.128598287604442, 0.13659187945789575, 0.14390193943954319, 0.15043817716137936, 0.15670057742966045, 0.16155153512958476, 0.1663192596114431, 0.17099759442767604, 0.17506618618650696, 0.17960085938657602, 0.1840903875031451, 0.18747853611411391, 0.19095075071433842, 0.19499491393987564, 0.19839741103371203, 0.20156327810530422, 0.20516224143617898, 0.20798838377973225, 0.21059159844702782, 0.21347061379034846, 0.21569231638757838, 0.217721898224928, 0.220026303708579, 0.22173006444586973, 0.22338481838753113, 0.225169633454255, 0.22648042922167466, 0.22773863038152684, 0.22926711524616192, 0.230530330210127, 0.2317917589575627, 0.2331865650060659, 0.23430970386336653, 0.23530528481984161, 0.2362969535052294, 0.2372206653470396, 0.23823359339341238, 0.23933031072097788, 0.2403314137262945, 0.24140677557922136, 0.24256181048561834, 0.24357778879314707, 0.24461309438310422, 0.24573034333923582, 0.24673466629234095, 0.24779057372942764, 0.24896020712661104, 0.25000750476819306, 0.25110892538535906, 0.25221383145431925, 0.2531558273130894, 0.25405786150250287, 0.2549788065082457, 0.25579131706541675, 0.25662574447754266, 0.2574644827553718, 0.25819166246770464, 0.25889002921197024]","[0.10201079 0.11300487 0.12198265 0.12966074 0.13641994 0.14248948
 0.14801918 0.15311294 0.15784609 0.16227516 0.16644376 0.17038634
 0.17413062 0.17769929 0.18111115 0.18438202 0.18752529 0.19055246
 0.19347346 0.19629692 0.19903043 0.20168066 0.20425355 0.20675436
 0.20918783 0.21155822 0.21386937 0.21612477 0.21832757 0.22048068
 0.22258674 0.22464817 0.22666723 0.22864596 0.23058628 0.23248996
 0.23435864 0.23619384 0.23799699 0.23976942 0.24151238 0.24322703
 0.24491447 0.24657573 0.24821177 0.24982352 0.25141182 0.2529775
 0.25452132 0.25604401 0.25754626 0.25902874 0.26049206 0.26193681
 0.26336356 0.26477285 0.26616519 0.26754106 0.26890094 0.27024526
 0.27157446]",$\phi$,dfa (short)
Trace,0.0,"[  5   7   9  11  13  15  17  19  21  23  25  27  29  31  33  35  37  39
  41  43  45  47  49  51  53  55  57  59  61  63  65  67  69  71  73  75
  77  79  81  83  85  87  89  91  93  95  97  99 101 103 105 107 109 111
 113 115 117 119 121 123 125]","[0.12320063099904771, 0.14053170664359496, 0.1541463706735737, 0.16439535116853196, 0.1742964493926134, 0.18228523999878798, 0.19012208790783458, 0.19765182848073495, 0.20458610595942398, 0.21126992248958465, 0.21771868970423863, 0.22384791001635324, 0.22920839117952274, 0.23405863883763672, 0.23744857447379705, 0.24032003798602872, 0.2434422335952791, 0.24589836273783627, 0.2480786697756335, 0.2507077252612854, 0.2526781867169304, 0.25444596845517087, 0.25650659042573076, 0.2581859541549519, 0.25971852843703425, 0.2615067367349233, 0.2630213412533907, 0.26437856929729026, 0.26598555353355313, 0.26738321449623365, 0.26864090498658816, 0.270098900040461, 0.27133023606016354, 0.2724204349178131, 0.2736482073760016, 0.27468266069865566, 0.27553474128149236, 0.2764674270888948, 0.2772262059031232, 0.27794351821902247, 0.27879071759560925, 0.27944922229450886, 0.2801014647795776, 0.2808843868384648, 0.2815175694623129, 0.2821188736156073, 0.2828505958250102, 0.28346085123916664, 0.2840342056051263, 0.28469971822763585, 0.28521962591506156, 0.28571630585672786, 0.28621154110877944, 0.28652866195636434, 0.28674101334436264, 0.2869439773706671, 0.287008590284046, 0.2870416269819768, 0.2869970002698034, 0.2868098128276778, 0.28658313377531464]","[0.14264538 0.15453127 0.16405065 0.17207108 0.1790462  0.1852456
 0.19084362 0.19596009 0.20068114 0.205071   0.20917888 0.21304344
 0.21669561 0.22016057 0.22345913 0.22660866 0.22962388 0.23251733
 0.2352998  0.23798067 0.24056813 0.24306938 0.24549078 0.24783798
 0.25011604 0.2523295  0.25448244 0.25657856 0.2586212  0.26061342
 0.262558   0.26445751 0.26631428 0.26813047 0.26990808 0.27164896
 0.2733548  0.2750272  0.27666764 0.27827749 0.27985805 0.28141051
 0.282936   0.28443559 0.28591026 0.28736096 0.28878857 0.29019391
 0.29157778 0.29294093 0.29428404 0.2956078  0.29691283 0.29819974
 0.29946909 0.30072144 0.30195729 0.30317715 0.30438148 0.30557074
 0.30674534]",$\phi$,mean (short)
Artificial,0.0,"[  5   7   9  11  13  15  17  19  21  23  25  27  29  31  33  35  37  39
  41  43  45  47  49  51  53  55  57  59  61  63  65  67  69  71  73  75
  77  79  81  83  85  87  89  91  93  95  97  99 101 103 105 107 109 111
 113 115 117 119 121 123 125]","[0.0766556017166425, 0.10275425916573937, 0.11674727598230158, 0.1279170027752677, 0.1408843467785648, 0.15100573152351798, 0.16019343008951042, 0.17069768547048214, 0.1795548008993153, 0.18806471754927362, 0.19748733406322191, 0.20647785583011782, 0.21512816407566937, 0.22387115824409548, 0.23197086654350713, 0.23975695421696708, 0.24787842386631037, 0.2551855640795137, 0.26214666859162444, 0.26899490879358184, 0.27522552100885245, 0.2811688723505679, 0.2868156799410923, 0.2920152479289278, 0.29684204126610614, 0.3012280860111329, 0.30531685850163953, 0.3093850824452028, 0.31304134475348405, 0.31655480840096434, 0.31998262333596683, 0.32304506457293314, 0.3260200670396623, 0.32889393167601233, 0.3313631537333494, 0.33375015065503094, 0.33610411854333827, 0.3381149669516142, 0.3401153254922292, 0.3421054829053411, 0.34377759743731673, 0.3455092846184624, 0.347106729589292, 0.3481708367757824, 0.3492125586091046, 0.3501051158087738, 0.3506070585503587, 0.3512251646947291, 0.3518352646890116, 0.352428136591629, 0.35311639737804446, 0.35384496695233375, 0.35455929929085794, 0.3553809078273446, 0.35622583662584145, 0.35699353800711153, 0.3577671133781852, 0.35857238415830556, 0.3593169188528127, 0.3600876008997576, 0.3608872706161904]","[0.09431668 0.10982656 0.123053   0.13474891 0.14532905 0.15505031
 0.16408466 0.17255379 0.18054752 0.18813433 0.19536783 0.20229091
 0.20893852 0.21533954 0.2215182  0.22749505 0.23328766 0.23891124
 0.24437903 0.24970265 0.25489234 0.25995722 0.26490541 0.26974421
 0.27448018 0.27911928 0.2836669  0.28812796 0.29250697 0.29680805
 0.30103501 0.30519133 0.30928026 0.3133048  0.31726773 0.32117165
 0.32501898 0.32881197 0.33255274 0.33624327 0.33988543 0.34348096
 0.34703151 0.35053863 0.35400381 0.35742841 0.36081377 0.36416112
 0.36747164 0.37074646 0.37398665 0.37719321 0.38036713 0.38350932
 0.38662065 0.38970199 0.39275411 0.3957778  0.3987738  0.4017428
 0.40468548]",$\phi$,dfa (short)
Artificial,0.0,"[  5   7   9  11  13  15  17  19  21  23  25  27  29  31  33  35  37  39
  41  43  45  47  49  51  53  55  57  59  61  63  65  67  69  71  73  75
  77  79  81  83  85  87  89  91  93  95  97  99 101 103 105 107 109 111
 113 115 117 119 121 123 125]","[0.1277076963519526, 0.15572357046442012, 0.17668322311855755, 0.19707831652469993, 0.21513927672582503, 0.23098721925055746, 0.2461123156884364, 0.2605002242240513, 0.2738291953424804, 0.28647234719171005, 0.2982259986331491, 0.3090466235082162, 0.31890921205956413, 0.3276073735316219, 0.3357863463311664, 0.3435512678268643, 0.35065602510311983, 0.3575846847980856, 0.36438239387849586, 0.37064913762832163, 0.3768206894521939, 0.38286208415260375, 0.38835412141934683, 0.39367001355257164, 0.3987215871328669, 0.40310290758150497, 0.40739720049181805, 0.4116274443390858, 0.4152076067932327, 0.41867599997682625, 0.4218401851240032, 0.42458530065520755, 0.4273346766622535, 0.4298310652457242, 0.43220838590554206, 0.43476990486226597, 0.437208021679694, 0.43958246475381696, 0.44213231290622995, 0.44457639723984055, 0.446970126419047, 0.44952265653294066, 0.45198373125757135, 0.45431415774296857, 0.45675516827178053, 0.4590135124003876, 0.4611037615338849, 0.46328276423729925, 0.46534170082178816, 0.4674318512151177, 0.4696215062170032, 0.471730751663143, 0.4738582419828352, 0.47606950371066303, 0.47809882240073526, 0.4800380628754945, 0.48189620322254334, 0.4835872523449803, 0.48521952194690604, 0.48678074600315396, 0.48818391402146993]","[0.15375566 0.17475731 0.19229443 0.20755292 0.22117479 0.2335522
 0.24494467 0.25553403 0.26545334 0.27480326 0.28366205 0.29209192
 0.30014327 0.30785754 0.3152693  0.32240774 0.32929773 0.33596069
 0.34241518 0.34867745 0.35476177 0.36068079 0.36644575 0.37206673
 0.37755275 0.38291198 0.38815179 0.39327891 0.39829947 0.40321905
 0.40804281 0.41277547 0.41742141 0.42198465 0.42646894 0.43087776
 0.43521433 0.43948167 0.44368259 0.44781974 0.45189559 0.45591245
 0.4598725  0.4637778  0.46763029 0.47143179 0.47518402 0.47888864
 0.48254717 0.48616109 0.4897318  0.49326062 0.49674882 0.50019758
 0.50360806 0.50698135 0.51031849 0.51362048 0.51688826 0.52012276
 0.52332483]",$\phi$,mean (short)
White Noise,0.0,"[  5   7   9  11  13  15  17  19  21  23  25  27  29  31  33  35  37  39
  41  43  45  47  49  51  53  55  57  59  61  63  65  67  69  71  73  75
  77  79  81  83  85  87  89  91  93  95  97  99 101 103 105 107 109 111
 113 115 117 119 121 123 125]","[0.48436311720873865, 0.6062246729216062, 0.6875666093609442, 0.7705107781866292, 0.8443238686223986, 0.9144635281866003, 0.9707722064019622, 1.0264148865614524, 1.076321510157998, 1.1274747917094825, 1.1808481317790638, 1.232561227783159, 1.2803098414449985, 1.3321810456160343, 1.3818917246285967, 1.4302353598846047, 1.483284957509012, 1.5337156178940858, 1.5825176044209994, 1.6352884981285833, 1.6846406920447747, 1.732364171600802, 1.7813300972876083, 1.8246194907161484, 1.8656657682594238, 1.9054358323713818, 1.9411959194289603, 1.9755604648260519, 2.0081333644410186, 2.0375121312630893, 2.0659952059123734, 2.092979311373602, 2.1177878154071528, 2.14243326958595, 2.165700727523231, 2.186966121842224, 2.207216158888235, 2.2255153181921985, 2.240308692582334, 2.253545814623742, 2.2646291737775064, 2.2720130161194696, 2.2785093608974383, 2.28341579554656, 2.286601152709063, 2.2885883639957942, 2.2893220058176897, 2.2887569935338647, 2.2881533299480923, 2.2870927730092543, 2.285544083967314, 2.28439978592253, 2.283612659661804, 2.283027525126069, 2.283130335337918, 2.283945775228216, 2.2849379918469572, 2.2863239943166587, 2.288176023754645, 2.290167149288972, 2.2924936115185672]","[0.54440002 0.6418841  0.72592109 0.80085646 0.86910572 0.93217565
 0.9910809  1.0465432  1.09909755 1.14915352 1.19703292 1.24299401
 1.28724782 1.32996937 1.37130576 1.41138201 1.45030541 1.48816891
 1.52505361 1.56103078 1.5961635  1.63050783 1.66411394 1.6970269
 1.72928738 1.76093222 1.79199495 1.82250614 1.85249382 1.8819837
 1.91099947 1.93956298 1.9676945  1.99541279 2.02273531 2.04967835
 2.07625707 2.10248568 2.12837749 2.15394497 2.17919988 2.20415324
 2.22881547 2.2531964  2.27730532 2.30115101 2.32474179 2.34808558
 2.37118986 2.39406177 2.41670809 2.43913528 2.46134949 2.4833566
 2.50516223 2.52677173 2.54819024 2.56942266 2.5904737  2.61134787
 2.63204949]",$\phi$,dfa (short)
White Noise,0.0,"[  5   7   9  11  13  15  17  19  21  23  25  27  29  31  33  35  37  39
  41  43  45  47  49  51  53  55  57  59  61  63  65  67  69  71  73  75
  77  79  81  83  85  87  89  91  93  95  97  99 101 103 105 107 109 111
 113 115 117 119 121 123 125]","[0.8156235923795204, 1.0034290824953191, 1.160509884051814, 1.2977861715060592, 1.4184429904995026, 1.5333473010124852, 1.635495513251482, 1.7259259136836396, 1.8137805528363542, 1.89804519764695, 1.9778531451862182, 2.0583561027950137, 2.137533067236312, 2.2120982610672812, 2.284997374798501, 2.355107966370474, 2.420194938735836, 2.4837203071551768, 2.5418805937867894, 2.5970346326969302, 2.64995667016164, 2.696161737711557, 2.7388161458932596, 2.775748025743735, 2.8063653838618983, 2.832795384475407, 2.855124420190319, 2.8731928595539613, 2.887481532260479, 2.8989867622605887, 2.906568002002164, 2.9122483872845284, 2.9160411370039636, 2.9187362882341925, 2.921096959631027, 2.9223906562391173, 2.923705212550412, 2.925534441648522, 2.9270474255821988, 2.928673518046928, 2.9307587726219113, 2.9325655843497036, 2.934321982550851, 2.9365837167031517, 2.938842761222001, 2.941030305707747, 2.9438867540894695, 2.946828231155821, 2.9498345925650384, 2.953501746509491, 2.9572630425732482, 2.9608063270733975, 2.9649910708792144, 2.9690174154515625, 2.9723995968366537, 2.9761604757712568, 2.979763116938098, 2.9827140845247633, 2.9860306530401663, 2.9891929736791374, 2.991650787675112]","[1.05967792 1.19739758 1.31181554 1.41097794 1.49922237 1.57918954
 1.65262202 1.720738   1.78442686 1.8443603  1.90105965 1.95493871
 2.00633211 2.05551482 2.10271589 2.1481284  2.19191682 2.23422254
 2.2751681  2.31486055 2.35339394 2.39085148 2.42730713 2.46282702
 2.49747048 2.53129105 2.56433715 2.5966528  2.62827811 2.65924974
 2.68960135 2.71936386 2.7485658  2.77723352 2.80539145 2.83306225
 2.86026702 2.8870254  2.91335575 2.93927524 2.96479995 2.98994499
 3.01472452 3.03915191 3.06323973 3.08699987 3.11044353 3.13358133
 3.15642333 3.17897904 3.20125752 3.22326736 3.24501672 3.2665134
 3.28776479 3.30877796 3.32955967 3.35011634 3.37045415 3.39057898
 3.41049646]",$\phi$,mean (short)
Trace,1.0,"[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 41 43 45 47 49 51
 53 55 57 59 61 63 65 67 69 71 73 75 77 79 81 83 85 87 89 91 93]","[0.07734700308862522, 0.0918652457655655, 0.10226029676711611, 0.11076533020923157, 0.11788846147920061, 0.12309253776606206, 0.12972361901608978, 0.13373155148206814, 0.1390162399367525, 0.14559808256679296, 0.1492983016594301, 0.1538514978463442, 0.15877917781290246, 0.16219848269677622, 0.16596615413156326, 0.16983722866898046, 0.17273783695651931, 0.17563191457423208, 0.17863555740489495, 0.1805883002632656, 0.1828773151955127, 0.18509624377513678, 0.18674138928324338, 0.188695635607606, 0.19053279780216623, 0.19196475601463167, 0.19398548345865926, 0.19593573734064268, 0.19762311304507793, 0.1997296018328249, 0.20161940801037562, 0.2032878112928349, 0.20517071968542513, 0.2068491742962763, 0.2084000612689997, 0.2100695661163443, 0.2115111029709966, 0.21291850443064633, 0.21446116691206207, 0.21585979044535442, 0.21725054787254053, 0.21869473871461098, 0.2200371874554598, 0.2212109180420641, 0.22249730957151492]","[0.08463358 0.09491419 0.10339953 0.11071646 0.11720105 0.12305702
 0.12841833 0.13337833 0.138005   0.14234954 0.14645163 0.15034267
 0.15404804 0.15758854 0.16098147 0.16424139 0.1673807  0.17041004
 0.17333861 0.17617445 0.17892461 0.18159532 0.18419211 0.18671994
 0.18918322 0.19158596 0.19393177 0.19622392 0.1984654  0.20065893
 0.20280702 0.20491197 0.20697589 0.20900073 0.21098831 0.21294031
 0.21485829 0.21674369 0.21859788 0.22042213 0.22221763 0.22398548
 0.22572674 0.22744239 0.22913335]",$\phi$,dfa (short)
Trace,1.0,"[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 41 43 45 47 49 51
 53 55 57 59 61 63 65 67 69 71 73 75 77 79 81 83 85 87 89 91 93]","[0.11603151815134019, 0.1314964991933801, 0.14586425955574936, 0.1593474307338233, 0.16915958025029018, 0.18050514928193453, 0.19092792302848233, 0.19915742345875703, 0.20806219622294067, 0.2168440000287521, 0.22377140201615148, 0.23129325862646563, 0.23856199332765085, 0.24469243240635696, 0.25168636296849267, 0.25801830583552543, 0.26382396427157173, 0.2702090379725742, 0.2758732636697691, 0.28070947250336264, 0.2860296973021415, 0.29093262577537515, 0.2953549458488668, 0.3000572506979423, 0.304274724439558, 0.3079825043089902, 0.3119299890407796, 0.3156151806836358, 0.31898676350741295, 0.3223658905252734, 0.3256850776004769, 0.32872935148359633, 0.33187330989214503, 0.3350297258701087, 0.337921263707027, 0.3407295462285889, 0.3434989711893519, 0.34601641546371714, 0.3484982102677635, 0.351067970303699, 0.353459271490263, 0.35579633800984267, 0.358281780258866, 0.36067677421550937, 0.3629854892155505]","[0.11775676 0.13450557 0.14855169 0.16081335 0.17178943 0.1817855
 0.19100429 0.1995881  0.20764127 0.21524283 0.22245434 0.2293248
 0.23589391 0.2421944  0.24825358 0.25409453 0.25973693 0.26519775
 0.27049172 0.27563171 0.28062907 0.28549384 0.29023497 0.29486045
 0.29937749 0.30379258 0.30811161 0.31233993 0.31648243 0.32054358
 0.32452748 0.32843793 0.3322784  0.33605212 0.33976208 0.34341108
 0.34700169 0.35053632 0.35401725 0.35744658 0.36082629 0.36415824
 0.36744418 0.37068576 0.37388454]",$\phi$,mean (short)
Artificial,1.0,"[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 41 43 45 47 49 51
 53 55 57 59 61 63 65 67 69 71 73 75 77 79 81 83 85 87 89 91 93]","[0.08188655858086423, 0.10391074385342945, 0.12303272581129751, 0.13418739295020146, 0.14117695818449574, 0.1499737677924698, 0.15554990086491519, 0.16180270491545315, 0.1703622370889933, 0.17711429143989077, 0.18477878113304552, 0.19301582728269553, 0.20047727166291793, 0.20817201350399472, 0.21678278135803478, 0.2251629447285571, 0.2336749945465535, 0.2428321602490831, 0.25155277543609733, 0.2598815017962098, 0.2688304061371632, 0.2770807575902602, 0.2845739431171711, 0.2921278945693488, 0.29844296601425585, 0.3037673233389081, 0.30984377602798824, 0.3149244893815049, 0.318943262114642, 0.32368351273469387, 0.3279558720795186, 0.3311446976440266, 0.33503090721722456, 0.338753858592742, 0.34164147467466094, 0.34505320980345666, 0.34862917561782897, 0.3513806660719514, 0.3547710580353612, 0.3582835403786908, 0.36102955406717574, 0.3641729403829847, 0.36738354174865406, 0.3699383201427498, 0.37282847625160187]","[0.08422677 0.10032026 0.11431622 0.12688119 0.13838841 0.14907203
 0.15909051 0.168557   0.17755572 0.18615131 0.19439474 0.20232701
 0.2099817  0.21738673 0.22456562 0.23153838 0.23832224 0.24493212
 0.25138109 0.25768064 0.26384095 0.26987109 0.27577918 0.28157253
 0.28725775 0.29284081 0.29832718 0.30372184 0.30902934 0.3142539
 0.31939938 0.32446936 0.32946715 0.33439583 0.33925826 0.34405711
 0.34879487 0.35347389 0.35809634 0.36266429 0.36717967 0.3716443
 0.37605989 0.38042807 0.38475038]",$\phi$,dfa (short)
Artificial,1.0,"[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 41 43 45 47 49 51
 53 55 57 59 61 63 65 67 69 71 73 75 77 79 81 83 85 87 89 91 93]","[0.13590930744979793, 0.16235571969889204, 0.18709764454013694, 0.20675803758666414, 0.22498695825298717, 0.24540546481652867, 0.26285525137323573, 0.2800836769387916, 0.29805347416350697, 0.3139788906082761, 0.3290820942490136, 0.34367206309906406, 0.35641250546482817, 0.3675376533508241, 0.37847537846059603, 0.38800730966898717, 0.3962786691870734, 0.40432627715301717, 0.4114251809825253, 0.41737905316367707, 0.42315361688440395, 0.4283692889568396, 0.43259184252020283, 0.4368240264626798, 0.44076070844221293, 0.4439855800210498, 0.447260119785737, 0.45029491631113716, 0.4527806610694238, 0.455345013547879, 0.45778480380341924, 0.4597848179115616, 0.46179037633451947, 0.46373184681798935, 0.4654285646258703, 0.4669959961840467, 0.46856834936997155, 0.46994101641541797, 0.4712193991211401, 0.4723939694116527, 0.47340878213024057, 0.47408106677951334, 0.47461752223441916, 0.4750986736722389, 0.4753573438220698]","[0.15784824 0.18157657 0.20159832 0.21915922 0.23493954 0.24935767
 0.26269208 0.27513884 0.28684203 0.29791109 0.30843139 0.318471
 0.32808523 0.33731968 0.34621249 0.35479593 0.36309756 0.37114115
 0.37894736 0.3865343  0.39391791 0.40111233 0.40813016 0.41498268
 0.42168006 0.42823146 0.43464521 0.44092889 0.44708941 0.4531331
 0.4590658  0.46489286 0.47061923 0.4762495  0.48178793 0.48723846
 0.49260479 0.49789035 0.50309835 0.50823181 0.51329355 0.51828623
 0.52321235 0.52807426 0.53287418]",$\phi$,mean (short)
