dataset,lineage_ID,slope,intercept,std_err,variable,kind
Trace,0.0,0.3041924757890034,-2.7722556299404992,0.006672801542774947,$\phi$,dfa (short)
Trace,0.0,0.23786448753440012,-2.330221746498867,0.007338004855008886,$\phi$,mean (short)
Artificial,0.0,0.45247230557594487,-3.089323352814694,0.010800061353505478,$\phi$,dfa (short)
Artificial,0.0,0.38051720291825564,-2.4848093553408135,0.008901708309241746,$\phi$,mean (short)
White Noise,0.0,0.4895602908184817,-1.3959878604994151,0.010806027935066924,$\phi$,dfa (short)
White Noise,0.0,0.3631369853030249,-0.526481423137719,0.015172283751350202,$\phi$,mean (short)
Trace,1.0,0.34071775828076256,-3.017788251363994,0.004885108922130662,$\phi$,dfa (short)
Trace,1.0,0.3952316303375058,-2.7752349390901805,0.003091514921622494,$\phi$,mean (short)
Artificial,1.0,0.51967088107941,-3.3106204836304363,0.006551049356060285,$\phi$,dfa (short)
Artificial,1.0,0.4162107534846847,-2.5159865955897867,0.014117273042027718,$\phi$,mean (short)
White Noise,1.0,0.4802040843485753,-1.3107055125320328,0.016209319128857022,$\phi$,dfa (short)
White Noise,1.0,0.3876900820302605,-0.6041798212114068,0.0088779575597891,$\phi$,mean (short)
Trace,2.0,0.3231297669437678,-2.770238987310316,0.0037985252792566565,$\phi$,dfa (short)
Trace,2.0,0.28150965305889947,-2.3855179979818235,0.00388169078877785,$\phi$,mean (short)
Artificial,2.0,0.5140583660494698,-3.3436753443797693,0.009434060691362732,$\phi$,dfa (short)
Artificial,2.0,0.3394958302438557,-2.3988200836611036,0.016631776703162418,$\phi$,mean (short)
White Noise,2.0,0.2915128941258441,-0.9354003960569159,0.012086082593547416,$\phi$,dfa (short)
White Noise,2.0,0.22179180074233049,-0.41627231515663576,0.010751987226301102,$\phi$,mean (short)
Trace,3.0,0.35388274782620727,-2.937922835447866,0.004416608476497549,$\phi$,dfa (short)
Trace,3.0,0.32344489377497215,-2.5441458422430827,0.004922386199210144,$\phi$,mean (short)
Artificial,3.0,0.4908492626722552,-3.2072576182304484,0.007084904368858182,$\phi$,dfa (short)
Artificial,3.0,0.40103386942556535,-2.5084237591857197,0.008530214616832475,$\phi$,mean (short)
White Noise,3.0,0.4063030658754598,-1.2146675146940629,0.0047643185819864035,$\phi$,dfa (short)
White Noise,3.0,0.40621723703907375,-0.8259557701404616,0.0034706929397224006,$\phi$,mean (short)
Trace,4.0,0.32081011640141044,-2.938798670465806,0.007495227837452435,$\phi$,dfa (short)
Trace,4.0,0.24508691249146344,-2.5068943257381395,0.005864773355903366,$\phi$,mean (short)
Artificial,4.0,0.36595004206910964,-2.8830873840855085,0.017117320752549143,$\phi$,dfa (short)
Artificial,4.0,0.381964942095394,-2.4946219796898026,0.005945998390132867,$\phi$,mean (short)
White Noise,4.0,0.38972435950310874,-1.0814876319586744,0.011421155323913953,$\phi$,dfa (short)
White Noise,4.0,0.29202722544778853,-0.4943208798310794,0.009171561319860607,$\phi$,mean (short)
Trace,5.0,0.33940857763637367,-3.042488233249551,0.004680886629985239,$\phi$,dfa (short)
Trace,5.0,0.2942246978225027,-2.634383072287182,0.005387489602358411,$\phi$,mean (short)
Artificial,5.0,0.4002586941806533,-2.823365399574949,0.016081874728047126,$\phi$,dfa (short)
Artificial,5.0,0.27825853726824656,-2.106920153546528,0.01306479697106093,$\phi$,mean (short)
White Noise,5.0,0.42477531628414833,-1.2150873688219181,0.008481396129962408,$\phi$,dfa (short)
White Noise,5.0,0.44140747638338607,-0.8587019374771395,0.002066323192810908,$\phi$,mean (short)
Trace,6.0,0.2717477976280069,-2.7850289205401753,0.01104014965990059,$\phi$,dfa (short)
Trace,6.0,0.1870140223497141,-2.2913810421569836,0.008154616285107236,$\phi$,mean (short)
Artificial,6.0,0.3429154487760698,-2.862870792797519,0.011219405112933895,$\phi$,dfa (short)
Artificial,6.0,0.28238505745596754,-2.3567775853270563,0.008366238024118932,$\phi$,mean (short)
White Noise,6.0,0.47947544110595913,-1.288522160993678,0.009144383059208415,$\phi$,dfa (short)
White Noise,6.0,0.48482259200830025,-0.8674231676992006,0.002414828311723246,$\phi$,mean (short)
Trace,7.0,0.35124244755817513,-2.8952109885179675,0.0036333504006075975,$\phi$,dfa (short)
Trace,7.0,0.3350089471879022,-2.5527999293832666,0.0020922868942317885,$\phi$,mean (short)
Artificial,7.0,0.5617278977687037,-3.3432671877226996,0.004669224792793446,$\phi$,dfa (short)
Artificial,7.0,0.5026592417904684,-2.727426088043898,0.002490631169896269,$\phi$,mean (short)
White Noise,7.0,0.5032611758692692,-1.4231695895836114,0.002968119200571881,$\phi$,dfa (short)
White Noise,7.0,0.5062880562413888,-0.9300346169929798,0.0041070623462094,$\phi$,mean (short)
Trace,8.0,0.4545918551673445,-3.1286930620911084,0.01204808327512841,$\phi$,dfa (short)
