param1,param2,n,generation,gamma_ta,label
fold_growth,fold_growth,30,1.0,1.0,Trace
fold_growth,fold_growth,30,1.0,1.0,Trace
fold_growth,division_ratio,30,1.0,1.0,Trace
fold_growth,added_length,30,1.0,1.0000000000000002,Trace
fold_growth,generationtime,30,1.0,1.0,Trace
fold_growth,length_birth,30,1.0,1.0,Trace
fold_growth,length_final,30,1.0,1.0,Trace
fold_growth,growth_rate,30,1.0,1.0,Trace
division_ratio,division_ratio,30,1.0,1.0,Trace
division_ratio,division_ratio,30,1.0,1.0,Trace
division_ratio,added_length,30,1.0,1.0000000000000004,Trace
division_ratio,generationtime,30,1.0,1.0,Trace
division_ratio,length_birth,30,1.0,1.0,Trace
division_ratio,length_final,30,1.0,1.0,Trace
division_ratio,growth_rate,30,1.0,1.0,Trace
added_length,added_length,30,1.0,1.0,Trace
added_length,added_length,30,1.0,1.0,Trace
added_length,generationtime,30,1.0,1.0,Trace
added_length,length_birth,30,1.0,1.0000000000000004,Trace
added_length,length_final,30,1.0,1.0000000000000002,Trace
added_length,growth_rate,30,1.0,1.0000000000000002,Trace
generationtime,generationtime,30,1.0,1.0,Trace
generationtime,generationtime,30,1.0,1.0,Trace
generationtime,length_birth,30,1.0,1.0,Trace
generationtime,length_final,30,1.0,1.0,Trace
generationtime,growth_rate,30,1.0,1.0,Trace
length_birth,length_birth,30,1.0,1.0,Trace
length_birth,length_birth,30,1.0,1.0,Trace
length_birth,length_final,30,1.0,1.0,Trace
length_birth,growth_rate,30,1.0,1.0,Trace
length_final,length_final,30,1.0,1.0,Trace
length_final,length_final,30,1.0,1.0,Trace
length_final,growth_rate,30,1.0,1.0,Trace
growth_rate,growth_rate,30,1.0,1.0,Trace
growth_rate,growth_rate,30,1.0,1.0,Trace
fold_growth,fold_growth,27,2.0,0.5557873860243521,Trace
fold_growth,fold_growth,27,2.0,0.5557873860243521,Trace
fold_growth,division_ratio,27,2.0,0.6813341240390495,Trace
fold_growth,added_length,27,2.0,0.5589339750584994,Trace
fold_growth,generationtime,27,2.0,0.5202048590905364,Trace
fold_growth,length_birth,27,2.0,0.5933239808436469,Trace
fold_growth,length_final,27,2.0,0.531420532176244,Trace
fold_growth,growth_rate,27,2.0,0.6270359131634667,Trace
division_ratio,division_ratio,27,2.0,0.6541205195461226,Trace
division_ratio,division_ratio,27,2.0,0.6541205195461226,Trace
division_ratio,added_length,27,2.0,0.6780177611698214,Trace
division_ratio,generationtime,27,2.0,0.6813511282266969,Trace
division_ratio,length_birth,27,2.0,0.7395655750429866,Trace
division_ratio,length_final,27,2.0,-0.03581905482137171,Trace
division_ratio,growth_rate,27,2.0,0.3859502125383117,Trace
added_length,added_length,27,2.0,0.6048800119188769,Trace
added_length,added_length,27,2.0,0.6048800119188769,Trace
added_length,generationtime,27,2.0,0.5004359234964363,Trace
added_length,length_birth,27,2.0,0.239017740601307,Trace
added_length,length_final,27,2.0,0.6593000092566738,Trace
added_length,growth_rate,27,2.0,0.6996399135360744,Trace
generationtime,generationtime,27,2.0,0.5345363793434442,Trace
generationtime,generationtime,27,2.0,0.5345363793434442,Trace
generationtime,length_birth,27,2.0,0.592530622208779,Trace
generationtime,length_final,27,2.0,0.40087708246806486,Trace
generationtime,growth_rate,27,2.0,0.6872392960711936,Trace
length_birth,length_birth,27,2.0,0.7345590829977426,Trace
length_birth,length_birth,27,2.0,0.7345590829977426,Trace
length_birth,length_final,27,2.0,0.9581225796507883,Trace
length_birth,growth_rate,27,2.0,0.4601280592586655,Trace
length_final,length_final,27,2.0,0.7333933853642197,Trace
length_final,length_final,27,2.0,0.7333933853642197,Trace
length_final,growth_rate,27,2.0,0.7704062833248894,Trace
growth_rate,growth_rate,27,2.0,0.6237448470504553,Trace
growth_rate,growth_rate,27,2.0,0.6237448470504553,Trace
fold_growth,fold_growth,29,3.0,0.35202399164964043,Trace
fold_growth,fold_growth,29,3.0,0.35202399164964043,Trace
fold_growth,division_ratio,29,3.0,0.6096991149156509,Trace
fold_growth,added_length,29,3.0,0.3600124387380405,Trace
fold_growth,generationtime,29,3.0,0.2877007471763045,Trace
fold_growth,length_birth,29,3.0,0.36315679800155276,Trace
fold_growth,length_final,29,3.0,0.3562949689425426,Trace
fold_growth,growth_rate,29,3.0,0.5999718937756742,Trace
division_ratio,division_ratio,29,3.0,0.5113520092522125,Trace
division_ratio,division_ratio,29,3.0,0.5113520092522125,Trace
division_ratio,added_length,29,3.0,0.5640525087104385,Trace
division_ratio,generationtime,29,3.0,0.6949456617608374,Trace
division_ratio,length_birth,29,3.0,0.7154893793781855,Trace
division_ratio,length_final,29,3.0,1.7269395711836852,Trace
division_ratio,growth_rate,29,3.0,0.31481989506061125,Trace
added_length,added_length,29,3.0,0.46673881110790866,Trace
added_length,added_length,29,3.0,0.46673881110790866,Trace
added_length,generationtime,29,3.0,0.3076737825767592,Trace
added_length,length_birth,29,3.0,-0.8325058141044873,Trace
added_length,length_final,29,3.0,0.5997366050691656,Trace
added_length,growth_rate,29,3.0,0.5472253620551826,Trace
generationtime,generationtime,29,3.0,0.2976051748614539,Trace
generationtime,generationtime,29,3.0,0.2976051748614539,Trace
generationtime,length_birth,29,3.0,0.25504588106882253,Trace
generationtime,length_final,29,3.0,0.3864354008867439,Trace
generationtime,growth_rate,29,3.0,0.3392140414110703,Trace
length_birth,length_birth,29,3.0,0.5851051759748523,Trace
length_birth,length_birth,29,3.0,0.5851051759748523,Trace
length_birth,length_final,29,3.0,0.8528163509109501,Trace
length_birth,growth_rate,29,3.0,0.9305688553381318,Trace
length_final,length_final,29,3.0,0.688697952200465,Trace
length_final,length_final,29,3.0,0.688697952200465,Trace
length_final,growth_rate,29,3.0,0.36995818239069367,Trace
growth_rate,growth_rate,29,3.0,0.42748220874425064,Trace
growth_rate,growth_rate,29,3.0,0.42748220874425064,Trace
fold_growth,fold_growth,26,4.0,0.26009367365595176,Trace
fold_growth,fold_growth,26,4.0,0.26009367365595176,Trace
fold_growth,division_ratio,26,4.0,0.3642672815968864,Trace
fold_growth,added_length,26,4.0,0.25024256627093006,Trace
fold_growth,generationtime,26,4.0,0.2585067674179231,Trace
fold_growth,length_birth,26,4.0,0.3126462973879181,Trace
fold_growth,length_final,26,4.0,0.18032575619047367,Trace
fold_growth,growth_rate,26,4.0,0.25867251793622886,Trace
division_ratio,division_ratio,26,4.0,0.2954224014689687,Trace
division_ratio,division_ratio,26,4.0,0.2954224014689687,Trace
division_ratio,added_length,26,4.0,0.24041827742886204,Trace
division_ratio,generationtime,26,4.0,0.41217515687065986,Trace
division_ratio,length_birth,26,4.0,0.5272071065809119,Trace
division_ratio,length_final,26,4.0,5.195018320121045,Trace
division_ratio,growth_rate,26,4.0,0.3168273913102312,Trace
added_length,added_length,26,4.0,0.360976283139217,Trace
added_length,added_length,26,4.0,0.360976283139217,Trace
added_length,generationtime,26,4.0,0.2906692500505142,Trace
added_length,length_birth,26,4.0,-0.9540530720047685,Trace
added_length,length_final,26,4.0,0.49532181485392657,Trace
added_length,growth_rate,26,4.0,0.10669884026846947,Trace
generationtime,generationtime,26,4.0,0.33131166100598414,Trace
generationtime,generationtime,26,4.0,0.33131166100598414,Trace
generationtime,length_birth,26,4.0,0.21161717229827404,Trace
generationtime,length_final,26,4.0,0.3890671935453975,Trace
generationtime,growth_rate,26,4.0,0.5606324665502115,Trace
length_birth,length_birth,26,4.0,0.5649949840799573,Trace
length_birth,length_birth,26,4.0,0.5649949840799573,Trace
length_birth,length_final,26,4.0,0.8808351331595279,Trace
length_birth,growth_rate,26,4.0,0.6747497834390791,Trace
length_final,length_final,26,4.0,0.6223357687806196,Trace
length_final,length_final,26,4.0,0.6223357687806196,Trace
length_final,growth_rate,26,4.0,-0.4538000975874108,Trace
