variable,kind,value
fold_growth,Trace,0.03314494172522782
division_ratio,Trace,0.13423380557222617
added_length,Trace,0.11823598053752842
generationtime,Trace,0.22288244179474614
length_birth,Trace,0.26996246092161946
length_final,Trace,0.2843065919342082
growth_rate,Trace,0.39206309701854586
fold_growth,Artificial,0.04126185458614634
division_ratio,Artificial,0.04035289822917571
added_length,Artificial,0.04253919095817923
generationtime,Artificial,0.04286299281891752
length_birth,Artificial,0.04022865736392532
length_final,Artificial,0.04046459015455108
growth_rate,Artificial,0.04068359953250094
