dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,263.0,[ 5  7  9 11 13],"[0.050017015783183356, 0.061889308463147094, 0.06786955849392676, 0.0710925833839727, 0.07428073149602822]",[0.05188306 0.05946915 0.06585036 0.07143388 0.07644149],$\phi$,dfa (short)
Trace,263.0,[ 5  7  9 11 13],"[0.06401499040158294, 0.07346226784068279, 0.08485688161811722, 0.08628044257489481, 0.08828324420441996]",[0.06535262 0.07354025 0.08031806 0.08617588 0.09137696],$\phi$,mean (short)
Artificial,263.0,[ 5  7  9 11 13],"[0.07151864436783223, 0.088947710346294, 0.09621892173863182, 0.10289403719967197, 0.11092051386115903]",[0.07357714 0.08533337 0.09532393 0.10413471 0.11208754],$\phi$,dfa (short)
Artificial,263.0,[ 5  7  9 11 13],"[0.1027075052029154, 0.1246658804072727, 0.13544499174249316, 0.14524321506436827, 0.1616271574198783]",[0.10414029 0.12117078 0.13568411 0.14851126 0.16010978],$\phi$,mean (short)
White Noise,263.0,[ 5  7  9 11 13],"[0.46592998145354136, 0.6531630052655446, 0.8210778718917197, 0.8763053366584317, 0.8581798095438854]",[0.50009038 0.62697087 0.74232325 0.8494904  0.95041424],$\phi$,dfa (short)
White Noise,263.0,[ 5  7  9 11 13],"[0.944132891363698, 1.130990941918097, 1.1656954567152842, 1.197574025069251, 1.2301838744283577]",[0.98270004 1.07252874 1.14493946 1.20625297 1.25979223],$\phi$,mean (short)
Trace,264.0,[ 5  7  9 11 13],"[0.05755592611588352, 0.07724785668580436, 0.079363411317255, 0.08940467827111687, 0.09748428868908407]",[0.05997568 0.07134884 0.0812293  0.09009236 0.09820394],$\phi$,dfa (short)
Trace,264.0,[ 5  7  9 11 13],"[0.0941230771993119, 0.11713905624655846, 0.12288302351674311, 0.13231256777060404, 0.13639795399674837]",[0.09779858 0.11101809 0.12204487 0.13163089 0.14018289],$\phi$,mean (short)
Artificial,264.0,[ 5  7  9 11 13],"[0.06706491354520339, 0.07902025326141103, 0.09496279265403648, 0.11014355739619167, 0.12503363611664392]",[0.06535236 0.0815949  0.09630891 0.10994111 0.12275024],$\phi$,dfa (short)
Artificial,264.0,[ 5  7  9 11 13],"[0.11441550649629126, 0.13600566351602894, 0.1487305674809516, 0.1606313431387234, 0.16938995059742432]",[0.11624598 0.1333315  0.14771169 0.16029986 0.1715937 ],$\phi$,mean (short)
White Noise,264.0,[ 5  7  9 11 13],"[0.3371568407728631, 0.5302705640058215, 0.5512652979588748, 0.5997762772373803, 0.6482180475159312]",[0.37172905 0.45979886 0.53893774 0.61180164 0.67991862],$\phi$,dfa (short)
White Noise,264.0,[ 5  7  9 11 13],"[0.6786041311516138, 0.8388813623144948, 0.9181244900325959, 1.0589297720132167, 1.133399170061208]",[0.6849209  0.81984539 0.93769003 1.04383722 1.14131155],$\phi$,mean (short)
Trace,265.0,[ 5  7  9 11],"[0.05343010219228446, 0.058846369461330233, 0.06521781308703065, 0.06617139981956931]",[0.05364628 0.05910939 0.06354976 0.06733367],$\phi$,dfa (short)
Trace,265.0,[ 5  7  9 11],"[0.060835495860109626, 0.06862321084162462, 0.07683157667856838, 0.07787565762002992]",[0.06132989 0.06857617 0.07454168 0.07967553],$\phi$,mean (short)
Artificial,265.0,[ 5  7  9 11],"[0.058430737919231285, 0.08629249790918794, 0.09139257567865314, 0.10198286919363947]",[0.06185697 0.07778446 0.09230252 0.1058175 ],$\phi$,dfa (short)
Artificial,265.0,[ 5  7  9 11],"[0.12337578876479212, 0.14353679606501846, 0.1568973160841576, 0.16409992843593965]",[0.12489408 0.14129441 0.15493401 0.16676446],$\phi$,mean (short)
White Noise,265.0,[ 5  7  9 11],"[0.614386349855977, 0.7152434722921142, 0.8121615096337244, 0.8367685779251941]",[0.62050639 0.7120324  0.78909671 0.85657813],$\phi$,dfa (short)
White Noise,265.0,[ 5  7  9 11],"[0.9250545180046581, 0.9697039264270346, 1.0520512939219788, 1.0969647263035047]",[0.91657075 0.98821326 1.04535352 1.09334242],$\phi$,mean (short)
Trace,266.0,[ 5  7  9 11],"[0.05608776198937313, 0.05591718151253784, 0.06569698195258597, 0.06901283976074374]",[0.05426402 0.0598024  0.06430476 0.06814202],$\phi$,dfa (short)
Trace,266.0,[ 5  7  9 11],"[0.07356459751697075, 0.0775440219374633, 0.08071694917880813, 0.08180740971929545]",[0.07381477 0.07734942 0.08009946 0.08236537],$\phi$,mean (short)
Artificial,266.0,[ 5  7  9 11],"[0.07110698180616197, 0.09937015884944153, 0.11318500386177474, 0.1231534473883884]",[0.07396118 0.09346468 0.11131821 0.12799296],$\phi$,dfa (short)
Artificial,266.0,[ 5  7  9 11],"[0.1145615860538743, 0.14805058072277566, 0.16311804607793517, 0.165797558020104]",[0.11923315 0.14006304 0.15796191 0.17388267],$\phi$,mean (short)
White Noise,266.0,[ 5  7  9 11],"[0.3766584202170624, 0.5115429344471305, 0.5632652557226207, 0.6421506260976376]",[0.38763744 0.48371108 0.57070165 0.65126653],$\phi$,dfa (short)
White Noise,266.0,[ 5  7  9 11],"[0.6505336380376877, 0.743044083943906, 0.796399334777589, 0.8503039980817064]",[0.65505406 0.73344504 0.79805661 0.85371131],$\phi$,mean (short)
Trace,267.0,[ 5  7  9 11],"[0.052446085974179595, 0.05612285933156784, 0.0655366815124106, 0.07050947617370208]",[0.0513488  0.05858546 0.06464838 0.069937  ],$\phi$,dfa (short)
Trace,267.0,[ 5  7  9 11],"[0.07170649972250409, 0.07738696134527961, 0.08804102119917454, 0.09687553489007636]",[0.0702902  0.08005432 0.08822217 0.09533847],$\phi$,mean (short)
Artificial,267.0,[ 5  7  9 11],"[0.05688380028065362, 0.08814997843260006, 0.09948290563911004, 0.10598707596279493]",[0.0608666  0.07933086 0.09669052 0.11324188],$\phi$,dfa (short)
Artificial,267.0,[ 5  7  9 11],"[0.11912909722330103, 0.15937951751510882, 0.1727137815623545, 0.18319192570956036]",[0.12420225 0.14898313 0.17066664 0.19022539],$\phi$,mean (short)
White Noise,267.0,[ 5  7  9 11],"[0.523149140711936, 0.5620594311889647, 0.6856978579358242, 0.6966751730712166]",[0.51519866 0.58999303 0.65285852 0.70783201],$\phi$,dfa (short)
White Noise,267.0,[ 5  7  9 11],"[0.6027685470345078, 0.6859351469359811, 0.7663184195723362, 0.7531594025895209]",[0.61270197 0.67949307 0.73408778 0.78081384],$\phi$,mean (short)
Trace,268.0,[ 5  7  9 11],"[0.05078095262826715, 0.0680783433196252, 0.07356308119054594, 0.08223089344703569]",[0.05245077 0.06404227 0.07434211 0.08374353],$\phi$,dfa (short)
Trace,268.0,[ 5  7  9 11],"[0.0957480256054399, 0.10912264188515482, 0.1251376196363509, 0.14075417357864906]",[0.09448634 0.11136902 0.12591871 0.13888974],$\phi$,mean (short)
Artificial,268.0,[ 5  7  9 11],"[0.04818459610736425, 0.05450809728564629, 0.0693297493963325, 0.08018769673161646]",[0.04652754 0.05816635 0.06872164 0.07850931],$\phi$,dfa (short)
