distance,correlations,dataset
0.0,0.9999999999999998,physical units
1.0,0.06532139542261788,physical units
2.0,0.07297631612004644,physical units
3.0,0.08363539378664372,physical units
4.0,0.1022849861392286,physical units
5.0,0.0804763266330607,physical units
6.0,0.093484309543474,physical units
7.0,0.09558974539817272,physical units
8.0,0.08388194239022027,physical units
9.0,0.09170515313824454,physical units
10.0,0.08897354870076823,physical units
11.0,0.10208942409985614,physical units
12.0,0.10320127817176722,physical units
13.0,0.0641366429923375,physical units
14.0,0.07423609303003634,physical units
15.0,0.09954715556878209,physical units
0.0,1.0,trace centered
1.0,-0.06743288140823035,trace centered
2.0,-0.06146063573302735,trace centered
3.0,-0.04720273386617542,trace centered
4.0,-0.02528713706320839,trace centered
5.0,-0.04600721623610658,trace centered
6.0,-0.03424042907508162,trace centered
7.0,-0.0314980500508705,trace centered
8.0,-0.04259751319282278,trace centered
9.0,-0.027415530174868356,trace centered
10.0,-0.03102945972521682,trace centered
11.0,-0.01655642475879381,trace centered
12.0,-0.012071680982711249,trace centered
13.0,-0.0550892394449828,trace centered
14.0,-0.04065578331257069,trace centered
15.0,-0.008215386232048566,trace centered
