distance,correlations,dataset
0.0,0.6757127572864059,physical units
1.0,-0.25128789054120226,physical units
2.0,-0.08290135072872605,physical units
3.0,0.012981453630724666,physical units
4.0,0.05695472721091624,physical units
5.0,0.04737790141204108,physical units
6.0,0.06155247776149802,physical units
7.0,0.06411830412916973,physical units
8.0,0.061583236330715704,physical units
9.0,0.05782622925603301,physical units
10.0,0.06614040011020378,physical units
11.0,0.07199475191752928,physical units
12.0,0.05743696738278201,physical units
13.0,0.0448569402414225,physical units
14.0,0.06004682908245979,physical units
15.0,0.08523225979253371,physical units
0.0,0.7358480306919355,trace centered
1.0,-0.3807971843965833,trace centered
2.0,-0.17809372392241934,trace centered
3.0,-0.06140855769887545,trace centered
4.0,-0.010291499892133293,trace centered
5.0,-0.018837660837106092,trace centered
6.0,-0.004032044280260124,trace centered
7.0,-0.0032082271541718803,trace centered
8.0,-0.005848207750269655,trace centered
9.0,-0.008587760229874977,trace centered
10.0,0.0012887627780332,trace centered
11.0,0.0069577018989735425,trace centered
12.0,-0.008682524618999212,trace centered
13.0,-0.022396688509788605,trace centered
14.0,-0.003001157540846815,trace centered
15.0,0.02689994974179841,trace centered
