distance,correlations,dataset
0.0,0.04489456574281707,physical units
1.0,0.7104808061899994,physical units
2.0,0.39976240349846165,physical units
3.0,0.2675465846019734,physical units
4.0,0.20315520250293523,physical units
5.0,0.17923924442334888,physical units
6.0,0.1584659398708777,physical units
7.0,0.14641584745194636,physical units
8.0,0.1337669549792964,physical units
9.0,0.13575933868955625,physical units
10.0,0.12477583291930258,physical units
11.0,0.13541768032513976,physical units
12.0,0.1321270391832039,physical units
13.0,0.13958326824379336,physical units
14.0,0.1209646745007987,physical units
15.0,0.11135341528977295,physical units
0.0,-0.14766162534589714,trace centered
1.0,0.6912757538060925,trace centered
2.0,0.2885975270994225,trace centered
3.0,0.11627118874478279,trace centered
4.0,0.03589966066435887,trace centered
5.0,0.0064554963860162665,trace centered
6.0,-0.01993569780068385,trace centered
7.0,-0.034836233568607475,trace centered
8.0,-0.04630287269825589,trace centered
9.0,-0.03747273253111979,trace centered
10.0,-0.04841175385395814,trace centered
11.0,-0.030273873604913803,trace centered
12.0,-0.0325493803594993,trace centered
13.0,-0.021617033869451213,trace centered
14.0,-0.04103501650983164,trace centered
15.0,-0.04920362340439729,trace centered
