distance,correlations,dataset
0.0,0.8436736812260768,physical units
1.0,0.4334858452427971,physical units
2.0,0.27230053849799657,physical units
3.0,0.21275266799270806,physical units
4.0,0.192832440243349,physical units
5.0,0.16300308410178332,physical units
6.0,0.16248978199001354,physical units
7.0,0.15763486422341516,physical units
8.0,0.1418223417140384,physical units
9.0,0.14916932386426907,physical units
10.0,0.14037093777226806,physical units
11.0,0.15779812584307942,physical units
12.0,0.15676195921856453,physical units
13.0,0.12814361783720177,physical units
14.0,0.12622293235735516,physical units
15.0,0.14196172986317476,physical units
0.0,0.8423842393847337,trace centered
1.0,0.31036565942287586,trace centered
2.0,0.09726750478257035,trace centered
3.0,0.01929982119583276,trace centered
4.0,-0.004337434448285795,trace centered
5.0,-0.03930602087588224,trace centered
6.0,-0.04252114282981001,trace centered
7.0,-0.04789168719918805,trace centered
8.0,-0.06449370707231421,trace centered
9.0,-0.0455176685648947,trace centered
10.0,-0.05434931056640409,trace centered
11.0,-0.03175285044317431,trace centered
12.0,-0.028750272468183968,trace centered
13.0,-0.06245927447474017,trace centered
14.0,-0.05937980254898845,trace centered
15.0,-0.033592429184418716,trace centered
