distance,correlations,dataset
0.0,-0.1460151907128978,physical units
1.0,-0.14332882270588015,physical units
2.0,-0.029835837367432512,physical units
3.0,-0.049672968138430584,physical units
4.0,-0.035525292551695634,physical units
5.0,-0.043586225428461564,physical units
6.0,-0.028926042546814964,physical units
7.0,0.00338531381111759,physical units
8.0,-0.002772800950370405,physical units
9.0,-0.030834626087539233,physical units
10.0,-0.030809300693969328,physical units
11.0,-0.041036067271901094,physical units
12.0,-0.03192104052139963,physical units
13.0,-0.015401613180455236,physical units
14.0,-0.02194997255601606,physical units
15.0,-0.018735098425318016,physical units
0.0,-0.12311987214526174,trace centered
1.0,-0.12002643553019021,trace centered
2.0,0.008872052248551306,trace centered
3.0,-0.01389125486817025,trace centered
4.0,0.001354414162658466,trace centered
5.0,-0.010559404019137382,trace centered
6.0,0.008088373597002402,trace centered
7.0,0.0417141390207329,trace centered
8.0,0.03436644067757642,trace centered
9.0,0.0006908315426601743,trace centered
10.0,0.001768021314750367,trace centered
11.0,-0.011388685483337891,trace centered
12.0,-0.005695150722383532,trace centered
13.0,0.011705515857363302,trace centered
14.0,0.004734066457546781,trace centered
15.0,0.007572094061350899,trace centered
