distance,correlations,dataset
0.0,-0.16584532145800107,physical units
1.0,-0.2939887714935848,physical units
2.0,-0.12062308175197686,physical units
3.0,-0.108752609176873,physical units
4.0,-0.06828556523731122,physical units
5.0,-0.07076367537564592,physical units
6.0,-0.030207429396312886,physical units
7.0,-0.007616458622501753,physical units
8.0,-0.027633365711205185,physical units
9.0,-0.05364786867693655,physical units
10.0,-0.03310869726547257,physical units
11.0,-0.05540172114691472,physical units
12.0,-0.03689059335745008,physical units
13.0,-0.022776250975487865,physical units
14.0,-0.022882711065119597,physical units
15.0,-0.029759770766075964,physical units
0.0,-0.12181277401862414,trace centered
1.0,-0.25843657511859774,trace centered
2.0,-0.06791853621954157,trace centered
3.0,-0.05417941878186698,trace centered
4.0,-0.010490935071050932,trace centered
5.0,-0.01526697366772281,trace centered
6.0,0.02879578002346132,trace centered
7.0,0.05125043856028147,trace centered
8.0,0.032363741593095165,trace centered
9.0,0.0018390399298162752,trace centered
10.0,0.023936342318072772,trace centered
11.0,-0.0006780019234149699,trace centered
12.0,0.0157901450857751,trace centered
13.0,0.028206213997060844,trace centered
14.0,0.029366044773301826,trace centered
15.0,0.020154517767110636,trace centered
