distance,correlations,dataset
0.0,0.11904092248333173,physical units
1.0,0.1113926538646784,physical units
2.0,0.031030866181413035,physical units
3.0,-0.025308620802942938,physical units
4.0,-0.047562085602844736,physical units
5.0,-0.04444283593654292,physical units
6.0,-0.05516397225065112,physical units
7.0,-0.05737285107721501,physical units
8.0,-0.045456934518925504,physical units
9.0,-0.04430876588990744,physical units
10.0,-0.04325341471887461,physical units
11.0,-0.036104482835063595,physical units
12.0,-0.017382776710456644,physical units
13.0,-0.036589841086987575,physical units
14.0,-0.03140015534793746,physical units
15.0,-0.03862274826173627,physical units
0.0,0.18819099365608077,trace centered
1.0,0.1772123584042906,trace centered
2.0,0.06888010769081318,trace centered
3.0,-0.0025805864326432925,trace centered
4.0,-0.030138692403987307,trace centered
5.0,-0.02834461319761982,trace centered
6.0,-0.04304697516362747,trace centered
7.0,-0.04249375340455169,trace centered
8.0,-0.027322795045927016,trace centered
9.0,-0.027564742188400618,trace centered
10.0,-0.0320578455151612,trace centered
11.0,-0.023114647271841773,trace centered
12.0,-0.0007400001617866803,trace centered
13.0,-0.02585718798993326,trace centered
14.0,-0.022733666098521385,trace centered
15.0,-0.030195635312491725,trace centered
