distance,correlations,dataset
0.0,-0.47580619574541927,physical units
1.0,0.2938103592662469,physical units
2.0,0.1260189911908521,physical units
3.0,0.06711006782386175,physical units
4.0,0.02281117350779948,physical units
5.0,0.014936320188032358,physical units
6.0,0.011427036828374697,physical units
7.0,0.00938992895351343,physical units
8.0,0.007607352739076165,physical units
9.0,0.01670991333480385,physical units
10.0,-0.00034608882476481394,physical units
11.0,0.006804089951860847,physical units
12.0,0.0004584865795302767,physical units
13.0,0.011734855423355534,physical units
14.0,0.00114338962735769,physical units
15.0,-0.019439588114745925,physical units
0.0,-0.5565953448950185,trace centered
1.0,0.3725048734838277,trace centered
2.0,0.16528126765963685,trace centered
3.0,0.09241750906960991,trace centered
4.0,0.036636890358751416,trace centered
5.0,0.02924412273501413,trace centered
6.0,0.022215933256011663,trace centered
7.0,0.017612017224220657,trace centered
8.0,0.014796770336471024,trace centered
9.0,0.029610686900478553,trace centered
10.0,0.007504794594394441,trace centered
11.0,0.019242336303882043,trace centered
12.0,0.01166810237704136,trace centered
13.0,0.02451563438179531,trace centered
14.0,0.013563164357065302,trace centered
15.0,-0.010839295617461836,trace centered
