distance,correlations,dataset
0.0,0.7691675273355174,physical units
1.0,-0.10952864633406217,physical units
2.0,-0.01950939946976874,physical units
3.0,0.0037976460250802985,physical units
4.0,0.03403266272745839,physical units
5.0,0.026344841777307948,physical units
6.0,0.04043166934571522,physical units
7.0,0.021296122503280425,physical units
8.0,0.04389201943867632,physical units
9.0,0.03510982220191882,physical units
10.0,0.03306282749654033,physical units
11.0,0.060986091917188304,physical units
12.0,0.04910144001322701,physical units
13.0,0.02459685564998991,physical units
14.0,0.017588210743401972,physical units
15.0,0.055816817254752835,physical units
0.0,0.8330515870709816,trace centered
1.0,-0.17614215148871024,trace centered
2.0,-0.07358790051275266,trace centered
3.0,-0.04694914038151457,trace centered
4.0,-0.011295113261180881,trace centered
5.0,-0.018161210079408376,trace centered
6.0,-0.0021441498245255842,trace centered
7.0,-0.024011529998495516,trace centered
8.0,-0.0032931157641495324,trace centered
9.0,-0.014815364547256427,trace centered
10.0,-0.017170606760290724,trace centered
11.0,0.013323250779390472,trace centered
12.0,0.0036067315462631378,trace centered
13.0,-0.025098621981452088,trace centered
14.0,-0.03215210636520094,trace centered
15.0,0.012167114283013909,trace centered
