distance,correlations,dataset
0.0,-0.5069998011510938,physical units
1.0,-0.27821358112481587,physical units
2.0,-0.28138601243943984,physical units
3.0,-0.29676168045849155,physical units
4.0,-0.28836605335437654,physical units
5.0,-0.2787272618923117,physical units
6.0,-0.26808403508907563,physical units
7.0,-0.2622106070481674,physical units
8.0,-0.24407520243413394,physical units
9.0,-0.2354570012231503,physical units
10.0,-0.243059547401685,physical units
11.0,-0.23933387241553192,physical units
12.0,-0.22241848552382557,physical units
13.0,-0.22900968762860546,physical units
14.0,-0.22294318855394946,physical units
15.0,-0.24166043443683477,physical units
0.0,-0.3399514413138925,trace centered
1.0,-0.0015524998962104315,trace centered
2.0,-0.008062534807208999,trace centered
3.0,-0.0304869929304245,trace centered
4.0,-0.019602047482086882,trace centered
5.0,-0.003303782262332213,trace centered
6.0,0.00944253271422459,trace centered
7.0,0.016918994644589395,trace centered
8.0,0.03915072982522611,trace centered
9.0,0.04970757346262728,trace centered
10.0,0.03026801124755211,trace centered
11.0,0.033773688041275354,trace centered
12.0,0.05321997378347891,trace centered
13.0,0.03857447194569935,trace centered
14.0,0.038886155918991215,trace centered
15.0,0.012240958869035147,trace centered
