distance,correlations,dataset
0.0,-0.3252158454332862,physical units
1.0,0.2981082763758385,physical units
2.0,0.14867480715420497,physical units
3.0,0.10274709916636633,physical units
4.0,0.07125533473900163,physical units
5.0,0.06181402173215872,physical units
6.0,0.06344706871223636,physical units
7.0,0.059589371965484625,physical units
8.0,0.04130780782811819,physical units
9.0,0.04544277799076539,physical units
10.0,0.040461021217600056,physical units
11.0,0.04041514344429718,physical units
12.0,0.04112825712659436,physical units
13.0,0.05225702881217728,physical units
14.0,0.04471246884766506,physical units
15.0,0.02713522623261262,physical units
0.0,-0.4843446408058838,trace centered
1.0,0.35000075550772547,trace centered
2.0,0.14507077016766023,trace centered
3.0,0.08210871343157004,trace centered
4.0,0.03991959880322128,trace centered
5.0,0.029580780128312282,trace centered
6.0,0.031040742667633126,trace centered
7.0,0.02695933162255454,trace centered
8.0,0.005646939821419046,trace centered
9.0,0.01385579448082831,trace centered
10.0,0.00022283958610015326,trace centered
11.0,-0.0013020944404741118,trace centered
12.0,-0.0071691641736551645,trace centered
13.0,0.0032790701712940374,trace centered
14.0,-0.00775760337699957,trace centered
15.0,-0.03045317171447772,trace centered
