distance,correlations,dataset
0.0,-0.11235713136222761,physical units
1.0,-0.06783887782707726,physical units
2.0,-0.06823817671536217,physical units
3.0,-0.07865683269076659,physical units
4.0,-0.08891083514921763,physical units
5.0,-0.07851756018386821,physical units
6.0,-0.08423135388733993,physical units
7.0,-0.08215253787607055,physical units
8.0,-0.054581006050223244,physical units
9.0,-0.05088171922903564,physical units
10.0,-0.062435820038057505,physical units
11.0,-0.042588402942451704,physical units
12.0,-0.06313190167341359,physical units
13.0,-0.06015465482011011,physical units
14.0,-0.06227268913374138,physical units
15.0,-0.06352117782327553,physical units
0.0,-0.05012354539464444,trace centered
1.0,0.01830086271649196,trace centered
2.0,0.016314766955089006,trace centered
3.0,1.7859322137824506e-05,trace centered
4.0,-0.018968320086892584,trace centered
5.0,-0.006412336146671898,trace centered
6.0,-0.018384649840946666,trace centered
7.0,-0.021634236928510263,trace centered
8.0,0.012286300408527169,trace centered
9.0,0.020639694519072924,trace centered
10.0,0.012953956020566456,trace centered
11.0,0.048529768281018175,trace centered
12.0,0.029212091425124716,trace centered
13.0,0.036831005461026016,trace centered
14.0,0.03625665218518796,trace centered
15.0,0.03345743581776148,trace centered
