distance,correlations,dataset
0.0,-0.055235630799354285,physical units
1.0,-0.08830369415474684,physical units
2.0,-0.10577494517026984,physical units
3.0,-0.12555451510034527,physical units
4.0,-0.11249657337277136,physical units
5.0,-0.11261098456906499,physical units
6.0,-0.1253872408444937,physical units
7.0,-0.0925547925648771,physical units
8.0,-0.08576377794905805,physical units
9.0,-0.0898795914749416,physical units
10.0,-0.08097103593497885,physical units
11.0,-0.10052288371991198,physical units
12.0,-0.09162845815699681,physical units
13.0,-0.09780075691735435,physical units
14.0,-0.09642977134852512,physical units
15.0,-0.10056068058370975,physical units
0.0,0.07576211790827905,trace centered
1.0,0.02552623984677622,trace centered
2.0,-0.0030959314330136775,trace centered
3.0,-0.03310816917230286,trace centered
4.0,-0.017693824889962385,trace centered
5.0,-0.023136843381817037,trace centered
6.0,-0.04851402475764616,trace centered
7.0,-0.006628421071431816,trace centered
8.0,0.0019329743359586494,trace centered
9.0,0.00397618633811795,trace centered
10.0,0.024515949778075873,trace centered
11.0,0.008701337550858902,trace centered
12.0,0.026123745179230138,trace centered
13.0,0.020465845823144695,trace centered
14.0,0.022224645797294725,trace centered
15.0,0.0148039846983215,trace centered
