distance,correlations,dataset
0.0,0.04489456574281707,physical units
1.0,0.09796184373544221,physical units
2.0,0.10520201167588847,physical units
3.0,0.12209933767059775,physical units
4.0,0.1111206823043728,physical units
5.0,0.12614517292339913,physical units
6.0,0.1332249456156407,physical units
7.0,0.11969084254047509,physical units
8.0,0.10842543146932515,physical units
9.0,0.12065539930646305,physical units
10.0,0.11543788428468435,physical units
11.0,0.12194716797334573,physical units
12.0,0.10739241343274035,physical units
13.0,0.12055775876067365,physical units
14.0,0.1344124608458355,physical units
15.0,0.12658283374140117,physical units
0.0,-0.14766162534589714,trace centered
1.0,-0.0791584377937829,trace centered
2.0,-0.0704060629812846,trace centered
3.0,-0.04249367224087795,trace centered
4.0,-0.05433122308790713,trace centered
5.0,-0.03158650519053924,trace centered
6.0,-0.023528733336947313,trace centered
7.0,-0.03611159243673152,trace centered
8.0,-0.040052069311462456,trace centered
9.0,-0.024320839652567167,trace centered
10.0,-0.031110800583342448,trace centered
11.0,-0.029329286205946378,trace centered
12.0,-0.04419721449858177,trace centered
13.0,-0.02554506116685883,trace centered
14.0,-0.004583564827288644,trace centered
15.0,-0.00919322597342751,trace centered
