distance,correlations,dataset
0.0,0.09005690139651792,physical units
1.0,0.06492503315614807,physical units
2.0,0.03167020001386746,physical units
3.0,0.028340210638068502,physical units
4.0,0.017456473512649107,physical units
5.0,-0.00020428432926726352,physical units
6.0,-0.017235309608911828,physical units
7.0,-0.010824087015530759,physical units
8.0,-0.009733991445668432,physical units
9.0,0.0034621089758253556,physical units
10.0,-0.017760188845364948,physical units
11.0,0.0006311404237672035,physical units
12.0,-0.005581226416068383,physical units
13.0,-0.00902969421160929,physical units
14.0,-0.008809913847309787,physical units
15.0,-0.006711533472739113,physical units
0.0,0.07481027883454527,trace centered
1.0,0.044240594066455474,trace centered
2.0,0.00517747864083336,trace centered
3.0,0.006636365563806744,trace centered
4.0,-0.0050539801532200335,trace centered
5.0,-0.028085595368778974,trace centered
6.0,-0.04540954960464109,trace centered
7.0,-0.03804846238473444,trace centered
8.0,-0.03682197638948765,trace centered
9.0,-0.015371058481146282,trace centered
10.0,-0.0387430999770419,trace centered
11.0,-0.01922983351471522,trace centered
12.0,-0.02828396963091062,trace centered
13.0,-0.035984241605398315,trace centered
14.0,-0.036203699620754266,trace centered
15.0,-0.03305804986767706,trace centered
