distance,correlations,dataset
0.0,-0.3252158454332862,physical units
1.0,-0.10704463774884809,physical units
2.0,-0.010341520361376446,physical units
3.0,0.02709377469047519,physical units
4.0,0.026346091039115452,physical units
5.0,0.039026453464417,physical units
6.0,0.03777400416381869,physical units
7.0,0.03168207621516973,physical units
8.0,0.02419915516273785,physical units
9.0,0.046243573747758275,physical units
10.0,0.037028150535540504,physical units
11.0,0.038245583389278165,physical units
12.0,0.04256983477665922,physical units
13.0,0.05851958636739889,physical units
14.0,0.07426100247177302,physical units
15.0,0.06127116248685515,physical units
0.0,-0.4843446408058838,trace centered
1.0,-0.1924799718564087,trace centered
2.0,-0.06608375225641287,trace centered
3.0,-0.010926526445068255,trace centered
4.0,-0.015048482659921704,trace centered
5.0,0.003574353174566303,trace centered
6.0,-0.0010849030382388688,trace centered
7.0,-0.00974390552762484,trace centered
8.0,-0.015183160850170237,trace centered
9.0,0.016042438814397476,trace centered
10.0,-0.0028084666353247064,trace centered
11.0,-0.005777150231425173,trace centered
12.0,0.0001648825457717936,trace centered
13.0,0.02286119986721869,trace centered
14.0,0.041098669588469416,trace centered
15.0,0.024267594207681997,trace centered
