distance,correlations,dataset
0.0,0.3790082483164773,physical units
1.0,-0.26319008526802706,physical units
2.0,-0.07301889951885338,physical units
3.0,0.025152241126886046,physical units
4.0,0.0603324530449717,physical units
5.0,0.059202975490697515,physical units
6.0,0.06981968071307806,physical units
7.0,0.0685198765445308,physical units
8.0,0.06270850655903311,physical units
9.0,0.07134307273920983,physical units
10.0,0.07290204456019347,physical units
11.0,0.0783389417393407,physical units
12.0,0.06930971584670297,physical units
13.0,0.06773318021357735,physical units
14.0,0.08849792452499701,physical units
15.0,0.10164614479679263,physical units
0.0,0.4151730997249788,trace centered
1.0,-0.45767964333408273,trace centered
2.0,-0.2007168036293789,trace centered
3.0,-0.06239275223281018,trace centered
4.0,-0.017740974378243877,trace centered
5.0,-0.015131852719067498,trace centered
6.0,-0.004264022194269475,trace centered
7.0,-0.00829757772020685,trace centered
8.0,-0.013583057812541216,trace centered
9.0,0.0013110120419355957,trace centered
10.0,-0.0004006301426991397,trace centered
11.0,0.003017248657174176,trace centered
12.0,-0.007689558042411205,trace centered
13.0,-0.007362232771163869,trace centered
14.0,0.020170603308328816,trace centered
15.0,0.037386312862370326,trace centered
