distance,correlations,dataset
0.0,-0.055235630799354285,physical units
1.0,-0.06676841048790426,physical units
2.0,-0.14379159126651653,physical units
3.0,-0.16519735349220338,physical units
4.0,-0.15080981958981088,physical units
5.0,-0.13101970256649015,physical units
6.0,-0.11992130842676428,physical units
7.0,-0.11393412850823988,physical units
8.0,-0.10688624563616697,physical units
9.0,-0.1057201589289959,physical units
10.0,-0.10712166271143979,physical units
11.0,-0.11305808672779401,physical units
12.0,-0.10716153710509388,physical units
13.0,-0.12276873360421636,physical units
14.0,-0.12883999585088868,physical units
15.0,-0.12559204926033365,physical units
0.0,0.07576211790827905,trace centered
1.0,0.06395791695748176,trace centered
2.0,-0.05361815217669369,trace centered
3.0,-0.08391507047342645,trace centered
4.0,-0.06026911271349304,trace centered
5.0,-0.02998235032222799,trace centered
6.0,-0.013117075072793034,trace centered
7.0,0.0013836960961776874,trace centered
8.0,0.010856805410174319,trace centered
9.0,0.011461212987219404,trace centered
10.0,0.009324400241494068,trace centered
11.0,0.004044839933194896,trace centered
12.0,0.010969193113334252,trace centered
13.0,-0.01601169649583343,trace centered
14.0,-0.025621650676988697,trace centered
15.0,-0.012186932562029011,trace centered
