dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,0.0,[ 5  7  9 11 13 15 17],"[0.10060435867971802, 0.10308066887885596, 0.11457981016776501, 0.118106894897756, 0.12243054734346091, 0.12697991337401354, 0.13316636986418875]","[0.09852697 0.10661687 0.11308973 0.11853924 0.12327561 0.12748306
 0.13128066]",$\phi$,dfa (short)
Trace,0.0,[ 5  7  9 11 13 15 17],"[0.12801156089688426, 0.14213054483644302, 0.159096034397916, 0.1683937575213148, 0.17949691003469015, 0.1868393145660254, 0.1925095209483191]","[0.12821901 0.14387803 0.15680914 0.16796401 0.17785311 0.18678596
 0.19496614]",$\phi$,mean (short)
Artificial,0.0,[ 5  7  9 11 13 15 17],"[0.06391324458255584, 0.08362229784460436, 0.08987775869440094, 0.10561287319498897, 0.11252338212120215, 0.12122567362809483, 0.12753357654157285]","[0.06619714 0.0797509  0.09165537 0.10242458 0.11234874 0.1216111
 0.13033636]",$\phi$,dfa (short)
Artificial,0.0,[ 5  7  9 11 13 15 17],"[0.09828047649924963, 0.11707850875957615, 0.13435316527973692, 0.14405506213976613, 0.1517418923054921, 0.15882516852954828, 0.1593045628002703]","[0.10183714 0.11668351 0.12916782 0.14008876 0.14988126 0.15881218
 0.16705884]",$\phi$,mean (short)
White Noise,0.0,[ 5  7  9 11 13 15 17],"[0.5426598544750287, 0.7473321349634965, 0.8711026459163768, 0.9420854708555485, 0.9685322046758208, 1.0098835552980943, 1.036463624034803]","[0.59851297 0.70871198 0.80406308 0.88933079 0.96717172 1.0392471
 1.10667786]",$\phi$,dfa (short)
White Noise,0.0,[ 5  7  9 11 13 15 17],"[1.0389395345840404, 1.3269118698664621, 1.5096167335128403, 1.6328347815583626, 1.7633256318107369, 1.8488090026681967, 1.9295048017635654]","[1.08970242 1.28636592 1.45607692 1.60752817 1.74555589 1.87317893
 1.99243129]",$\phi$,mean (short)
Trace,1.0,[ 5  7  9 11 13 15],"[0.10207744700421088, 0.10615160164366162, 0.11902739564630056, 0.12650499394581968, 0.1279556165480446, 0.1358234330801409]",[0.1004317  0.10997667 0.11769312 0.12424154 0.12997002 0.1350867 ],$\phi$,dfa (short)
Trace,1.0,[ 5  7  9 11 13 15],"[0.12948225593000792, 0.14068681841183353, 0.14866513678875426, 0.1558716554615847, 0.16560243210273137, 0.17140800799630027]",[0.12891851 0.14045335 0.14973721 0.15758893 0.16443845 0.1705421 ],$\phi$,mean (short)
Artificial,1.0,[ 5  7  9 11 13 15],"[0.11412758107536147, 0.12230045046060582, 0.1182670589899528, 0.13049002039803798, 0.14018753164521516, 0.14731971559757184]",[0.11138759 0.12012619 0.1270975  0.13295336 0.13803351 0.14253932],$\phi$,dfa (short)
Artificial,1.0,[ 5  7  9 11 13 15],"[0.143983863838832, 0.152334386936455, 0.1667623929044747, 0.18762850787592736, 0.19489032599816886, 0.20563712827378394]",[0.1400105  0.15718104 0.17136597 0.18360617 0.19446013 0.20426659],$\phi$,mean (short)
White Noise,1.0,[ 5  7  9 11 13 15],"[0.49490474710789434, 0.6610977932405347, 0.708238644632606, 0.7810453465044848, 0.8179789916510438, 0.8638105169280756]",[0.52493652 0.61706463 0.6962762  0.76676588 0.83086031 0.89000829],$\phi$,dfa (short)
White Noise,1.0,[ 5  7  9 11 13 15],"[0.7612016213675599, 0.8609169459273435, 0.930579011637664, 0.9918996818412411, 1.0863878975227264, 1.1321642974631274]",[0.75859134 0.85673419 0.93823468 1.00884392 1.0716611  1.12857242],$\phi$,mean (short)
Trace,2.0,[ 5  7  9 11 13 15 17 19 21],"[0.07323203997978171, 0.0834736960997903, 0.09156708712318512, 0.09660338393514607, 0.10036637184050361, 0.10479340294927424, 0.10745429761638367, 0.11014042390669035, 0.11456004387214039]","[0.07511367 0.08304611 0.08951274 0.09503594 0.09989296 0.10425046
 0.10821731 0.11186892 0.11525992]",$\phi$,dfa (short)
Trace,2.0,[ 5  7  9 11 13 15 17 19 21],"[0.0951045737368153, 0.10003414772215566, 0.11090328889911813, 0.117677120370932, 0.11944162378613044, 0.12671586743310173, 0.13160621646716986, 0.13360359734485425, 0.1380616773469913]","[0.09390148 0.10278113 0.10995698 0.11604487 0.12136922 0.12612397
 0.13043518 0.13438983 0.13805069]",$\phi$,mean (short)
Artificial,2.0,[ 5  7  9 11 13 15 17 19 21],"[0.09306103677731326, 0.1245854522038828, 0.1419830353595248, 0.14556460362832657, 0.15882171806661974, 0.1664153765306058, 0.1698116995605902, 0.17762230137927648, 0.18420271290718665]","[0.10230756 0.11832784 0.1319095  0.14386525 0.15464061 0.16451046
 0.17365822 0.18221332 0.19027106]",$\phi$,dfa (short)
Artificial,2.0,[ 5  7  9 11 13 15 17 19 21],"[0.15789755960193788, 0.19407167361177347, 0.21517739355510163, 0.23704305930448702, 0.25941754668074546, 0.2785913627059626, 0.29215316891642085, 0.30931595101475406, 0.3272773397203913]","[0.16073892 0.18987684 0.21503623 0.23749881 0.25797804 0.27691943
 0.29462325 0.31130323 0.32711795]",$\phi$,mean (short)
White Noise,2.0,[ 5  7  9 11 13 15 17 19 21],"[0.5834404258391169, 0.6489120989946875, 0.7729330749088231, 0.9214660355019275, 0.9708080060734302, 1.0622929210088905, 1.121535754970314, 1.1489548540708143, 1.1846796101118966]","[0.57426932 0.68703151 0.78547404 0.87411354 0.95548713 1.03119063
 1.10230611 1.16960786 1.23367282]",$\phi$,dfa (short)
White Noise,2.0,[ 5  7  9 11 13 15 17 19 21],"[0.8840707215163994, 1.0115781868673497, 1.1589628226922695, 1.2692686318119373, 1.328016280774218, 1.3936810630751681, 1.449373900100697, 1.4894199084432966, 1.5195348351792803]","[0.90476221 1.02948151 1.13372654 1.22449395 1.30557452 1.37928527
 1.44716026 1.51027494 1.56941643]",$\phi$,mean (short)
Trace,3.0,[ 5  7  9 11 13 15 17 19],"[0.09606089159521436, 0.12924251313073434, 0.1612501610717012, 0.19989018510651319, 0.2147206344490947, 0.23546959720611108, 0.2656680620460935, 0.27607761582674145]","[0.09927279 0.12992162 0.15883958 0.18648689 0.21313923 0.2389791
 0.26413563 0.28870466]",$\phi$,dfa (short)
Trace,3.0,[ 5  7  9 11 13 15 17 19],"[0.1834582901593245, 0.21630610785040275, 0.26403607392305484, 0.32306716459827717, 0.3432077804631986, 0.379889893569888, 0.4207576838694906, 0.4351924939458956]","[0.17969725 0.22598111 0.26817149 0.30744846 0.34449904 0.37976785
 0.41356357 0.44611164]",$\phi$,mean (short)
Artificial,3.0,[ 5  7  9 11 13 15 17 19],"[0.1110443690143237, 0.1512555994610016, 0.1764521588211512, 0.20459404050240515, 0.23185417563024435, 0.25110475116304576, 0.26272432708239063, 0.2750312491540219]","[0.11688873 0.14687541 0.17419069 0.1996059  0.22356983 0.24637277
 0.2682162  0.28924721]",$\phi$,dfa (short)
