variable_a,variable_b,AB_parameter_pair,covariance,correlation,kind,cov difference between data and modeldataset,generation,corr difference between data and model,cov difference between data and model,dataset
fold_growth,fold_growth,$\phi$,0.011036924107169822,0.5385306276698856,physical_units,,0,0.0,0.0,SP
fold_growth,fold_growth,$\delta \phi$,0.010756150556391245,0.5248306914317027,trace_centered,,0,0.0,0.0,SP
fold_growth,fold_growth,$\overline{\phi}$,0.000280773550778577,0.013699936238182832,time_averages,,0,0.0,0.0,SP
fold_growth,fold_growth,$\phi$,0.011036924107169822,0.5385306276698856,model,,0,0.0,0.0,SP
fold_growth,fold_growth,$\phi$,0.004150653596416494,0.202525093478388,physical_units,,1,0.0,0.0,SP
fold_growth,fold_growth,$\delta \phi$,0.003869880045637917,0.18882515724020518,trace_centered,,1,0.0,0.0,SP
fold_growth,fold_growth,$\overline{\phi}$,0.000280773550778577,0.013699936238182832,time_averages,,1,0.0,0.0,SP
fold_growth,fold_growth,$\phi$,0.004150653596416494,0.202525093478388,model,,1,0.0,0.0,SP
fold_growth,fold_growth,$\phi$,0.002220250866626372,0.10833390545941804,physical_units,,2,0.0,0.0,SP
fold_growth,fold_growth,$\delta \phi$,0.0019394773158477947,0.09463396922123521,trace_centered,,2,0.0,0.0,SP
fold_growth,fold_growth,$\overline{\phi}$,0.000280773550778577,0.013699936238182832,time_averages,,2,0.0,0.0,SP
fold_growth,fold_growth,$\phi$,0.002220250866626372,0.10833390545941804,model,,2,0.0,0.0,SP
fold_growth,fold_growth,$\phi$,0.0023026253624287623,0.11235324893751931,physical_units,,3,0.0,0.0,SP
fold_growth,fold_growth,$\delta \phi$,0.0020218518116501853,0.09865331269933648,trace_centered,,3,0.0,0.0,SP
fold_growth,fold_growth,$\overline{\phi}$,0.000280773550778577,0.013699936238182832,time_averages,,3,0.0,0.0,SP
fold_growth,fold_growth,$\phi$,0.0023026253624287623,0.11235324893751931,model,,3,0.0,0.0,SP
fold_growth,fold_growth,$\phi$,0.001832477490020848,0.08941306865114601,physical_units,,4,0.0,0.0,SP
fold_growth,fold_growth,$\delta \phi$,0.001551703939242271,0.07571313241296318,trace_centered,,4,0.0,0.0,SP
fold_growth,fold_growth,$\overline{\phi}$,0.000280773550778577,0.013699936238182832,time_averages,,4,0.0,0.0,SP
fold_growth,fold_growth,$\phi$,0.001832477490020848,0.08941306865114601,model,,4,0.0,0.0,SP
fold_growth,fold_growth,$\phi$,0.0008110146626306514,0.03957227856919293,physical_units,,5,0.0,0.0,SP
fold_growth,fold_growth,$\delta \phi$,0.0005302411118520743,0.025872342331010097,trace_centered,,5,0.0,0.0,SP
fold_growth,fold_growth,$\overline{\phi}$,0.000280773550778577,0.013699936238182832,time_averages,,5,0.0,0.0,SP
fold_growth,fold_growth,$\phi$,0.0008110146626306514,0.03957227856919293,model,,5,0.0,0.0,SP
fold_growth,division_ratio,"$\phi$, $f$",0.00011134186444219632,0.021036001646176382,physical_units,,0,0.0,0.0,SP
fold_growth,division_ratio,"$\delta \phi$, $\delta f$",0.00021800084531499328,0.04118725839457105,trace_centered,,0,0.0,0.0,SP
fold_growth,division_ratio,"$\overline{\phi}$, $\overline{f}$",-0.00010665898087279696,-0.02015125674839466,time_averages,,0,0.0,0.0,SP
fold_growth,division_ratio,"$\phi$, $f$",0.00011134186444219632,0.021036001646176382,model,,0,0.0,0.0,SP
fold_growth,division_ratio,"$\phi$, $f$",0.00032992578369385564,0.06233342115896651,physical_units,,1,0.0,0.0,SP
fold_growth,division_ratio,"$\delta \phi$, $\delta f$",0.0004365847645666526,0.08248467790736116,trace_centered,,1,0.0,0.0,SP
fold_growth,division_ratio,"$\overline{\phi}$, $\overline{f}$",-0.00010665898087279696,-0.02015125674839466,time_averages,,1,0.0,0.0,SP
fold_growth,division_ratio,"$\phi$, $f$",0.00032992578369385564,0.06233342115896651,model,,1,0.0,0.0,SP
fold_growth,division_ratio,"$\phi$, $f$",8.308780992217521e-05,0.015697916637703382,physical_units,,2,0.0,0.0,SP
fold_growth,division_ratio,"$\delta \phi$, $\delta f$",0.00018974679079497217,0.03584917338609804,trace_centered,,2,0.0,0.0,SP
fold_growth,division_ratio,"$\overline{\phi}$, $\overline{f}$",-0.00010665898087279696,-0.02015125674839466,time_averages,,2,0.0,0.0,SP
fold_growth,division_ratio,"$\phi$, $f$",8.308780992217521e-05,0.015697916637703382,model,,2,0.0,0.0,SP
fold_growth,division_ratio,"$\phi$, $f$",0.00041685688122701715,0.07875745644859357,physical_units,,3,-1.3877787807814457e-17,-5.421010862427522e-20,SP
fold_growth,division_ratio,"$\delta \phi$, $\delta f$",0.0005235158620998141,0.09890871319698823,trace_centered,,3,-1.3877787807814457e-17,-5.421010862427522e-20,SP
fold_growth,division_ratio,"$\overline{\phi}$, $\overline{f}$",-0.00010665898087279696,-0.02015125674839466,time_averages,,3,-1.3877787807814457e-17,-5.421010862427522e-20,SP
fold_growth,division_ratio,"$\phi$, $f$",0.0004168568812270171,0.07875745644859355,model,,3,-1.3877787807814457e-17,-5.421010862427522e-20,SP
fold_growth,division_ratio,"$\phi$, $f$",-1.0824229958787064e-06,-0.00020450395758358006,physical_units,,4,-3.7947076036992655e-19,-1.9058241313221758e-21,SP
