distance,correlations,dataset,old_var,young_var
1.0,-0.13327775893476135,physical units,fold_growth,fold_growth
1.0,-0.06647727900965576,physical units,fold_growth,division_ratio
1.0,0.004036132622904772,physical units,fold_growth,added_length
1.0,-0.17350354567445814,physical units,fold_growth,generationtime
1.0,0.29361853867364873,physical units,fold_growth,length_birth
1.0,0.15983918372869782,physical units,fold_growth,length_final
1.0,0.11596178451286984,physical units,fold_growth,growth_rate
1.0,-0.29502986881570903,physical units,division_ratio,fold_growth
1.0,0.19175911298047965,physical units,division_ratio,division_ratio
1.0,-0.13951241263183806,physical units,division_ratio,added_length
1.0,-0.16186888267299399,physical units,division_ratio,generationtime
1.0,0.35959351505075376,physical units,division_ratio,length_birth
1.0,0.07736885371144081,physical units,division_ratio,length_final
1.0,-0.152002396288205,physical units,division_ratio,growth_rate
1.0,-0.29604840573278346,physical units,added_length,fold_growth
1.0,-0.028082517707940742,physical units,added_length,division_ratio
1.0,0.06659922144373358,physical units,added_length,added_length
1.0,-0.25267457036757845,physical units,added_length,generationtime
1.0,0.7105001639768695,physical units,added_length,length_birth
1.0,0.43335595300983054,physical units,added_length,length_final
1.0,0.024959806122299043,physical units,added_length,growth_rate
1.0,-0.10460689705637057,physical units,generationtime,fold_growth
1.0,-0.0790862462581981,physical units,generationtime,division_ratio
1.0,0.037384481687898756,physical units,generationtime,added_length
1.0,0.10641305172804799,physical units,generationtime,generationtime
1.0,0.2871844629319721,physical units,generationtime,length_birth
1.0,0.1837390796054355,physical units,generationtime,length_final
1.0,-0.2814334911842534,physical units,generationtime,growth_rate
1.0,-0.23245886606761382,physical units,length_birth,fold_growth
1.0,0.06437063536999682,physical units,length_birth,division_ratio
1.0,0.10197862960710485,physical units,length_birth,added_length
1.0,-0.10761669530076079,physical units,length_birth,generationtime
1.0,0.5810373669024983,physical units,length_birth,length_birth
1.0,0.39333232343738234,physical units,length_birth,length_final
1.0,-0.14141584817360328,physical units,length_birth,growth_rate
1.0,-0.36668996934334325,physical units,length_final,fold_growth
1.0,0.011857872246517296,physical units,length_final,division_ratio
1.0,0.10930541475549403,physical units,length_final,added_length
1.0,-0.26397016512202154,physical units,length_final,generationtime
1.0,0.8925293699208555,physical units,length_final,length_birth
1.0,0.5653968473386869,physical units,length_final,length_final
1.0,-0.05598349535159193,physical units,length_final,growth_rate
1.0,-0.022472140093618424,physical units,growth_rate,fold_growth
1.0,0.03273753567008239,physical units,growth_rate,division_ratio
1.0,-0.057940142641855694,physical units,growth_rate,added_length
1.0,-0.3901721317963915,physical units,growth_rate,generationtime
1.0,-0.05126392969231839,physical units,growth_rate,length_birth
1.0,-0.07481308779159052,physical units,growth_rate,length_final
1.0,0.5814549627897461,physical units,growth_rate,growth_rate
2.0,-0.04540420299224458,physical units,fold_growth,fold_growth
2.0,-0.028137010449307484,physical units,fold_growth,division_ratio
2.0,0.017689731684638638,physical units,fold_growth,added_length
2.0,-0.058248118006500135,physical units,fold_growth,generationtime
2.0,0.12371740833204745,physical units,fold_growth,length_birth
2.0,0.08002369886382903,physical units,fold_growth,length_final
2.0,0.034617546369583536,physical units,fold_growth,growth_rate
2.0,-0.1276267647808857,physical units,division_ratio,fold_growth
2.0,0.14159793002179616,physical units,division_ratio,division_ratio
2.0,-0.032277349025462046,physical units,division_ratio,added_length
2.0,-0.07620037473228253,physical units,division_ratio,generationtime
2.0,0.1449057293264958,physical units,division_ratio,length_birth
2.0,0.050163297178060666,physical units,division_ratio,length_final
2.0,-0.050748747368859565,physical units,division_ratio,growth_rate
2.0,-0.14285912040223345,physical units,added_length,fold_growth
2.0,-0.006181796480811557,physical units,added_length,division_ratio
2.0,0.07621916310361054,physical units,added_length,added_length
2.0,-0.08129676166414616,physical units,added_length,generationtime
2.0,0.39680197664039607,physical units,added_length,length_birth
2.0,0.2726774415753861,physical units,added_length,length_final
2.0,-0.061993974197401366,physical units,added_length,growth_rate
2.0,-0.012777908585134373,physical units,generationtime,fold_growth
2.0,-0.05869840649963861,physical units,generationtime,division_ratio
2.0,0.06442809279058759,physical units,generationtime,added_length
2.0,0.17993281741320888,physical units,generationtime,generationtime
2.0,0.13953191701347573,physical units,generationtime,length_birth
2.0,0.1268150583143885,physical units,generationtime,length_final
