value,type,lineage_ID
0,outsider,1
18,end,1
28,end,1
37,end,1
50,end,1
63,end,1
74,end,1
85,end,1
97,end,1
9,end,1
119,end,1
140,end,1
151,end,1
164,end,1
175,end,1
187,end,1
196,end,1
205,end,1
217,end,1
133,end,1
206,start,1
107,end,1
188,start,1
197,start,1
9,outsider,1
0,start,1
10,start,1
19,start,1
29,start,1
51,start,1
64,start,1
75,start,1
38,start,1
165,start,1
98,start,1
108,start,1
120,start,1
134,start,1
141,start,1
152,start,1
86,start,1
176,start,1
85,end,2
73,end,2
63,end,2
18,end,2
39,end,2
29,end,2
96,end,2
50,end,2
106,end,2
217,end,2
127,end,2
140,end,2
152,end,2
163,end,2
175,end,2
185,end,2
195,end,2
206,end,2
9,end,2
116,end,2
207,start,2
74,start,2
186,start,2
196,start,2
9,outsider,2
0,start,2
10,start,2
19,start,2
30,start,2
40,start,2
51,start,2
64,start,2
0,outsider,2
86,start,2
164,start,2
153,start,2
141,start,2
176,start,2
117,start,2
107,start,2
97,start,2
128,start,2
97,end,3
20,end,3
30,end,3
42,end,3
53,end,3
65,end,3
74,end,3
87,end,3
110,end,3
161,end,3
135,end,3
148,end,3
8,end,3
174,end,3
186,end,3
196,end,3
206,end,3
217,end,3
123,end,3
207,start,3
136,start,3
187,start,3
197,start,3
0,outsider,3
8,outsider,3
0,start,3
9,start,3
21,start,3
43,start,3
54,start,3
66,start,3
31,start,3
88,start,3
98,start,3
111,start,3
124,start,3
149,start,3
162,start,3
75,start,3
175,start,3
84,end,4
74,end,4
65,end,4
19,end,4
41,end,4
8,end,4
97,end,4
51,end,4
109,end,4
210,end,4
134,end,4
148,end,4
156,end,4
167,end,4
174,end,4
187,end,4
197,end,4
211,start,4
218,end,4
122,end,4
198,start,4
30,end,4
175,start,4
188,start,4
0,outsider,4
149,outsider,4
8,outsider,4
0,start,4
9,start,4
20,start,4
31,start,4
42,start,4
52,start,4
156,outsider,4
75,start,4
85,start,4
98,start,4
110,start,4
123,start,4
135,start,4
149,start,4
157,start,4
66,start,4
168,start,4
139,end,5
125,end,5
104,end,5
91,end,5
83,end,5
39,end,5
61,end,5
49,end,5
29,end,5
19,end,5
151,end,5
70,end,5
163,end,5
278,end,5
188,end,5
201,end,5
210,end,5
218,end,5
225,end,5
238,end,5
249,end,5
258,end,5
266,end,5
289,end,5
297,end,5
306,end,5
9,end,5
175,end,5
298,start,5
114,end,5
279,start,5
9,outsider,5
0,start,5
10,start,5
20,start,5
30,start,5
40,start,5
50,start,5
62,start,5
71,start,5
84,start,5
92,start,5
105,start,5
115,start,5
126,start,5
0,outsider,5
152,start,5
140,start,5
267,start,5
259,start,5
250,start,5
226,start,5
219,start,5
239,start,5
202,start,5
189,start,5
176,start,5
290,start,5
164,start,5
211,start,5
106,end,6
139,end,6
131,end,6
116,end,6
94,end,6
20,end,6
72,end,6
51,end,6
44,end,6
32,end,6
150,end,6
83,end,6
161,end,6
238,end,6
188,end,6
199,end,6
208,end,6
217,end,6
229,end,6
246,end,6
256,end,6
265,end,6
276,end,6
286,end,6
297,end,6
305,end,6
9,end,6
173,end,6
298,start,6
61,end,6
277,start,6
287,start,6
0,outsider,6
9,outsider,6
0,start,6
10,start,6
21,start,6
45,start,6
52,start,6
62,start,6
73,start,6
84,start,6
95,start,6
107,start,6
117,start,6
33,start,6
140,start,6
266,start,6
132,start,6
257,start,6
247,start,6
230,start,6
218,start,6
239,start,6
200,start,6
189,start,6
174,start,6
162,start,6
151,start,6
209,start,6
189,end,7
171,end,7
99,end,7
159,end,7
146,end,7
