value,type,lineage_ID
0,outsider,1
9,end,1
21,end,1
32,end,1
46,end,1
56,end,1
68,end,1
95,end,1
198,start,1
106,end,1
131,end,1
152,end,1
162,end,1
173,end,1
187,end,1
197,end,1
212,end,1
119,end,1
188,start,1
81,end,1
163,start,1
174,start,1
9,outsider,1
152,outsider,1
0,start,1
10,start,1
22,start,1
33,start,1
47,start,1
132,outsider,1
69,start,1
82,start,1
96,start,1
107,start,1
120,start,1
132,start,1
153,start,1
57,start,1
18,end,2
30,end,2
40,end,2
51,end,2
66,end,2
84,end,2
102,end,2
156,end,2
127,end,2
140,end,2
171,end,2
184,end,2
195,end,2
209,end,2
7,end,2
114,end,2
196,start,2
8,start,2
172,start,2
0,outsider,2
7,outsider,2
185,start,2
19,start,2
31,start,2
41,start,2
52,start,2
0,start,2
85,start,2
103,start,2
115,start,2
128,start,2
141,start,2
157,start,2
67,start,2
25,end,3
37,end,3
49,end,3
64,end,3
76,end,3
112,end,3
99,end,3
128,end,3
139,end,3
14,end,3
86,end,3
129,start,3
50,start,3
100,start,3
14,outsider,3
0,start,3
15,start,3
26,start,3
0,outsider,3
113,start,3
65,start,3
77,start,3
87,start,3
38,start,3
14,end,4
140,end,4
128,end,4
115,end,4
102,end,4
95,end,4
76,end,4
61,end,4
48,end,4
37,end,4
129,start,4
25,end,4
103,start,4
116,start,4
0,outsider,4
14,outsider,4
15,start,4
26,start,4
0,start,4
49,start,4
62,start,4
77,start,4
96,start,4
38,start,4
115,end,5
174,end,5
164,end,5
155,end,5
137,end,5
124,end,5
103,end,5
30,end,5
78,end,5
66,end,5
53,end,5
43,end,5
20,end,5
9,end,5
186,end,5
89,end,5
195,end,5
408,end,5
219,end,5
398,start,5
397,end,5
382,end,5
370,end,5
360,end,5
344,end,5
334,end,5
207,end,5
324,end,5
300,end,5
287,end,5
275,end,5
264,end,5
256,end,5
244,end,5
232,end,5
310,end,5
383,start,5
265,start,5
361,start,5
125,start,5
116,start,5
104,start,5
90,start,5
79,start,5
67,start,5
54,start,5
44,start,5
31,start,5
21,start,5
10,start,5
0,start,5
155,outsider,5
9,outsider,5
0,outsider,5
138,start,5
156,start,5
138,outsider,5
175,start,5
165,start,5
345,start,5
335,start,5
325,start,5
311,start,5
301,start,5
288,start,5
276,start,5
371,start,5
257,start,5
245,start,5
233,start,5
220,start,5
208,start,5
196,start,5
187,start,5
129,end,6
116,end,6
103,end,6
91,end,6
77,end,6
69,end,6
30,end,6
44,end,6
143,end,6
20,end,6
9,end,6
361,start,6
347,start,6
58,end,6
158,end,6
204,end,6
181,end,6
334,start,6
360,end,6
346,end,6
333,end,6
321,end,6
307,end,6
173,end,6
295,end,6
256,end,6
242,end,6
229,end,6
216,end,6
401,end,6
190,end,6
281,end,6
269,end,6
322,start,6
296,start,6
308,start,6
0,outsider,6
174,outsider,6
361,outsider,6
9,outsider,6
181,outsider,6
401,outsider,6
0,start,6
10,start,6
21,start,6
45,start,6
59,start,6
70,start,6
78,start,6
92,start,6
31,start,6
117,start,6
282,start,6
104,start,6
257,start,6
243,start,6
230,start,6
217,start,6
205,start,6
270,start,6
182,start,6
174,start,6
159,start,6
144,start,6
130,start,6
191,start,6
23,end,7
38,end,7
49,end,7
57,end,7
69,end,7
107,end,7
94,end,7
121,end,7
135,end,7
9,end,7
83,end,7
122,start,7
9,outsider,7
95,start,7
84,start,7
70,start,7
58,start,7
50,start,7
39,start,7
24,start,7
10,start,7
0,start,7
0,outsider,7
108,start,7
18,end,8
30,end,8
41,end,8
52,end,8
62,end,8
126,end,8
85,end,8
98,end,8
113,end,8
9,end,8
73,end,8
114,start,8
0,outsider,8
86,start,8
9,outsider,8
0,start,8
10,start,8
19,start,8
99,start,8
42,start,8
53,start,8
63,start,8
74,start,8
31,start,8
130,end,9
10,end,9
21,end,9
34,end,9
45,end,9
65,end,9
89,end,9
97,end,9
107,end,9
118,end,9
144,end,9
216,end,9
169,end,9
179,end,9
194,end,9
204,end,9
273,start,9
228,end,9
241,end,9
250,end,9
262,end,9
272,end,9
285,end,9
157,end,9
263,start,9
73,end,9
242,start,9
251,start,9
46,outsider,9
10,outsider,9
65,outsider,9
0,start,9
11,start,9
22,start,9
35,start,9
46,start,9
66,start,9
74,start,9
90,start,9
0,outsider,9
108,start,9
