index division length width area intensity CMx CMy
0 0 53.0934 13.9189 739 173.811 637.183 493.081
1 0 55.129 14.1305 779 172.607 638.887 492.155
2 0 57.0437 13.9016 793 162.711 640.122 491.866
3 0 59.1541 13.9297 824 172.666 640.51 491.146
4 0 58.168 14.5441 846 169.798 643.949 491.454
5 0 62.0958 14.1878 881 170.089 642.995 490.858
6 0 64.0753 14.0928 903 168.044 643.913 490.598
7 0 66.1607 14.7973 979 166.135 640.449 491.358
8 0 67.2112 14.4321 970 174.51 640.395 491.378
9 0 70.1284 14.3879 1009 170.406 641.09 491.698
10 0 72.117 14.4487 1042 169.833 640.209 490.949
11 0 74.2355 14.2519 1058 174.862 640.017 491.333
12 0 75.1466 14.5449 1093 167.859 638.603 491.072
13 0 79.1171 14.6492 1159 166.737 637.458 489.817
14 0 81.1493 14.6027 1185 165.641 638.352 489.375
15 0 85.1015 14.3476 1221 169.913 639.203 488.382
16 0 88.1117 14.5951 1286 170.587 637.455 488.209
17 0 91.0376 14.2469 1297 161.11 637.14 486.563
18 1 46.0537 13.2888 612 173.626 635.969 508.126
19 0 46.0349 13.8156 636 164.371 637.022 507.028
20 0 48.041 13.5925 653 170.556 635.844 507.553
21 0 50.0419 13.8684 694 165.416 636.385 506.135
22 0 52.0915 14.1098 735 172.785 635.822 505.497
23 0 54.0786 14.0536 760 166.295 635.814 504.043
24 0 54.077 14.2575 771 173.38 634.171 503.209
25 0 55.0805 14.1611 780 170.042 634.136 502.785
26 0 59.1241 14.0044 828 173.115 633.983 501.737
27 0 59.0602 14.3752 849 175.081 633.367 500.594
28 0 62.046 14.2797 886 171.837 634.519 498.712
29 0 65.1243 13.9886 911 171.562 636.071 496.392
30 0 67.0523 14.4663 970 170.164 635.697 493.799
31 0 69.1123 14.1364 977 173.343 636.087 491.668
32 0 71.155 14.1382 1006 169.335 635.686 489.345
33 0 73.1164 14.3196 1047 164.755 637.2 487.312
34 0 77.0383 14.5123 1118 166.807 638.007 484.45
