time division length width area intensity CMx CMy
0 0 43.0593 10.2417 441 69.2018 681.227 471.517
1 0 43.0358 10.317 444 69.5586 681.518 471.968
2 0 47.1202 10.123 477 68.5514 681.319 471.604
3 0 48.1003 10.4989 505 67.7584 681.002 468.596
4 0 48.1403 10.3863 500 68.216 682.004 467.81
5 0 49.0527 10.6212 521 67.1843 682.234 467.484
6 0 50.1035 10.4783 525 67.6838 682.886 467.044
7 0 53.1877 10.5476 561 66.3957 682.693 465.23
8 0 52.0498 10.5476 549 66.9344 682.293 466.439
9 0 54.046 10.7316 580 65.8086 683.017 464.729
10 0 56.1049 10.8725 610 65.1803 683.02 463.762
11 0 59.1449 10.0262 593 65.774 683.12 462.484
12 0 60.1075 10.5311 633 64.9131 683.24 462.174
13 0 60.0679 10.9876 660 64.7258 683.033 462.388
14 0 64.0753 10.7998 692 64.4147 683.786 460.098
15 0 66.1834 10.6522 705 64.9433 683.94 459.702
16 0 64.1777 10.8916 699 65.422 684.213 458.19
17 0 66.1089 10.4071 688 65.875 685.131 456.705
18 0 70.0836 10.8585 761 64.661 684.018 455.794
19 0 72.094 10.8331 781 64.5647 685 455.074
20 0 78.1317 10.5719 826 64.6937 684.237 452.16
21 0 76.2014 10.9972 838 64.7625 684.29 452.842
22 0 78.0555 11.0178 860 64.8186 684.036 449.491
23 0 82.0988 10.8284 889 64.739 684.56 450.358
24 0 81.1567 10.7323 871 65.9127 684.181 447.362
25 0 85.0573 11.2277 955 65.0597 684.769 445.827
26 0 87.1091 10.6992 932 65.2876 684.674 445.821
27 0 93.0834 11.3017 1052 63.7966 684.644 444.662
28 0 92.2015 11.2254 1035 64.7768 684.337 442.867
29 0 94.2425 10.8444 1022 65.2613 685.05 441.273
30 0 102.174 10.6289 1086 64.1961 684.87 439.973
31 0 104.112 10.7097 1115 63.6475 685.317 438.142
32 0 105.23 11.2135 1180 63.0449 684.499 437.313
33 0 110.152 10.9485 1206 63.0489 685.196 436.928
34 1 165.129 11.0399 1823 62.8952 684.974 408.958
35 0 173.241 10.8924 1887 62.8914 684.566 408.684
36 0 172.414 11.049 1905 63.042 684.691 406.385
37 0 180.411 11.3851 2054 61.9455 685.159 403.924
38 0 184.165 11.1259 2049 62.0107 684.421 402.303
39 0 188.481 10.6218 2002 62.4441 684.485 399.658
40 0 196.473 10.7038 2103 61.7499 685.223 394.995
41 1 68.0704 10.0778 686 62.602 685.595 455.758
42 0 71.0684 10.7783 766 61.3394 685.168 455.64
43 0 72.0747 10.8915 785 61.2446 685.233 453.087
44 0 75.1676 11.0819 833 60.8031 685.529 452.986
45 0 78.1149 10.651 832 61.4026 685.617 450.368
46 0 80.0795 10.5645 846 61.7766 686.04 450.118
47 1 44.0411 9.89985 436 60.9335 685.298 468
48 0 44.0326 10.3787 457 60.8534 686.217 469.317
49 0 43.0677 10.3326 445 61.9461 685.544 467.697
50 0 46.0561 10.4004 479 61.7766 685.507 466.39
51 0 48.0517 10.4471 502 61.8068 685.562 465.014
52 0 49.044 10.9494 537 61.5456 685.927 467.395
53 0 52.0346 10.3393 538 62.7472 685.905 463.024
54 0 54.0844 10.7055 579 61.7064 685.998 463.299
55 0 52.0517 11.2196 584 61.8202 686.034 463.404
56 0 57.0314 10.7309 612 61.5703 685.851 461.886
57 0 56.1009 11.2832 633 60.8578 686.362 463.638
58 0 60.1005 11.0482 664 60.1928 685.759 461.301
59 0 61.0411 11.353 693 59.4618 686.417 462.039
60 0 62.1377 10.9917 683 59.716 686.539 458.933
61 0 67.1096 10.8032 725 58.7614 686.855 460.673
