value,type,lineage_ID
0.0,outsider,1
464.0,end,1
491.0,end,1
517.0,end,1
533.0,end,1
544.0,end,1
565.0,end,1
600.0,end,1
442.0,end,1
619.0,end,1
666.0,end,1
681.0,end,1
714.0,end,1
731.0,end,1
757.0,end,1
774.0,end,1
798.0,end,1
645.0,end,1
829.0,end,1
387.0,end,1
343.0,end,1
1620.0,start,1
1623.0,start,1
27.0,end,1
47.0,end,1
70.0,end,1
91.0,end,1
119.0,end,1
364.0,end,1
133.0,end,1
180.0,end,1
204.0,end,1
220.0,end,1
255.0,end,1
277.0,end,1
298.0,end,1
319.0,end,1
169.0,end,1
1614.0,start,1
853.0,end,1
908.0,end,1
1434.0,end,1
1459.0,end,1
1487.0,end,1
1527.0,end,1
1560.0,end,1
1598.0,end,1
1613.0,end,1
1355.0,end,1
1619.0,end,1
1624.0,end,1
1603.0,rises,1
1602.0,rises,1
1601.0,rises,1
1600.0,rises,1
1599.0,rises,1
1613.0,non_positives,1
1622.0,end,1
877.0,end,1
1341.0,end,1
1282.0,end,1
929.0,end,1
942.0,end,1
964.0,end,1
994.0,end,1
1009.0,end,1
1046.0,end,1
1057.0,end,1
1305.0,end,1
1080.0,end,1
1128.0,end,1
1144.0,end,1
1172.0,end,1
1188.0,end,1
1216.0,end,1
1239.0,end,1
1260.0,end,1
1107.0,end,1
1600.0,start,1
1365.0,end,1
1528.0,start,1
170.0,start,1
181.0,start,1
205.0,start,1
221.0,start,1
256.0,start,1
278.0,start,1
299.0,start,1
134.0,start,1
320.0,start,1
365.0,start,1
388.0,start,1
443.0,start,1
465.0,start,1
492.0,start,1
518.0,start,1
534.0,start,1
344.0,start,1
545.0,start,1
120.0,start,1
71.0,start,1
1561.0,start,1
388.0,outsider,1
1342.0,outsider,1
1356.0,outsider,1
1488.0,outsider,1
1620.0,outsider,1
1623.0,outsider,1
92.0,start,1
27.0,outsider,1
1365.0,outsider,1
1527.0,outsider,1
1622.0,outsider,1
1624.0,outsider,1
0.0,start,1
28.0,start,1
48.0,start,1
442.0,outsider,1
566.0,start,1
1355.0,outsider,1
620.0,start,1
1108.0,start,1
1129.0,start,1
1145.0,start,1
1173.0,start,1
1189.0,start,1
1217.0,start,1
1240.0,start,1
1081.0,start,1
1261.0,start,1
1306.0,start,1
1356.0,start,1
1405.0,start,1
1435.0,start,1
1460.0,start,1
601.0,start,1
1488.0,start,1
1283.0,start,1
1058.0,start,1
1342.0,start,1
1010.0,start,1
1047.0,start,1
646.0,start,1
682.0,start,1
715.0,start,1
667.0,start,1
758.0,start,1
775.0,start,1
799.0,start,1
830.0,start,1
732.0,start,1
854.0,start,1
878.0,start,1
909.0,start,1
930.0,start,1
943.0,start,1
965.0,start,1
995.0,start,1
971.0,end,2
947.0,end,2
924.0,end,2
898.0,end,2
876.0,end,2
802.0,end,2
853.0,end,2
823.0,end,2
702.0,end,2
767.0,end,2
728.0,end,2
670.0,end,2
994.0,end,2
1154.0,end,2
1040.0,end,2
1061.0,end,2
1088.0,end,2
1114.0,end,2
1135.0,end,2
1182.0,end,2
1203.0,end,2
1220.0,end,2
1261.0,end,2
1272.0,end,2
640.0,end,2
1307.0,end,2
1321.0,end,2
1017.0,end,2
608.0,end,2
209.0,end,2
559.0,end,2
2422.0,start,2
1352.0,end,2
2441.0,start,2
2464.0,start,2
2495.0,start,2
25.0,end,2
47.0,end,2
73.0,end,2
91.0,end,2
119.0,end,2
161.0,end,2
169.0,end,2
187.0,end,2
580.0,end,2
231.0,end,2
266.0,end,2
292.0,end,2
317.0,end,2
334.0,end,2
360.0,end,2
375.0,end,2
396.0,end,2
424.0,end,2
445.0,end,2
473.0,end,2
492.0,end,2
514.0,end,2
540.0,end,2
248.0,end,2
1363.0,end,2
2264.0,end,2
1429.0,end,2
2160.0,end,2
2180.0,end,2
2204.0,end,2
2241.0,end,2
2295.0,end,2
2314.0,end,2
2335.0,end,2
2357.0,end,2
2376.0,end,2
2390.0,end,2
2421.0,end,2
2440.0,end,2
2463.0,end,2
2132.0,end,2
2494.0,end,2
1549.0,rises,2
1548.0,rises,2
1547.0,rises,2
1546.0,rises,2
1545.0,rises,2
1544.0,rises,2
1543.0,rises,2
1542.0,rises,2
1541.0,rises,2
1540.0,rises,2
1539.0,rises,2
2639.0,non_positives,2
2391.0,start,2
2534.0,end,2
1396.0,end,2
2113.0,end,2
2065.0,end,2
1446.0,end,2
1460.0,end,2
1481.0,end,2
1527.0,end,2
1538.0,end,2
1542.0,end,2
1573.0,end,2
1599.0,end,2
1634.0,end,2
1647.0,end,2
1678.0,end,2
1695.0,end,2
1718.0,end,2
2095.0,end,2
1747.0,end,2
1798.0,end,2
1823.0,end,2
1838.0,end,2
1850.0,end,2
1881.0,end,2
1897.0,end,2
1915.0,end,2
1946.0,end,2
1976.0,end,2
1997.0,end,2
2014.0,end,2
2040.0,end,2
2052.0,end,2
