time division length width area intensity CMx CMy
0 0 42.1181 13.5334 570 92.3895 425.914 488.379
1 0 43.1266 13.4024 578 91.9723 425.497 486.95
2 0 44.0862 13.4963 595 90.837 424.911 488.109
3 0 45.1148 13.3437 602 90.608 425.279 488.605
4 0 44.0371 13.2161 582 91.5945 425.206 487.136
5 0 48.0883 13.1633 633 89.2812 425.344 487.359
6 0 47.0777 13.5521 638 89.4545 425.926 487.071
7 0 52.0322 14.3373 746 84.252 424.925 486.282
8 0 50.0451 13.7276 687 85.2431 424.913 485.207
9 0 53.038 13.7826 731 79.7387 424.995 483.566
10 0 53.0939 14.3142 760 82.8145 425.067 484.884
11 0 55.1206 14.4955 799 81.2441 424.059 485.528
12 0 56.0638 13.4846 756 77.8664 424.143 483.55
13 0 59.0573 15.4088 910 76.5154 423.57 481.348
14 0 59.1165 14.463 855 79.8129 423.509 482.108
15 0 61.1081 14.4334 882 79.4751 423.63 482.324
16 0 61.1264 14.4128 881 79.7196 423.222 481.824
17 0 63.0548 14.5429 917 78.8877 423 480.576
18 0 63.0759 14.4746 913 79.3001 423.042 480.26
19 0 66.0773 14.8311 980 78.2071 422.969 479.394
20 0 67.0748 14.7895 992 78.877 422.763 478.564
21 0 67.0886 14.2498 956 80.9874 423.383 478.734
22 0 71.0791 14.927 1061 77.9736 422.823 476.651
23 0 72.0916 14.7451 1063 78.4553 422.774 475.221
24 0 73.1046 14.3083 1046 79.9694 422.478 475.252
25 0 76.0984 14.7835 1125 78.8169 422.756 473.949
26 0 78.0705 14.8968 1163 78.4101 423.543 473.272
27 0 80.0918 15.3948 1233 77.2141 422.677 471.854
28 0 81.0855 15.3172 1242 77.4034 422.88 471.857
29 0 83.186 14.726 1225 78.5216 422.449 472.857
30 0 86.1126 15.0501 1296 76.5787 422.559 472.076
31 0 85.1953 14.3083 1219 78.7941 422.436 471.03
32 0 90.0828 15.3081 1379 75.3481 422.956 469.728
33 0 91.1625 15.1927 1385 75.8751 421.875 468.907
34 0 95.1526 15.081 1435 74.7394 421.926 468.203
35 0 96.2681 14.9063 1435 75.2544 421.327 467.629
36 0 98.2051 14.2151 1396 77.4821 422.098 464.397
37 0 101.187 14.498 1467 75.696 421.866 463.348
38 0 104.052 14.608 1520 74.5704 421.725 461.924
39 0 107.09 14.6792 1572 74.187 421.985 461.202
40 0 110.087 14.2888 1573 74.5118 421.784 458.301
41 0 113.157 14.9084 1687 72.5406 422.282 458.554
42 0 117.119 14.7456 1727 73.3208 421.203 456.171
43 0 120.103 14.9538 1796 74.4427 421.395 452.275
44 0 123.082 14.2425 1753 78.348 421.082 450.605
45 0 128.108 14.558 1865 76.7212 421.129 447.464
46 0 132.145 15.0138 1984 75.9708 421.393 446.816
47 0 134.147 14.7972 1985 77.1073 421.257 443.832
48 0 140.125 14.8939 2087 76.724 420.839 441.32
49 0 144.234 14.7469 2127 76.26 420.649 439.487
50 0 145.219 14.3989 2091 77.6442 421.354 437.25
51 0 152.141 15.4988 2358 75.4813 422.284 434.463
52 0 157.222 15.2905 2404 75.4493 421.696 432.488
53 0 160.197 15.0752 2415 76.6783 422.039 432.975
54 0 163.171 14.874 2427 78.8315 421.267 431.309
55 0 169.152 14.3835 2433 78.2881 421.269 426.21
56 1 94.1235 13.1954 1242 79.3277 421.94 463.827
57 0 97.0543 13.137 1275 79.1318 421.65 461.716
58 0 101.11 13.8661 1402 81.4529 420.666 461.088
59 0 105.13 13.6783 1438 80.0466 422.159 460.951
60 0 109.109 14.5909 1592 78.272 421.904 457.734
61 0 113.108 14.3137 1619 81.7492 422.38 456.708
62 0 117.182 14.0295 1644 80.6472 422.063 454.629
63 0 120.145 13.4588 1617 79.8695 422.139 452.079
64 0 120.145 13.5004 1622 144.739 423.163 452.06
65 0 129.171 13.4008 1731 81.7244 421.998 448.33
66 1 67.088 11.7458 788 81.8604 421.758 480.39
67 0 68.0508 13.4018 912 81.5811 421.711 480.243
68 0 70.0825 12.8848 903 81.1894 422.223 476.02
69 0 74.1401 14.0545 1042 79.3234 422.198 476.226
70 0 76.0521 13.7011 1042 81.0384 422.208 473.807
71 0 79.0949 14.7291 1165 78.1159 422.069 471.367
72 0 79.0716 13.5194 1069 79.3555 421.974 472.549
73 0 82.1388 13.8059 1134 81.9409 422.676 471.548
74 0 86.1494 14.1382 1218 82.1946 422.632 470.012
75 0 88.19 13.7884 1216 83.1242 422.516 467.958
76 0 92.2396 13.7251 1266 83.0577 422.264 467.532
77 0 93.2328 13.7291 1280 84.7094 422.734 466.665
78 0 96.1541 14.0712 1353 83.2934 421.73 466.069
79 0 97.1452 14.2364 1383 84.4816 421.479 464.725
80 0 102.139 14.3726 1468 84.6322 422.121 463.365
81 0 105.214 14.5608 1532 85.0483 421.514 460.629
82 0 108.213 14.5823 1578 84.4899 422.572 458.426
83 0 111.19 13.8592 1541 86.2044 421.969 458.539
84 0 114.243 14.2503 1628 86.3133 422.639 455.519
85 0 119.221 14.4354 1721 86.1923 422.24 454.546
86 0 119.221 14.4186 1719 160.424 421.24 454.466
87 0 126.18 14.0672 1775 87.6986 421.892 450.369
88 0 128.111 13.8239 1771 89.1254 422.337 447.942
89 0 134.211 14.0749 1889 88.343 422.259 446.078
90 0 140.161 14.4762 2029 87.5185 422.395 442.638
91 0 143.15 14.3835 2059 92.4196 422.321 440.305
92 0 149.189 14.5654 2173 93.6148 421.607 437.976
93 0 154.23 14.7507 2275 94.2664 422.012 434.921
94 0 158.3 15.1548 2399 94.9892 421.566 432.268
95 0 163.259 14.9394 2439 97.0504 421.157 428.258
96 1 92.1072 12.2683 1130 94.1292 422.172 467.128
97 0 94.1051 12.5392 1180 95.5932 421.806 466.809
98 0 98.1081 13.0468 1280 94.925 422.116 464.876
99 0 101.136 13.1901 1334 96.0045 421.971 462.292
100 0 104.127 12.9937 1353 96.5728 421.691 461.456
101 0 108.24 13.2483 1434 96.3647 421.561 459.801
102 0 111.217 13.2893 1478 97.1793 421.936 456.368
103 0 116.334 13.1432 1529 98.5363 421.842 455.831
104 0 117.171 12.4348 1457 101.517 422.563 452.397
105 0 122.383 12.8939 1578 100.729 422.158 449.223
106 0 125.474 13.0226 1634 102.069 422.912 443.799
107 0 128.503 12.8713 1654 103.184 422.377 440.533
108 0 132.587 12.9349 1715 103.636 422.423 440.459
109 0 136.242 13.021 1774 103.307 422.019 441.829
110 0 140.409 12.9265 1815 104.777 422.756 437.252
111 0 145.41 12.9083 1877 104.535 422.023 433.828
112 0 148.452 12.5765 1867 107.12 422.445 431.017
113 0 152.392 12.645 1927 108.105 422.496 429.12
114 0 160.403 12.8489 2061 107.887 421.453 426.875
115 0 164.373 12.4412 2045 109.622 421.961 422.433
116 0 170.364 12.9898 2213 109.187 421.59 421.392
117 0 175.351 13.071 2292 108.143 421.924 416.008
118 0 180.417 12.7261 2296 110.649 421.619 413.456
119 0 187.433 12.9593 2429 109.825 421.442 411.949
120 0 193.401 12.4767 2413 110.361 422.041 408.151
121 0 198.278 12.2051 2420 112.26 421.39 403.758
122 0 204.424 11.8528 2423 112.487 421.287 403.052
123 0 212.279 12.3328 2618 111.627 421.6 398.806
124 0 219.223 12.7861 2803 110.696 421.521 395.497
125 0 226.322 12.2171 2765 112.937 421.447 389.998
126 0 234.197 13.0147 3048 110.072 421.889 387.552
127 0 177.19 10.1586 1800 122.406 421.142 374.704
128 0 54.0618 9.50764 514 86.5409 422.654 481.94
129 0 58.0815 8.53972 496 95.5706 421.192 479.264
130 0 60.0761 8.75557 526 95.0837 421.456 478.876
131 0 62.0665 9.07091 563 94.8508 420.261 475.964
132 0 64.2356 9.38732 603 93.2968 420.244 474.118
133 0 64.1682 8.69589 558 94.0932 420.283 475.925
134 0 66.1064 9.43932 624 92.3349 420.375 474.926
135 0 69.2281 9.14369 633 91.2291 420.896 473.968
136 0 73.2031 11.352 831 84.8592 421.049 475.077
137 0 76.2015 11.6139 885 84.2893 421.206 473.666
138 0 78.1115 11.2019 875 84.4994 421.431 473.567
139 0 81.1866 11.6275 944 82.0456 420.5 470.858
140 0 85.1371 11.5696 985 80.0386 420.104 471.72
141 0 88.0748 11.6038 1022 80.5274 420.495 469.907
142 1 46.1041 10.1076 466 76.1094 419.569 489.225
143 0 47.0735 10.1119 476 73.4181 421.124 491.214
144 0 50.1013 10.339 518 71.3687 421.793 488.483
145 0 52.0712 10.9466 570 74.5965 423.275 487.254
146 0 53.0808 11.247 597 74.2446 422.64 487.608
147 0 52.2305 10.626 555 76.1784 422.595 488.171
148 0 55.2517 11.33 626 74.3562 422.264 486.369
149 0 56.0949 11.6945 656 75.0823 422.459 484.532
150 0 57.1915 10.9282 625 73.9936 422.485 481.043
151 0 59.1835 11.8952 704 74.4432 422.484 482.643
152 0 62.2658 11.9167 742 74.1941 422.474 481.152
153 0 66.383 12.5484 833 72.9832 422.176 481.492
154 0 66.2256 12.4423 824 73.7961 422.002 480.096
155 0 69.2695 12.2998 852 74.1702 422.673 479.561
156 0 70.2351 13.0846 919 73.9619 422.312 476.86
157 0 72.1402 12.8916 930 74.4946 422.904 477.459
158 0 74.2959 13.1097 974 75.1766 422.562 475.957
159 0 74.2959 13.029 968 136.665 421.517 475.941
160 0 77.3078 12.7283 984 79.5661 421.96 475.135
161 0 81.2433 13.2811 1079 81.392 421.767 473.163
162 0 83.1221 13.0772 1087 82.9016 423.133 471.289
163 0 87.0577 13.4279 1169 82.9829 422.251 469.584
164 0 90.1228 13.4594 1213 81.4699 422.486 467.513
165 0 90.1259 13.0484 1176 86.7959 421.061 465.943
166 1 47.0169 10.5707 497 84.1529 420.296 489.304
167 0 47.0204 11.5056 541 82.9852 420.36 490.039
168 0 48.0181 11.4957 552 79.9692 420.585 486.788
169 0 51.2324 12.0432 617 76.3663 423.708 484.433
170 0 52.0166 11.9577 622 78.3714 421.252 486.767
171 0 54.0574 12.5792 680 76.9294 420.413 485.591
172 0 54.0613 12.7633 690 77.6348 421.181 485.016
173 0 57.0529 12.69 724 78.1326 421.135 484.033
174 0 58.033 13.0098 755 78.4834 421.743 482.956
175 0 60.0567 12.8878 774 79.6202 421.417 481.164
176 0 60.0735 12.518 752 82.7739 421.43 483.689
177 0 60.04 12.5083 751 83.747 420.209 483.007
178 0 62.0418 12.1692 755 85.0821 420.964 481.895
179 0 65.042 11.9 774 85.3966 421.579 480.819
180 0 66.0843 12.5597 830 84.8723 420.414 479.388
181 0 68.0315 12.2737 835 85.7641 421.477 479.758
182 0 70.0442 12.9204 905 83.6497 420.958 479.551
183 0 73.062 13.0027 950 85.6116 421.336 477.62
184 0 75.0563 12.9769 974 85.3039 420.248 476.748
185 0 77.086 12.8687 992 86.3206 420.589 475.398
186 0 80.087 12.9234 1035 85.6879 420.817 475.522
