time division length width area intensity CMx CMy
0 0 30.02 11.559 347 157.914 356.04 479.533
1 0 31.0236 12.9579 402 152.423 356.488 478.361
2 0 32.0373 12.7352 408 151.583 356.939 479.324
3 0 33.0135 12.3586 408 154.1 356.811 478.765
4 0 36.0205 12.9371 466 148.178 356.736 478.092
5 0 36.0049 12.5261 451 150.255 357.184 478.871
6 0 34.0247 12.726 433 156.028 357.139 477.113
7 0 38.0155 14.0206 533 143.426 356.895 479.098
8 0 40.0696 13.0772 524 147.614 356.74 478.494
9 0 40.0632 13.1542 527 148.992 356.744 477.323
10 0 41.0256 13.1625 540 149.861 356.069 477.102
11 0 41.0714 13.0261 535 151.434 357.439 477.974
12 0 44.0325 13.49 594 146.936 356.71 477.049
13 0 43.0573 14.3762 619 147.446 355.903 476.502
14 0 46.0926 14.4058 664 145.062 355.828 476.863
15 0 46.0999 14.4252 665 147.956 355.741 476.424
16 0 48.0748 13.7494 661 147.722 355.198 475.706
17 0 47.0257 13.9073 654 150.592 355.355 475.219
18 0 50.0967 14.3922 721 146.494 355.687 475.348
19 0 50.0495 14.2459 713 149.576 355.669 474.931
20 0 50.0724 14.2194 712 150.732 354.42 473.664
21 0 55.0559 15.4933 853 141.791 353.993 470.183
22 0 56.0691 14.7318 826 147.149 354.47 473.054
23 0 59.1176 16.2896 963 139.194 355.016 471.444
24 0 59.0845 15.6725 926 140.64 353.708 472.778
25 0 60.0924 15.9088 956 140.689 353.635 470.696
26 0 63.0629 16.4439 1037 138.584 354.401 469.907
27 0 63.0775 14.3633 906 153.129 353.807 468.88
28 0 67.1233 15.911 1068 146.689 352.965 467.5
29 0 68.0529 15.7231 1070 148.22 353.407 466.314
30 0 71.1083 15.835 1126 146.099 353.44 467.244
31 0 73.0866 15.4201 1127 148.486 352.881 466.12
32 0 75.0918 15.2347 1144 148.891 352.263 464.554
33 0 77.1952 14.8714 1148 149.296 352.648 465.071
34 0 81.1058 15.1037 1225 147.393 352.33 462.945
35 0 83.1004 15.3309 1274 147.005 352.607 460.774
36 0 86.0996 15.5169 1336 145.049 353.43 458.986
37 0 91.0904 15.4681 1409 142.084 353.176 458.63
38 0 91.1746 14.6861 1339 146.325 352.667 455.523
39 1 45.0276 11.926 537 148.153 352.294 479.831
40 0 48.0802 13.0199 626 146.072 352.107 477.211
41 0 52.0566 13.0627 680 144.822 352.625 476.134
42 0 53.0303 14.0486 745 143.286 352.144 474.691
43 0 56.0312 13.3675 749 145.127 352.975 474.338
44 0 57.17 14.2732 816 142.202 352.585 472.668
45 0 61.1642 14.7799 904 138.81 352.115 472.798
46 0 62.045 14.7957 918 142.669 352.137 470.297
47 0 64.0967 14.9306 957 139.463 352.229 469.826
48 0 68.0712 15.0284 1023 138.346 352.531 467.562
49 0 70.1664 15.3635 1078 138.121 351.836 466.668
50 0 71.093 14.6287 1040 142.155 351.778 465.104
51 0 74.0964 15.0885 1118 139.159 351.901 465.315
52 0 77.1113 15.2896 1179 138.649 351.764 462.788
53 0 77.1594 13.5823 1048 144.829 351.544 462.044
54 0 81.1579 14.3794 1167 141.442 351.593 461.291
55 0 83.2242 14.1666 1179 141.949 351.569 461.053
56 0 87.1409 15.1594 1321 139.152 351.862 457.011
57 0 89.2292 15.3313 1368 138.716 350.904 455.522
58 0 91.0847 15.1507 1380 138.601 351.338 455.499
59 0 96.1487 14.2904 1374 138.26 351.931 452.457
60 0 100.093 14.5464 1456 136.907 351.204 450.135
61 0 104.163 13.9109 1449 137.035 351.146 449.878
62 0 109.398 14.8997 1630 133.506 351.098 446.639
63 1 58.1094 12.442 723 135.144 350.613 471.733
64 0 62.1163 13.7484 854 126.075 351.536 470.437
65 0 65.1621 13.382 872 130.491 351.95 473.972
66 0 65.2029 14.1251 921 129.833 350.672 469.937
67 0 68.2087 13.1801 899 126.506 351.303 466.687
68 0 71.1698 13.6856 974 129.494 351.68 467.401
69 0 74.2316 13.8081 1025 127.312 351.009 467.92
70 0 77.1465 14.2067 1096 125.384 351.552 466.046
71 0 78.2024 13.4139 1049 129.298 350.673 463.89
72 0 81.2661 13.9296 1132 127.398 350.564 462.434
73 0 85.2382 14.4419 1231 126.441 351.658 458.835
74 0 87.2562 14.1881 1238 126.627 351.695 458.717
75 0 91.3505 13.9463 1274 125.577 350.928 457.488
76 0 95.303 14.3752 1370 125.495 351.225 454.662
77 0 98.3543 13.8072 1358 125.839 351.138 453.697
78 0 102.283 13.6875 1400 125.271 350.938 453.958
79 1 52.0999 12.9943 677 117.799 351.21 476.51
80 0 56.194 12.2077 686 115.309 351.571 477.198
81 0 59.1171 12.2638 725 117.135 351.931 475.04
82 0 61.2099 12.3183 754 117.003 351.712 474.28
83 0 63.1974 12.6429 799 115.417 351.339 471.895
84 0 65.1311 12.2215 796 117.078 351.585 472.984
85 0 66.0611 13.3816 884 114.757 351.821 471.383
86 0 69.1406 13.0459 902 116.588 351.54 467.314
87 0 70.2059 12.2212 858 118.389 352.408 467.656
88 0 75.2443 12.9977 978 116.74 351.703 465.371
89 0 77.3038 12.7419 985 118.498 351.215 463.641
90 0 78.2725 12.5587 983 118.903 350.949 465.053
91 0 80.4388 12.3199 991 121.365 351.207 462.593
92 0 85.2835 13.7072 1169 117.503 350.637 461.334
93 0 88.2598 12.8371 1133 121.221 350.579 458.598
94 0 92.3313 13.4516 1242 119.308 350.944 456.68
95 1 46.1562 10.5078 485 116.86 351.202 479.713
96 0 49.1482 11.3941 560 118.179 350.529 479.862
97 0 49.0088 11.957 586 117.292 350.396 481.652
98 0 51.1617 11.9425 611 114.838 349.795 479.219
99 0 54.0594 11.2099 606 116.018 350.323 477.853
100 0 56.0536 11.6317 652 114.807 350.347 477.781
101 0 59.0121 12.1501 717 113.386 349.674 476.262
102 0 60.0271 12.7109 763 112.755 350.159 475.261
103 0 63.0831 12.9353 816 112.723 350.425 474.934
104 0 63.0825 13.2366 835 114.024 349.987 472.687
105 0 67.069 12.8226 860 118.094 349.835 474.019
106 0 69.0892 12.1727 841 119.61 349.413 472.169
107 0 72.0511 12.1303 874 120.719 349.789 470.194
108 0 75.1072 13.3809 1005 116.824 350.591 468.789
109 0 76.1502 12.8168 976 118.549 349.851 468.967
110 0 78.119 11.8537 926 121.181 349.323 467.07
111 0 82.1977 13.6379 1121 118.55 349.014 463.178
112 0 85.2202 12.673 1080 119.594 349.884 463.442
113 0 89.1688 12.8632 1147 119.132 349.228 462.66
114 0 89.1797 12.3683 1103 122.063 349.067 461.034
115 0 94.0687 13.2669 1248 119.7 349.804 460.02
116 0 97.1008 13.5529 1316 118.69 349.985 457.119
117 0 101.162 13.2559 1341 119.453 350.465 456.565
118 0 103.159 12.6116 1301 121.792 349.891 453.785
119 0 108.186 12.9314 1399 121.913 350.177 452.204
120 1 59.0877 11.9991 709 118.124 351.035 479.87
121 0 61.0592 13.3477 815 119.103 351.302 475.971
122 0 62.0604 12.0044 745 119.898 349.785 472.164
123 0 66.1495 14.0742 931 118.45 350.211 472.516
124 0 67.1327 13.8383 929 120.746 349.87 470.59
125 0 69.1339 13.2931 919 122.106 350.558 468.791
126 0 71.1607 12.5912 896 115.422 349.648 470.597
127 0 73.1844 11.7921 863 117.904 349.508 469.533
128 0 76.1983 12.5725 958 116.663 350.289 469.201
129 0 77.1607 13.3876 1033 122.614 348.927 465.972
130 0 80.2272 12.5768 1009 124.357 348.944 466.595
131 0 84.1645 13.0459 1098 123.438 348.813 465.519
132 0 85.1577 12.5884 1072 126.358 348.862 463.577
133 0 89.1903 13.2413 1181 125.35 349.449 460.865
134 0 92.2648 12.7568 1177 126.466 349.072 458.552
135 0 96.2349 13.571 1306 123.603 349.279 457.925
136 0 98.2893 13.3178 1309 125.002 348.816 456.19
137 0 102.394 13.1161 1343 125.147 349.279 454.956
138 0 106.447 13.4433 1431 123.79 348.851 453.799
139 0 109.309 14.1434 1546 122.31 348.462 452.174
140 1 58.1699 11.7071 681 119.999 349.756 477.445
141 0 59.1389 10.822 640 114.659 349.944 473.591
142 0 59.1546 11.901 704 115.061 349.872 475.932
143 0 62.087 11.5483 717 114.123 350.255 474.717
144 0 64.072 12.2362 784 111.856 349.867 475.024
145 0 67.0446 11.3059 758 116.621 350.359 471.697
146 0 69.0717 12.1323 838 114.578 349.847 470.019
147 0 72.1736 12.179 879 115.414 349.143 466.908
148 0 73.097 11.6284 850 116.414 349.769 467.829
149 0 76.0806 11.9478 909 115.459 349.495 466.182
150 0 80.0983 12.9091 1034 113.315 349.675 465.849
151 0 82.088 12.645 1038 115.283 350.2 464.377
152 0 87.0556 14.2897 1244 111.08 349.769 463.363
153 0 88.1194 12.9597 1142 115.279 350.1 462.752
154 0 89.1084 11.6936 1042 119.297 349.058 457.694
155 0 93.2088 11.2007 1044 120.769 349.056 458.176
156 0 98.1349 12.4522 1222 117.853 349.748 456.752
157 0 101.18 12.9176 1307 118.872 349.516 453.35
158 0 105.196 12.5575 1321 119.779 350.118 451.793
159 1 59.1492 11.2597 666 115.551 349.566 473.629
160 0 58.1444 10.5771 615 115.891 349.156 476.124
161 0 59.2238 11.1273 659 119.697 350.393 471.695
162 0 61.055 12.2512 748 119.465 349.972 472.005
163 0 62.0417 12.7656 792 116.869 350.001 470.981
164 0 66.0757 12.7127 840 116.161 350.458 469.215
165 0 69.1121 12.704 878 115.928 350.37 468.845
166 0 73.1719 13.9261 1019 111.987 349.506 467.402
167 0 74.0625 12.4895 925 117.734 350.179 466.677
168 0 74.095 13.4287 995 116.745 349.804 464.565
169 0 78.1293 14.4888 1132 113.547 349.91 463.328
170 0 79.1304 13.8 1092 117.456 349.751 461.41
171 0 83.1326 13.4725 1120 117.628 349.588 460.181
172 0 86.2322 13.8 1190 117.232 349.021 459.105
173 0 88.1414 14.6015 1287 115.671 349.505 458.329
174 0 87.1688 13.296 1159 121.72 348.928 455.913
175 0 91.1906 13.4773 1229 120.777 349.373 455.939
176 0 94.1396 12.4177 1169 124.123 348.859 455.654
177 0 99.1188 14.0639 1394 118.732 348.923 452.928
178 0 101.212 13.0815 1324 121.051 349.065 449.743
179 0 106.238 14.364 1526 116.493 349.59 448.004
180 0 107.262 13.6395 1463 88.2789 349.158 442.831
181 0 111.269 12.8517 1430 120.502 349.124 444.753
182 0 116.304 14.1525 1646 116.21 349.289 442.357
183 1 59.1034 11.2007 662 112.508 350.095 468.89
184 0 61.0503 10.9582 669 106.179 349.269 469.653
185 0 64.1298 12.35 792 108.24 348.365 470.755
186 0 63.042 11.5796 730 111.577 348.621 470.052
187 0 66.0508 12.0816 798 110.698 348.481 468.95
188 0 70.0453 12.7203 891 107.991 349.199 469.979
189 0 69.0582 11.874 820 112.3 348.529 467.243
190 0 72.0544 12.1575 876 110.32 348.666 466.309
191 0 76.0441 12.8741 979 108.805 348.886 463.619
