time division length width area intensity CMx CMy
0 0 57.0486 11.9723 683 74.2123 55.937 474.621
1 0 60.0596 12.6042 757 73.1731 54.9089 474.872
2 0 62.1641 13.5126 840 71.5881 54.5464 474.175
3 0 62.1641 13.4965 839 138.557 53.5209 474.137
4 0 66.0782 13.03 861 72.7364 54.6667 473.511
5 0 66.0543 12.9439 855 72.9111 55.2912 474.35
6 0 70.0499 13.9044 974 71.8542 55.0585 474.182
7 0 71.0762 13.5207 961 72.5494 54.9813 472.177
8 0 72.1447 13.4729 972 73.9568 54.0802 469.273
9 0 75.16 13.2118 993 74.0836 53.5478 471.676
10 1 38.0427 10.9088 415 75.4554 53.8867 488.899
11 0 40.0211 12.1436 486 72.5494 52.8724 489.934
12 0 38.0443 11.3815 433 75.8938 52.6236 487.667
13 0 42.0552 11.6038 488 76.1414 52.5348 488.309
14 0 43.0266 11.9926 516 75.4109 52.6492 487.55
15 0 46.0205 12.451 573 73.5044 52.1379 488.576
16 0 46.0348 11.4913 529 76.1834 51.8129 486.807
17 0 47.0797 12.0434 567 75.6649 52.3633 486.067
18 0 47.0906 11.4885 541 77.6747 51.9057 484.216
19 0 48.0392 12.4065 596 76.3557 51.9966 484.305
20 0 52.0435 12.4703 649 74.7057 52.6626 485.196
21 0 52.0681 12.4837 650 75.3985 53.0015 484.455
22 0 52.1064 11.2654 587 77.7768 53.3101 483.681
23 0 53.0642 12.2305 649 76.7319 52.4145 480.482
24 0 57.0411 12.6751 723 74.2172 52.6805 481.427
25 0 57.0739 11.0734 632 78.1915 52.4351 479.017
26 0 58.1334 11.5768 673 77.4086 52.3224 478.542
27 0 61.0359 12.9432 790 74.819 52.9886 476.858
28 0 61.0656 12.0362 735 76.4639 52.6122 476.931
29 0 64.0833 10.8141 693 77.8961 52.3579 476.843
30 0 65.0425 12.3612 804 75.8234 52.204 474.566
31 0 68.1392 12.0635 822 76.3054 52.6776 473.753
32 0 68.0826 11.8973 810 77.4395 51.9173 471.177
33 0 72.054 12.1575 876 76.645 52.1952 468.916
34 0 73.0867 11.4111 834 78.0264 52.0767 470.004
35 0 75.0636 11.4969 863 78.54 52.2596 465.914
36 0 78.11 12.0855 944 77.0445 52.8061 468.298
37 0 81.1106 12.933 1049 75.6883 52.3746 467.745
38 1 41.0575 9.25531 380 78.7684 53.2474 485.429
39 0 45.0316 10.5704 476 75.5483 53.3634 485.788
40 0 44.0369 10.9 480 76.3104 52.8771 482.337
41 0 45.0543 11.1643 503 75.5885 53.2306 480.797
42 0 47.0502 12.221 575 74.4904 53.3374 479.922
43 0 48.0254 11.5356 554 75.5884 53.0505 479.002
44 0 51.0376 10.7176 547 76.4479 53.0201 479.614
45 0 50.0334 9.45369 473 78.9873 52.611 476.85
