time division length width area intensity CMx CMy
0 0 73.4817 21.7333 1597 117.949 427.727 436.772
1 0 72.3296 19.1623 1386 119.511 427.816 440.102
2 0 84.2215 12.9421 1090 119.489 429.322 442.006
3 0 78.6088 19.3999 1525 114.736 429.151 441.309
4 0 82.6049 22.8437 1887 114.642 429.274 434.37
5 0 88.4951 25.3912 2247 108.387 429.946 442.3
6 0 85.9243 22.1823 1906 112.363 429.114 446.998
7 0 82.392 18.5212 1526 124.293 428.039 444.639
8 0 87.7911 24.171 2122 120.076 425.274 444.655
9 0 82.5128 14.0463 1159 133.695 425.097 445.096
10 0 84.6822 12.3757 1048 143.543 424.7 439.041
11 0 85.6893 13.3972 1148 150.975 422.829 437.627
12 0 89.8029 15.4783 1390 156.624 421.388 436.942
13 0 92.6377 17.7358 1643 145.514 420.996 434.682
14 1 120.554 28.7091 3461 125.795 419.312 417.908
15 0 122.516 27.1883 3331 110.678 418.22 418.289
16 0 118.651 27.2396 3232 127.224 417.007 413.386
17 1 159.164 15.2735 2431 141.921 415.724 416.399
18 0 157.675 19.0519 3004 134.952 414.167 402.348
19 0 153.428 32.6734 5013 117.381 414.469 399.929
20 0 148.314 22.2029 3293 134.118 411.806 406.804
21 1 127.801 28.474 3639 130.724 411.494 401.722
22 1 64.3831 14.7554 950 148.358 410.918 441.525
23 0 65.1796 12.3965 808 151.048 410.271 441.436
24 0 68.0655 18.3941 1252 138.255 409.983 439.125
25 0 70.4967 15.1922 1071 141.461 410.749 440.317
26 0 70.51 13.062 921 147.277 412.315 441.912
27 0 76.9442 20.2094 1555 131.539 412.205 438.871
28 0 78.2705 22.1795 1736 124.09 412.091 438.081
29 0 80.5447 18.1514 1462 128.72 414.406 431.519
30 0 86.2693 19.8448 1712 124.073 416.065 435.145
31 0 88.3812 23.4665 2074 118.724 418.517 433.422
32 0 90.6692 17.5804 1594 124.531 420.142 427.168
33 0 95.8543 26.5716 2547 114.578 420.795 428.907
34 0 95.6492 22.9589 2196 118.295 423.644 430.177
35 0 97.7621 19.6804 1924 112.108 423.789 441.436
36 0 97.5107 15.7931 1540 123.42 424.802 420.345
37 0 107.606 30.4536 3277 108.512 424.321 434.987
38 0 105.609 17.9246 1893 153.581 424.914 423.849
39 0 113.573 14.6778 1667 141.498 425.19 424.457
40 0 117.509 15.6754 1842 143.402 424.677 424.44
41 0 119.625 15.6489 1872 145.028 424.842 419.928
42 1 62.3672 14.6551 914 141.104 423.627 450.823
43 0 62.3672 14.6391 913 134.076 422.633 450.9
44 0 66.3447 16.1279 1070 149.242 420.968 450.359
45 0 65.1405 13.893 905 161.2 421.024 451.076
46 0 67.1672 15.186 1020 157.76 420.838 453.047
47 0 67.122 15.7325 1056 162.559 419.434 451.662
48 0 69.0574 15.6536 1081 162.353 418.326 452.731
49 0 71.2559 15.6899 1118 163.589 417.204 451.353
50 0 71.3388 15.097 1077 164.589 414.451 450.315
51 0 70.2151 15.9937 1123 165.517 413.684 448.278
52 0 72.2745 15.0399 1087 168.222 412.575 447.784
53 0 73.2936 15.2128 1115 166.294 411.487 445.912
54 0 75.4272 16.1745 1220 163.044 410.75 444.827
55 0 73.2801 15.1201 1108 165.155 410.815 444.085
56 0 73.4178 14.3562 1054 166.723 409.846 443.032
57 0 73.4178 14.329 1052 150.311 408.853 442.96
58 0 72.4091 14.4457 1046 150.055 406.833 442.96
59 0 77.3701 15.8718 1228 155.096 409.625 440.026
60 0 75.2416 15.1778 1142 155.664 410.229 437.998
61 0 75.2838 15.6209 1176 154.883 410.297 438.146
62 0 78.5856 17.3187 1361 146.707 411.155 439.345
63 0 79.3351 18.9702 1505 143.658 412.173 439.231
64 0 78.4855 17.3663 1363 147.503 414.076 438.637
65 0 79.3557 17.1506 1361 147.734 417.142 439.521
66 0 77.3437 18.3725 1421 141.766 418.006 436.153
67 0 79.1738 17.4805 1384 139.928 420.139 440.344
68 0 80.2512 17.0714 1370 142.917 421.064 442.52
69 0 78.3367 14.3994 1128 144.522 422.716 441.056
70 0 79.3829 15.1544 1203 140.763 422.905 444.281
71 0 78.4654 14.1336 1109 145.229 423.874 440.792
72 0 78.4152 15.1756 1190 148.707 424.218 442.687
73 0 79.2429 14.2221 1127 143.365 423.514 446.64
74 0 80.388 19.891 1599 132.319 423.523 448.182
75 0 76.3883 13.5361 1034 150.562 421.981 445.423
76 0 79.4916 13.9637 1110 150.294 421.498 445.934
77 0 76.2876 14.8255 1131 156.502 420.456 445.356
78 0 74.2127 13.0032 965 166.405 420.273 449.131
79 0 76.3801 14.6635 1120 159.98 419.554 447.673
80 0 76.3462 14.932 1140 159.811 418.475 448.552
81 0 73.215 13.6721 1001 166.392 417.243 447.883
82 0 74.4458 15.6355 1164 159.625 415.33 450.186
83 0 78.3504 14.3969 1128 159.104 414.495 450.177
84 0 75.4763 13.5407 1022 162.871 413.016 447.822
85 0 76.2724 14.068 1073 162.532 411.806 446.947
