value,type,lineage_ID
0.0,outsider,1
103.0,end,1
99.0,end,1
88.0,end,1
84.0,end,1
74.0,end,1
69.0,end,1
61.0,end,1
56.0,end,1
53.0,end,1
50.0,end,1
46.0,end,1
36.0,end,1
31.0,end,1
25.0,end,1
16.0,end,1
107.0,end,1
7.0,end,1
115.0,end,1
125.0,end,1
100.0,singularities,1
186.0,rises,1
187.0,rises,1
188.0,rises,1
189.0,rises,1
190.0,rises,1
191.0,rises,1
192.0,rises,1
185.0,end,1
177.0,end,1
152.0,end,1
148.0,end,1
145.0,end,1
142.0,end,1
137.0,end,1
119.0,end,1
178.0,start,1
131.0,end,1
149.0,start,1
37.0,start,1
32.0,start,1
26.0,start,1
17.0,start,1
8.0,start,1
0.0,start,1
177.0,outsider,1
152.0,outsider,1
56.0,outsider,1
7.0,outsider,1
178.0,outsider,1
153.0,outsider,1
149.0,outsider,1
54.0,outsider,1
153.0,start,1
47.0,start,1
51.0,start,1
185.0,outsider,1
57.0,start,1
146.0,start,1
54.0,start,1
143.0,start,1
138.0,start,1
132.0,start,1
126.0,start,1
116.0,start,1
108.0,start,1
120.0,start,1
101.0,start,1
89.0,start,1
85.0,start,1
75.0,start,1
70.0,start,1
62.0,start,1
104.0,start,1
104.0,end,2
72.0,end,2
97.0,end,2
92.0,end,2
109.0,end,2
87.0,end,2
83.0,end,2
78.0,end,2
65.0,end,2
24.0,end,2
55.0,end,2
50.0,end,2
43.0,end,2
38.0,end,2
30.0,end,2
16.0,end,2
115.0,end,2
12.0,end,2
60.0,end,2
119.0,end,2
220.0,end,2
131.0,end,2
5.0,end,2
203.0,singularities,2
230.0,end,2
224.0,end,2
214.0,end,2
209.0,end,2
204.0,end,2
198.0,end,2
195.0,end,2
189.0,end,2
181.0,end,2
176.0,end,2
172.0,end,2
165.0,end,2
162.0,end,2
155.0,end,2
149.0,end,2
142.0,end,2
137.0,end,2
128.0,end,2
225.0,start,2
88.0,start,2
215.0,start,2
79.0,start,2
73.0,start,2
66.0,start,2
61.0,start,2
56.0,start,2
51.0,start,2
44.0,start,2
39.0,start,2
84.0,start,2
31.0,start,2
17.0,start,2
13.0,start,2
6.0,start,2
0.0,start,2
198.0,outsider,2
5.0,outsider,2
196.0,outsider,2
0.0,outsider,2
221.0,start,2
93.0,start,2
25.0,start,2
105.0,start,2
98.0,start,2
210.0,start,2
205.0,start,2
199.0,start,2
196.0,start,2
182.0,start,2
177.0,start,2
173.0,start,2
166.0,start,2
163.0,start,2
190.0,start,2
150.0,start,2
143.0,start,2
138.0,start,2
132.0,start,2
129.0,start,2
120.0,start,2
116.0,start,2
110.0,start,2
156.0,start,2
72.0,end,3
62.0,end,3
57.0,end,3
51.0,end,3
46.0,end,3
26.0,end,3
32.0,end,3
5.0,end,3
13.0,end,3
78.0,end,3
40.0,end,3
85.0,end,3
158.0,end,3
98.0,end,3
105.0,end,3
113.0,end,3
119.0,end,3
127.0,end,3
131.0,end,3
137.0,end,3
143.0,end,3
152.0,end,3
163.0,end,3
168.0,end,3
164.0,start,3
94.0,end,3
159.0,start,3
18.0,end,3
144.0,start,3
153.0,start,3
0.0,outsider,3
6.0,outsider,3
5.0,outsider,3
0.0,start,3
6.0,start,3
14.0,start,3
19.0,start,3
27.0,start,3
33.0,start,3
41.0,start,3
47.0,start,3
52.0,start,3
13.0,outsider,3
63.0,start,3
58.0,start,3
132.0,start,3
128.0,start,3
120.0,start,3
114.0,start,3
138.0,start,3
99.0,start,3
95.0,start,3
86.0,start,3
79.0,start,3
73.0,start,3
106.0,start,3
113.0,end,4
70.0,end,4
107.0,end,4
103.0,end,4
97.0,end,4
91.0,end,4
86.0,end,4
82.0,end,4
58.0,end,4
22.0,end,4
41.0,end,4
38.0,end,4
34.0,end,4
28.0,end,4
16.0,end,4
10.0,end,4
5.0,end,4
254.0,start,4
117.0,end,4
50.0,end,4
124.0,end,4
212.0,end,4
135.0,end,4
258.0,end,4
253.0,end,4
248.0,end,4
241.0,end,4
234.0,end,4
230.0,end,4
224.0,end,4
217.0,end,4
249.0,start,4
206.0,end,4
201.0,end,4
196.0,end,4
191.0,end,4
177.0,end,4
171.0,end,4
166.0,end,4
159.0,end,4
154.0,end,4
141.0,end,4
131.0,end,4
242.0,start,4
147.0,end,4
231.0,start,4
83.0,start,4
73.0,start,4
59.0,start,4
51.0,start,4
42.0,start,4
39.0,start,4
35.0,start,4
29.0,start,4
23.0,start,4
17.0,start,4
11.0,start,4
6.0,start,4
0.0,start,4
241.0,outsider,4
191.0,outsider,4
5.0,outsider,4
178.0,outsider,4
0.0,outsider,4
237.0,start,4
87.0,start,4
92.0,start,4
237.0,outsider,4
104.0,start,4
98.0,start,4
218.0,start,4
207.0,start,4
202.0,start,4
197.0,start,4
192.0,start,4
178.0,start,4
172.0,start,4
167.0,start,4
213.0,start,4
155.0,start,4
108.0,start,4
160.0,start,4
114.0,start,4
118.0,start,4
225.0,start,4
132.0,start,4
136.0,start,4
142.0,start,4
148.0,start,4
125.0,start,4
110.0,end,5
116.0,end,5
121.0,end,5
126.0,end,5
131.0,end,5
136.0,end,5
142.0,end,5
153.0,end,5
159.0,end,5
166.0,end,5
175.0,end,5
179.0,end,5
185.0,end,5
191.0,end,5
106.0,end,5
196.0,end,5
148.0,end,5
171.0,end,5
51.0,end,5
95.0,end,5
201.0,end,5
412.0,start,5
6.0,end,5
11.0,end,5
17.0,end,5
23.0,end,5
28.0,end,5
32.0,end,5
39.0,end,5
44.0,end,5
55.0,end,5
62.0,end,5
68.0,end,5
74.0,end,5
80.0,end,5
83.0,end,5
89.0,end,5
100.0,end,5
206.0,end,5
334.0,end,5
217.0,end,5
344.0,end,5
350.0,end,5
355.0,end,5
361.0,end,5
366.0,end,5
375.0,end,5
379.0,end,5
385.0,end,5
388.0,end,5
400.0,end,5
405.0,end,5
411.0,end,5
415.0,end,5
336.0,rises,5
388.0,rises,5
320.0,singularities,5
406.0,start,5
338.0,end,5
211.0,end,5
328.0,end,5
319.0,end,5
220.0,end,5
226.0,end,5
232.0,end,5
237.0,end,5
243.0,end,5
249.0,end,5
254.0,end,5
259.0,end,5
265.0,end,5
276.0,end,5
282.0,end,5
289.0,end,5
293.0,end,5
300.0,end,5
304.0,end,5
308.0,end,5
312.0,end,5
324.0,end,5
401.0,start,5
101.0,start,5
386.0,start,5
63.0,start,5
69.0,start,5
75.0,start,5
81.0,start,5
84.0,start,5
90.0,start,5
96.0,start,5
56.0,start,5
107.0,start,5
117.0,start,5
122.0,start,5
127.0,start,5
132.0,start,5
137.0,start,5
143.0,start,5
149.0,start,5
111.0,start,5
52.0,start,5
45.0,start,5
40.0,start,5
392.0,start,5
0.0,outsider,5
218.0,outsider,5
266.0,outsider,5
341.0,outsider,5
392.0,outsider,5
6.0,outsider,5
220.0,outsider,5
276.0,outsider,5
400.0,outsider,5
0.0,start,5
7.0,start,5
12.0,start,5
18.0,start,5
24.0,start,5
29.0,start,5
33.0,start,5
154.0,start,5
160.0,start,5
344.0,outsider,5
172.0,start,5
294.0,start,5
301.0,start,5
305.0,start,5
309.0,start,5
313.0,start,5
321.0,start,5
325.0,start,5
329.0,start,5
335.0,start,5
341.0,start,5
351.0,start,5
356.0,start,5
362.0,start,5
369.0,start,5
376.0,start,5
380.0,start,5
167.0,start,5
290.0,start,5
283.0,start,5
345.0,start,5
266.0,start,5
176.0,start,5
277.0,start,5
180.0,start,5
186.0,start,5
192.0,start,5
202.0,start,5
207.0,start,5
212.0,start,5
218.0,start,5
197.0,start,5
221.0,start,5
260.0,start,5
227.0,start,5
233.0,start,5
238.0,start,5
244.0,start,5
250.0,start,5
255.0,start,5
87.0,end,6
92.0,end,6
98.0,end,6
103.0,end,6
109.0,end,6
126.0,end,6
120.0,end,6
139.0,end,6
130.0,end,6
82.0,end,6
135.0,end,6
142.0,end,6
115.0,end,6
77.0,end,6
34.0,end,6
67.0,end,6
62.0,end,6
56.0,end,6
50.0,end,6
45.0,end,6
39.0,end,6
29.0,end,6
23.0,end,6
16.0,end,6
12.0,end,6
150.0,end,6
5.0,end,6
318.0,start,6
72.0,end,6
160.0,end,6
281.0,end,6
176.0,end,6
145.0,singularities,6
313.0,start,6
136.0,singularities,6
177.0,singularities,6
182.0,rises,6
323.0,end,6
317.0,end,6
312.0,end,6
307.0,end,6
301.0,end,6
295.0,end,6
291.0,end,6
286.0,end,6
277.0,end,6
170.0,end,6
268.0,end,6
258.0,end,6
254.0,end,6
248.0,end,6
242.0,end,6
237.0,end,6
232.0,end,6
227.0,end,6
221.0,end,6
214.0,end,6
208.0,end,6
203.0,end,6
199.0,end,6
194.0,end,6
188.0,end,6
264.0,end,6
308.0,start,6
282.0,start,6
296.0,start,6
93.0,start,6
88.0,start,6
83.0,start,6
78.0,start,6
73.0,start,6
68.0,start,6
63.0,start,6
57.0,start,6
51.0,start,6
46.0,start,6
40.0,start,6
35.0,start,6
30.0,start,6
99.0,start,6
24.0,start,6
6.0,start,6
0.0,start,6
188.0,outsider,6
160.0,outsider,6
150.0,outsider,6
142.0,outsider,6
5.0,outsider,6
177.0,outsider,6
151.0,outsider,6
145.0,outsider,6
140.0,outsider,6
0.0,outsider,6
302.0,start,6
13.0,start,6
104.0,start,6
17.0,start,6
116.0,start,6
292.0,start,6
110.0,start,6
287.0,start,6
278.0,start,6
269.0,start,6
265.0,start,6
259.0,start,6
255.0,start,6
243.0,start,6
238.0,start,6
233.0,start,6
228.0,start,6
222.0,start,6
215.0,start,6
249.0,start,6
145.0,start,6
131.0,start,6
137.0,start,6
140.0,start,6
151.0,start,6
209.0,start,6
121.0,start,6
166.0,start,6
177.0,start,6
189.0,start,6
195.0,start,6
200.0,start,6
204.0,start,6
173.0,start,6
127.0,start,6
131.0,end,7
127.0,end,7
189.0,end,7
135.0,end,7
115.0,end,7
121.0,end,7
140.0,end,7
180.0,end,7
152.0,end,7
158.0,end,7
170.0,end,7
174.0,end,7
185.0,end,7
110.0,end,7
147.0,end,7
105.0,end,7
17.0,end,7
96.0,end,7
194.0,end,7
405.0,start,7
6.0,end,7
23.0,end,7
32.0,end,7
36.0,end,7
43.0,end,7
48.0,end,7
53.0,end,7
58.0,end,7
68.0,end,7
75.0,end,7
81.0,end,7
85.0,end,7
91.0,end,7
101.0,end,7
199.0,end,7
400.0,end,7
217.0,end,7
329.0,end,7
335.0,end,7
341.0,end,7
348.0,end,7
352.0,end,7
358.0,end,7
370.0,end,7
377.0,end,7
382.0,end,7
394.0,end,7
404.0,end,7
408.0,end,7
9.0,singularities,7
255.0,singularities,7
401.0,start,7
322.0,end,7
211.0,end,7
318.0,end,7
306.0,end,7
221.0,end,7
229.0,end,7
235.0,end,7
239.0,end,7
245.0,end,7
249.0,end,7
254.0,end,7
259.0,end,7
266.0,end,7
272.0,end,7
277.0,end,7
284.0,end,7
290.0,end,7
295.0,end,7
300.0,end,7
312.0,end,7
395.0,start,7
386.0,end,7
383.0,start,7
76.0,start,7
82.0,start,7
86.0,start,7
92.0,start,7
97.0,start,7
102.0,start,7
106.0,start,7
111.0,start,7
116.0,start,7
122.0,start,7
128.0,start,7
132.0,start,7
136.0,start,7
141.0,start,7
148.0,start,7
69.0,start,7
153.0,start,7
54.0,start,7
44.0,start,7
4.0,outsider,7
159.0,outsider,7
200.0,outsider,7
361.0,outsider,7
6.0,outsider,7
170.0,outsider,7
391.0,start,7
211.0,outsider,7
370.0,outsider,7
4.0,start,7
7.0,start,7
18.0,start,7
24.0,start,7
33.0,start,7
37.0,start,7
49.0,start,7
159.0,start,7
63.0,start,7
175.0,start,7
291.0,start,7
296.0,start,7
301.0,start,7
307.0,start,7
313.0,start,7
323.0,start,7
330.0,start,7
336.0,start,7
342.0,start,7
349.0,start,7
353.0,start,7
361.0,start,7
371.0,start,7
378.0,start,7
171.0,start,7
285.0,start,7
278.0,start,7
319.0,start,7
186.0,start,7
181.0,start,7
273.0,start,7
190.0,start,7
195.0,start,7
200.0,start,7
212.0,start,7
222.0,start,7
230.0,start,7
218.0,start,7
240.0,start,7
246.0,start,7
250.0,start,7
255.0,start,7
260.0,start,7
267.0,start,7
236.0,start,7
110.0,end,8
138.0,end,8
117.0,end,8
120.0,end,8
129.0,end,8
132.0,end,8
142.0,end,8
188.0,end,8
155.0,end,8
160.0,end,8
163.0,end,8
170.0,end,8
177.0,end,8
182.0,end,8
105.0,end,8
150.0,end,8
99.0,end,8
387.0,start,8
88.0,end,8
195.0,end,8
391.0,start,8
401.0,start,8
13.0,end,8
18.0,end,8
27.0,end,8
30.0,end,8
93.0,end,8
38.0,end,8
49.0,end,8
55.0,end,8
60.0,end,8
65.0,end,8
72.0,end,8
78.0,end,8
82.0,end,8
43.0,end,8
200.0,end,8
400.0,end,8
212.0,end,8
322.0,end,8
327.0,end,8
332.0,end,8
336.0,end,8
342.0,end,8
347.0,end,8
352.0,end,8
317.0,end,8
358.0,end,8
367.0,end,8
373.0,end,8
377.0,end,8
386.0,end,8
390.0,end,8
378.0,start,8
408.0,end,8
363.0,end,8
207.0,end,8
312.0,end,8
301.0,end,8
216.0,end,8
223.0,end,8
228.0,end,8
233.0,end,8
240.0,end,8
245.0,end,8
250.0,end,8
307.0,end,8
256.0,end,8
267.0,end,8
270.0,end,8
276.0,end,8
280.0,end,8
286.0,end,8
291.0,end,8
296.0,end,8
261.0,end,8
374.0,start,8
7.0,end,8
364.0,start,8
61.0,start,8
66.0,start,8
73.0,start,8
79.0,start,8
83.0,start,8
89.0,start,8
94.0,start,8
56.0,start,8
100.0,start,8
111.0,start,8
118.0,start,8
121.0,start,8
130.0,start,8
133.0,start,8
139.0,start,8
143.0,start,8
106.0,start,8
151.0,start,8
44.0,start,8
31.0,start,8
368.0,start,8
2.0,outsider,8
89.0,outsider,8
94.0,outsider,8
161.0,outsider,8
391.0,outsider,8
7.0,outsider,8
39.0,start,8
93.0,outsider,8
163.0,outsider,8
400.0,outsider,8
2.0,start,8
8.0,start,8
14.0,start,8
19.0,start,8
28.0,start,8
99.0,outsider,8
156.0,start,8
50.0,start,8
164.0,start,8
281.0,start,8
287.0,start,8
292.0,start,8
297.0,start,8
302.0,start,8
308.0,start,8
318.0,start,8
277.0,start,8
323.0,start,8
333.0,start,8
337.0,start,8
343.0,start,8
348.0,start,8
353.0,start,8
161.0,start,8
359.0,start,8
328.0,start,8
271.0,start,8
313.0,start,8
268.0,start,8
171.0,start,8
178.0,start,8
183.0,start,8
189.0,start,8
196.0,start,8
208.0,start,8
213.0,start,8
217.0,start,8
201.0,start,8
229.0,start,8
234.0,start,8
241.0,start,8
246.0,start,8
251.0,start,8
224.0,start,8
257.0,start,8
262.0,start,8
118.0,end,9
149.0,end,9
146.0,end,9
140.0,end,9
127.0,end,9
123.0,end,9
154.0,end,9
136.0,end,9
161.0,end,9
202.0,end,9
174.0,end,9
180.0,end,9
187.0,end,9
191.0,end,9
196.0,end,9
212.0,end,9
206.0,end,9
112.0,end,9
169.0,end,9
105.0,end,9
438.0,start,9
94.0,end,9
218.0,end,9
422.0,start,9
433.0,start,9
4.0,end,9
7.0,end,9
13.0,end,9
19.0,end,9
24.0,end,9
98.0,end,9
32.0,end,9
45.0,end,9
54.0,end,9
59.0,end,9
64.0,end,9
72.0,end,9
79.0,end,9
87.0,end,9
91.0,end,9
37.0,end,9
221.0,end,9
432.0,end,9
231.0,end,9
349.0,end,9
352.0,end,9
357.0,end,9
362.0,end,9
367.0,end,9
372.0,end,9
379.0,end,9
384.0,end,9
346.0,end,9
389.0,end,9
404.0,end,9
408.0,end,9
418.0,end,9
421.0,end,9
437.0,end,9
444.0,end,9
27.0,rises,9
419.0,start,9
394.0,end,9
227.0,end,9
340.0,end,9
330.0,end,9
236.0,end,9
242.0,end,9
246.0,end,9
251.0,end,9
259.0,end,9
263.0,end,9
268.0,end,9
272.0,end,9
334.0,end,9
277.0,end,9
288.0,end,9
293.0,end,9
298.0,end,9
302.0,end,9
308.0,end,9
313.0,end,9
319.0,end,9
325.0,end,9
284.0,end,9
409.0,start,9
41.0,rises,9
