value,type,lineage_ID
0,outsider,1
1235,end,1
1289,end,1
1344,end,1
1408,end,1
1477,end,1
1562,end,1
1186,end,1
1648,end,1
1782,end,1
1892,end,1
1938,end,1
1987,end,1
2088,end,1
2119,end,1
1723,end,1
2198,end,1
1061,end,1
936,end,1
4567,start,1
73,end,1
177,end,1
210,end,1
264,end,1
341,end,1
993,end,1
402,end,1
554,end,1
604,end,1
677,end,1
761,end,1
813,end,1
871,end,1
468,end,1
2237,end,1
2302,end,1
2430,end,1
3791,end,1
3837,end,1
3899,end,1
3958,end,1
4043,end,1
4120,end,1
3736,end,1
4189,end,1
4334,end,1
4386,end,1
4433,end,1
4506,end,1
4566,end,1
4643,end,1
4288,end,1
3682,end,1
3581,end,1
3527,end,1
2479,end,1
2578,end,1
2654,end,1
2715,end,1
2831,end,1
2867,end,1
2904,end,1
3000,end,1
3038,end,1
3117,end,1
3165,end,1
3237,end,1
3296,end,1
3444,end,1
3498,end,1
4507,start,1
4434,start,1
2382,end,1
4335,start,1
872,start,1
937,start,1
994,start,1
1062,start,1
1187,start,1
1236,start,1
762,start,1
1290,start,1
1409,start,1
1478,start,1
1563,start,1
1649,start,1
1724,start,1
1783,start,1
1345,start,1
1893,start,1
678,start,1
555,start,1
4387,start,1
178,outsider,1
3297,outsider,1
73,outsider,1
210,outsider,1
3444,outsider,1
605,start,1
0,start,1
178,start,1
211,start,1
265,start,1
342,start,1
403,start,1
469,start,1
74,start,1
1939,start,1
814,start,1
3582,start,1
3297,start,1
3445,start,1
3499,start,1
3528,start,1
3683,start,1
3737,start,1
3792,start,1
3838,start,1
3900,start,1
3959,start,1
4044,start,1
4121,start,1
4190,start,1
1988,start,1
4289,start,1
3166,start,1
3118,start,1
3238,start,1
3039,start,1
2089,start,1
2120,start,1
2199,start,1
2238,start,1
2303,start,1
2383,start,1
2480,start,1
2579,start,1
2431,start,1
2716,start,1
2832,start,1
2868,start,1
2905,start,1
3001,start,1
2655,start,1
1112,end,2
1203,end,2
1491,end,2
1293,end,2
1371,end,2
1442,end,2
1554,end,2
4406,start,2
1707,end,2
1759,end,2
1834,end,2
1924,end,2
1987,end,2
1042,end,2
2051,end,2
1636,end,2
979,end,2
4497,start,2
856,end,2
2185,end,2
4556,start,2
4606,start,2
104,end,2
144,end,2
184,end,2
265,end,2
341,end,2
415,end,2
443,end,2
490,end,2
557,end,2
662,end,2
722,end,2
799,end,2
911,end,2
2218,end,2
4605,end,2
2343,end,2
3763,end,2
3806,end,2
3905,end,2
4040,end,2
4078,end,2
4116,end,2
4146,end,2
4201,end,2
4261,end,2
4321,end,2
4405,end,2
4496,end,2
4555,end,2
4679,end,2
4322,start,2
3706,end,2
3650,end,2
3579,end,2
3494,end,2
2435,end,2
2493,end,2
2544,end,2
2618,end,2
2749,end,2
2782,end,2
2832,end,2
2264,end,2
2871,end,2
3045,end,2
3090,end,2
3145,end,2
3220,end,2
3274,end,2
3346,end,2
3424,end,2
2940,end,2
4262,start,2
1835,start,2
4147,start,2
444,start,2
491,start,2
558,start,2
663,start,2
723,start,2
800,start,2
857,start,2
912,start,2
980,start,2
1043,start,2
1113,start,2
1204,start,2
1294,start,2
1372,start,2
1443,start,2
416,start,2
1492,start,2
342,start,2
185,start,2
4202,start,2
2052,outsider,2
2219,outsider,2
2619,outsider,2
3906,outsider,2
4041,outsider,2
104,outsider,2
2185,outsider,2
2264,outsider,2
2749,outsider,2
4040,outsider,2
4078,outsider,2
0,start,2
105,start,2
145,start,2
266,start,2
1555,start,2
0,outsider,2
1708,start,2
3146,start,2
3221,start,2
3275,start,2
3347,start,2
3425,start,2
3495,start,2
3580,start,2
3651,start,2
3707,start,2
3764,start,2
3807,start,2
3906,start,2
4041,start,2
4079,start,2
1637,start,2
3091,start,2
3046,start,2
4117,start,2
2872,start,2
2941,start,2
1760,start,2
1925,start,2
1988,start,2
2052,start,2
2219,start,2
2265,start,2
2186,start,2
2436,start,2
2494,start,2
2545,start,2
2619,start,2
2750,start,2
2783,start,2
2833,start,2
2344,start,2
1444,end,3
1166,end,3
1251,end,3
1331,end,3
1373,end,3
1499,end,3
2057,end,3
1638,end,3
1708,end,3
1766,end,3
1844,end,3
1914,end,3
1988,end,3
2103,end,3
1564,end,3
1104,end,3
636,end,3
967,end,3
4579,start,3
2157,end,3
4612,start,3
60,end,3
69,end,3
226,end,3
263,end,3
1031,end,3
340,end,3
446,end,3
518,end,3
671,end,3
724,end,3
783,end,3
848,end,3
905,end,3
402,end,3
2284,end,3
3461,end,3
2386,end,3
3789,end,3
3885,end,3
3969,end,3
4012,end,3
4083,end,3
4161,end,3
4221,end,3
4281,end,3
4343,end,3
4428,end,3
4481,end,3
4578,end,3
4611,end,3
4663,end,3
4482,start,3
3714,end,3
2340,end,3
3659,end,3
3538,end,3
2426,end,3
2468,end,3
2536,end,3
2599,end,3
2674,end,3
2770,end,3
2819,end,3
2890,end,3
2987,end,3
3044,end,3
3090,end,3
3143,end,3
3212,end,3
3297,end,3
3368,end,3
3576,end,3
4429,start,3
1989,start,3
4282,start,3
725,start,3
784,start,3
849,start,3
906,start,3
968,start,3
1032,start,3
1105,start,3
1167,start,3
1252,start,3
1332,start,3
1374,start,3
1445,start,3
1500,start,3
1565,start,3
1639,start,3
672,start,3
1709,start,3
637,start,3
447,start,3
0,outsider,3
61,outsider,3
70,outsider,3
227,outsider,3
60,outsider,3
69,outsider,3
226,outsider,3
263,outsider,3
0,start,3
61,start,3
70,start,3
227,start,3
264,start,3
341,start,3
403,start,3
519,start,3
1767,start,3
4344,start,3
1915,start,3
3213,start,3
3298,start,3
3369,start,3
3462,start,3
3539,start,3
3660,start,3
3715,start,3
3790,start,3
3886,start,3
3970,start,3
4013,start,3
4084,start,3
4162,start,3
4222,start,3
1845,start,3
3144,start,3
3091,start,3
3577,start,3
2988,start,3
3045,start,3
2058,start,3
2104,start,3
2158,start,3
2285,start,3
2387,start,3
2427,start,3
2341,start,3
2537,start,3
2600,start,3
2675,start,3
2771,start,3
2820,start,3
2891,start,3
2469,start,3
994,end,4
1273,end,4
1929,end,4
1048,end,4
1113,end,4
1193,end,4
1326,end,4
1855,end,4
1470,end,4
1529,end,4
1589,end,4
1666,end,4
1730,end,4
1803,end,4
921,end,4
1396,end,4
861,end,4
4220,start,4
726,end,4
4166,start,4
2008,end,4
4307,start,4
4370,start,4
4430,start,4
4493,start,4
77,end,4
775,end,4
139,end,4
294,end,4
359,end,4
454,end,4
495,end,4
547,end,4
613,end,4
662,end,4
220,end,4
2055,end,4
3165,end,4
2166,end,4
3636,end,4
3706,end,4
3767,end,4
3822,end,4
3878,end,4
3951,end,4
4031,end,4
4130,end,4
4165,end,4
4219,end,4
4306,end,4
4369,end,4
4131,start,4
4492,end,4
4559,end,4
3586,end,4
3553,end,4
3515,end,4
3400,end,4
2230,end,4
2290,end,4
2352,end,4
2409,end,4
2471,end,4
2542,end,4
2603,end,4
2098,end,4
2711,end,4
2830,end,4
2919,end,4
2965,end,4
3010,end,4
3104,end,4
3254,end,4
3340,end,4
2748,end,4
4429,end,4
4032,start,4
3879,start,4
360,start,4
455,start,4
496,start,4
548,start,4
614,start,4
663,start,4
727,start,4
776,start,4
862,start,4
922,start,4
995,start,4
1049,start,4
1114,start,4
1194,start,4
1274,start,4
295,start,4
1327,start,4
221,start,4
78,start,4
3952,start,4
2009,outsider,4
2604,outsider,4
3166,outsider,4
3401,outsider,4
3516,outsider,4
3823,outsider,4
77,outsider,4
2055,outsider,4
2711,outsider,4
3254,outsider,4
3515,outsider,4
3553,outsider,4
3878,outsider,4
0,start,4
140,start,4
1397,start,4
0,outsider,4
1530,start,4
2920,start,4
2966,start,4
3011,start,4
3105,start,4
3166,start,4
3255,start,4
3341,start,4
3401,start,4
3516,start,4
3554,start,4
3587,start,4
3637,start,4
3707,start,4
3768,start,4
1471,start,4
2831,start,4
2749,start,4
3823,start,4
2604,start,4
1590,start,4
1667,start,4
1731,start,4
1804,start,4
1856,start,4
2712,start,4
2009,start,4
2056,start,4
1930,start,4
2167,start,4
2231,start,4
2291,start,4
2353,start,4
2410,start,4
2472,start,4
2543,start,4
2099,start,4
1235,end,5
1317,end,5
1362,end,5
1420,end,5
1524,end,5
1565,end,5
2147,end,5
1716,end,5
1752,end,5
1818,end,5
1908,end,5
1988,end,5
2028,end,5
2084,end,5
1616,end,5
1182,end,5
655,end,5
1010,end,5
2223,end,5
4513,start,5
70,end,5
168,end,5
221,end,5
289,end,5
362,end,5
423,end,5
525,end,5
575,end,5
686,end,5
744,end,5
808,end,5
877,end,5
952,end,5
1077,end,5
2296,end,5
3482,end,5
2421,end,5
3844,end,5
3925,end,5
3971,end,5
4017,end,5
4073,end,5
4128,end,5
3765,end,5
4191,end,5
4324,end,5
4388,end,5
4447,end,5
4512,end,5
4569,end,5
4448,start,5
4252,end,5
3686,end,5
3629,end,5
3550,end,5
2497,end,5
2546,end,5
2649,end,5
2718,end,5
2771,end,5
2841,end,5
2915,end,5
3037,end,5
3079,end,5
3147,end,5
3267,end,5
3290,end,5
3337,end,5
3372,end,5
3425,end,5
2349,end,5
4389,start,5
2029,start,5
4253,start,5
878,start,5
953,start,5
1011,start,5
1078,start,5
1183,start,5
1236,start,5
809,start,5
1318,start,5
1421,start,5
1525,start,5
1566,start,5
1617,start,5
1717,start,5
1753,start,5
1363,start,5
745,start,5
687,start,5
656,start,5
0,outsider,5
3148,outsider,5
3268,outsider,5
70,outsider,5
3267,outsider,5
3290,outsider,5
0,start,5
71,start,5
169,start,5
222,start,5
290,start,5
363,start,5
424,start,5
526,start,5
576,start,5
1819,start,5
1909,start,5
4325,start,5
3687,start,5
3338,start,5
3373,start,5
3426,start,5
3483,start,5
3551,start,5
3630,start,5
3291,start,5
3766,start,5
3926,start,5
3972,start,5
4018,start,5
4074,start,5
4129,start,5
4192,start,5
3845,start,5
3268,start,5
1989,start,5
3080,start,5
3148,start,5
2085,start,5
2148,start,5
2224,start,5
2297,start,5
2422,start,5
2498,start,5
2350,start,5
2650,start,5
2719,start,5
2772,start,5
2842,start,5
2916,start,5
3038,start,5
2547,start,5
1045,end,6
1389,end,6
1111,end,6
1170,end,6
1225,end,6
1343,end,6
1501,end,6
1937,end,6
1573,end,6
1639,end,6
1698,end,6
1736,end,6
1817,end,6
1887,end,6
1005,end,6
1533,end,6
935,end,6
4168,start,6
871,end,6
1975,end,6
4219,start,6
4292,start,6
4361,start,6
58,end,6
131,end,6
205,end,6
274,end,6
338,end,6
400,end,6
502,end,6
553,end,6
608,end,6
677,end,6
749,end,6
959,end,6
2055,end,6
3129,end,6
2139,end,6
3494,end,6
