value,type,lineage_ID
0,outsider,1
9,end,1
21,end,1
32,end,1
46,end,1
56,end,1
68,end,1
95,end,1
198,start,1
106,end,1
131,end,1
152,end,1
162,end,1
173,end,1
187,end,1
197,end,1
212,end,1
119,end,1
188,start,1
81,end,1
163,start,1
174,start,1
9,outsider,1
152,outsider,1
0,start,1
10,start,1
22,start,1
33,start,1
47,start,1
132,outsider,1
69,start,1
82,start,1
96,start,1
107,start,1
120,start,1
132,start,1
153,start,1
57,start,1
18,end,2
30,end,2
40,end,2
51,end,2
66,end,2
84,end,2
102,end,2
156,end,2
127,end,2
140,end,2
171,end,2
184,end,2
195,end,2
209,end,2
7,end,2
114,end,2
196,start,2
115,start,2
172,start,2
185,start,2
0,outsider,2
0,start,2
8,start,2
19,start,2
31,start,2
41,start,2
7,outsider,2
67,start,2
85,start,2
103,start,2
128,start,2
141,start,2
52,start,2
157,start,2
109,end,3
97,end,3
86,end,3
74,end,3
61,end,3
35,end,3
43,end,3
25,end,3
16,end,3
117,end,3
7,end,3
52,end,3
126,end,3
207,end,3
147,end,3
158,end,3
171,end,3
181,end,3
191,end,3
199,end,3
218,end,3
227,end,3
233,end,3
253,end,3
259,end,3
254,start,3
137,end,3
234,start,3
8,start,3
219,start,3
228,start,3
0,outsider,3
234,outsider,3
7,outsider,3
253,outsider,3
0,start,3
17,start,3
36,start,3
44,start,3
53,start,3
62,start,3
75,start,3
26,start,3
98,start,3
208,start,3
87,start,3
192,start,3
182,start,3
172,start,3
159,start,3
200,start,3
148,start,3
138,start,3
127,start,3
118,start,3
110,start,3
98,end,4
88,end,4
78,end,4
67,end,4
57,end,4
27,end,4
36,end,4
245,start,4
17,end,4
7,end,4
107,end,4
44,end,4
116,end,4
257,end,4
137,end,4
147,end,4
158,end,4
169,end,4
180,end,4
192,end,4
201,end,4
213,end,4
220,end,4
231,end,4
244,end,4
232,start,4
126,end,4
221,start,4
128,end,4
202,start,4
0,outsider,4
127,outsider,4
129,outsider,4
7,outsider,4
128,outsider,4
137,outsider,4
0,start,4
18,start,4
28,start,4
37,start,4
45,start,4
214,start,4
58,start,4
8,start,4
79,start,4
68,start,4
181,start,4
170,start,4
159,start,4
148,start,4
138,start,4
193,start,4
127,start,4
117,start,4
108,start,4
99,start,4
89,start,4
129,start,4
143,end,5
133,end,5
123,end,5
115,end,5
103,end,5
93,end,5
49,end,5
71,end,5
60,end,5
40,end,5
27,end,5
18,end,5
80,end,5
155,end,5
296,end,5
175,end,5
184,end,5
197,end,5
209,end,5
220,end,5
230,end,5
241,end,5
252,end,5
262,end,5
271,end,5
283,end,5
292,end,5
8,end,5
164,end,5
284,start,5
293,start,5
263,start,5
272,start,5
0,outsider,5
293,outsider,5
8,outsider,5
296,outsider,5
0,start,5
9,start,5
19,start,5
28,start,5
50,start,5
61,start,5
72,start,5
81,start,5
94,start,5
104,start,5
41,start,5
124,start,5
116,start,5
253,start,5
242,start,5
231,start,5
221,start,5
198,start,5
210,start,5
176,start,5
165,start,5
156,start,5
144,start,5
134,start,5
185,start,5
84,end,6
127,end,6
116,end,6
103,end,6
94,end,6
73,end,6
292,start,6
54,end,6
44,end,6
33,end,6
22,end,6
12,end,6
137,end,6
62,end,6
151,end,6
291,end,6
173,end,6
182,end,6
192,end,6
202,end,6
212,end,6
225,end,6
231,end,6
241,end,6
253,end,6
264,end,6
295,end,6
276,end,6
288,end,6
289,start,6
162,end,6
277,start,6
12,outsider,6
254,start,6
265,start,6
0,outsider,6
289,outsider,6
292,outsider,6
291,outsider,6
295,outsider,6
0,start,6
13,start,6
23,start,6
45,start,6
55,start,6
63,start,6
74,start,6
85,start,6
34,start,6
104,start,6
242,start,6
95,start,6
226,start,6
213,start,6
203,start,6
193,start,6
183,start,6
232,start,6
163,start,6
152,start,6
138,start,6
128,start,6
117,start,6
174,start,6
25,end,7
37,end,7
49,end,7
64,end,7
76,end,7
112,end,7
99,end,7
128,end,7
139,end,7
14,end,7
86,end,7
129,start,7
14,outsider,7
100,start,7
87,start,7
77,start,7
65,start,7
50,start,7
38,start,7
26,start,7
15,start,7
0,start,7
0,outsider,7
113,start,7
25,end,8
37,end,8
48,end,8
61,end,8
14,end,8
95,end,8
102,end,8
128,end,8
140,end,8
76,end,8
129,start,8
115,end,8
103,start,8
