param1,param2,variable,n,generation,gamma_ta,label
div_then_fold,div_then_fold,$\overline{f_n e^{\phi_{n+1}}}$,54,NA,0.0013100635433545048,Trace
div_then_fold,div_and_fold,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f_n e^{\phi_{n}}}$)$",54,NA,0.000235452452979489,Trace
div_then_fold,fold_then_div,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f_{n+1} e^{\phi_n}}$)$",54,NA,0.0007799091075026425,Trace
div_then_fold,fold_growth,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\phi}$)$",54,NA,0.00031478222216029954,Trace
div_then_fold,division_ratio,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f}$)$",54,NA,2.284155245929158e-05,Trace
div_then_fold,added_length,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\Delta}$)$",54,NA,0.0019816312662524196,Trace
div_then_fold,generationtime,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\tau}$)$",54,NA,0.00029929923191321286,Trace
div_then_fold,length_birth,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{x_0}$)$",54,NA,0.002173814411013482,Trace
div_then_fold,length_final,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{x_\tau}$)$",54,NA,0.0027739912523770827,Trace
div_then_fold,growth_rate,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\alpha}$)$",54,NA,0.0001464724692986359,Trace
div_then_fold,div_then_fold,$\overline{f_n e^{\phi_{n+1}}}$,54,NA,0.0013100635433545048,Trace
div_then_fold,div_and_fold,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f_n e^{\phi_{n}}}$)$",54,NA,0.000235452452979489,Trace
div_then_fold,fold_then_div,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f_{n+1} e^{\phi_n}}$)$",54,NA,0.0007799091075026425,Trace
div_then_fold,fold_growth,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\phi}$)$",54,NA,0.00031478222216029954,Trace
div_then_fold,division_ratio,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f}$)$",54,NA,2.284155245929158e-05,Trace
div_then_fold,added_length,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\Delta}$)$",54,NA,0.0019816312662524196,Trace
div_then_fold,generationtime,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\tau}$)$",54,NA,0.00029929923191321286,Trace
div_then_fold,length_birth,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{x_0}$)$",54,NA,0.002173814411013482,Trace
div_then_fold,length_final,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{x_\tau}$)$",54,NA,0.0027739912523770827,Trace
div_then_fold,growth_rate,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\alpha}$)$",54,NA,0.0001464724692986359,Trace
div_and_fold,div_and_fold,$\overline{f_n e^{\phi_{n}}}$,54,NA,0.0008803495896545657,Trace
div_and_fold,fold_then_div,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{f_{n+1} e^{\phi_n}}$)$",54,NA,5.606296770695122e-07,Trace
div_and_fold,fold_growth,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\phi}$)$",54,NA,0.0016579003541295555,Trace
div_and_fold,division_ratio,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{f}$)$",54,NA,-0.0027875780124620407,Trace
div_and_fold,added_length,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\Delta}$)$",54,NA,-0.0006407567970661022,Trace
div_and_fold,generationtime,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\tau}$)$",54,NA,0.0012367309867575647,Trace
div_and_fold,length_birth,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{x_0}$)$",54,NA,-0.003379881796521539,Trace
div_and_fold,length_final,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{x_\tau}$)$",54,NA,-0.0023169017222289465,Trace
div_and_fold,growth_rate,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\alpha}$)$",54,NA,0.00079630055313097,Trace
div_then_fold,div_then_fold,$\overline{f_n e^{\phi_{n+1}}}$,54,NA,0.0013100635433545048,Trace
div_then_fold,div_and_fold,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f_n e^{\phi_{n}}}$)$",54,NA,0.000235452452979489,Trace
div_then_fold,fold_then_div,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f_{n+1} e^{\phi_n}}$)$",54,NA,0.0007799091075026425,Trace
div_then_fold,fold_growth,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\phi}$)$",54,NA,0.00031478222216029954,Trace
div_then_fold,division_ratio,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f}$)$",54,NA,2.284155245929158e-05,Trace
div_then_fold,added_length,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\Delta}$)$",54,NA,0.0019816312662524196,Trace
div_then_fold,generationtime,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\tau}$)$",54,NA,0.00029929923191321286,Trace
div_then_fold,length_birth,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{x_0}$)$",54,NA,0.002173814411013482,Trace
div_then_fold,length_final,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{x_\tau}$)$",54,NA,0.0027739912523770827,Trace
div_then_fold,growth_rate,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\alpha}$)$",54,NA,0.0001464724692986359,Trace
div_and_fold,div_and_fold,$\overline{f_n e^{\phi_{n}}}$,54,NA,0.0008803495896545657,Trace
div_and_fold,fold_then_div,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{f_{n+1} e^{\phi_n}}$)$",54,NA,5.606296770695122e-07,Trace
div_and_fold,fold_growth,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\phi}$)$",54,NA,0.0016579003541295555,Trace
div_and_fold,division_ratio,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{f}$)$",54,NA,-0.0027875780124620407,Trace
div_and_fold,added_length,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\Delta}$)$",54,NA,-0.0006407567970661022,Trace
div_and_fold,generationtime,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\tau}$)$",54,NA,0.0012367309867575647,Trace
div_and_fold,length_birth,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{x_0}$)$",54,NA,-0.003379881796521539,Trace
div_and_fold,length_final,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{x_\tau}$)$",54,NA,-0.0023169017222289465,Trace
div_and_fold,growth_rate,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\alpha}$)$",54,NA,0.00079630055313097,Trace
fold_then_div,fold_then_div,$\overline{f_{n+1} e^{\phi_n}}$,54,NA,0.0009229748346865619,Trace
fold_then_div,fold_growth,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{\phi}$)$",54,NA,0.00018205421816472447,Trace
fold_then_div,division_ratio,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{f}$)$",54,NA,0.00019167760005270906,Trace
fold_then_div,added_length,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{\Delta}$)$",54,NA,0.002116701960082386,Trace
fold_then_div,generationtime,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{\tau}$)$",54,NA,-2.3493672255337657e-05,Trace
fold_then_div,length_birth,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{x_0}$)$",54,NA,0.002803629910002054,Trace
fold_then_div,length_final,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{x_\tau}$)$",54,NA,0.003218546675844071,Trace
fold_then_div,growth_rate,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{\alpha}$)$",54,NA,0.0005554702355505162,Trace
div_then_fold,div_then_fold,$\overline{f_n e^{\phi_{n+1}}}$,54,NA,0.0013100635433545048,Trace
div_then_fold,div_and_fold,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f_n e^{\phi_{n}}}$)$",54,NA,0.000235452452979489,Trace
div_then_fold,fold_then_div,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f_{n+1} e^{\phi_n}}$)$",54,NA,0.0007799091075026425,Trace
div_then_fold,fold_growth,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\phi}$)$",54,NA,0.00031478222216029954,Trace
div_then_fold,division_ratio,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f}$)$",54,NA,2.284155245929158e-05,Trace
div_then_fold,added_length,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\Delta}$)$",54,NA,0.0019816312662524196,Trace
div_then_fold,generationtime,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\tau}$)$",54,NA,0.00029929923191321286,Trace
div_then_fold,length_birth,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{x_0}$)$",54,NA,0.002173814411013482,Trace
div_then_fold,length_final,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{x_\tau}$)$",54,NA,0.0027739912523770827,Trace
div_then_fold,growth_rate,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\alpha}$)$",54,NA,0.0001464724692986359,Trace
div_and_fold,div_and_fold,$\overline{f_n e^{\phi_{n}}}$,54,NA,0.0008803495896545657,Trace
div_and_fold,fold_then_div,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{f_{n+1} e^{\phi_n}}$)$",54,NA,5.606296770695122e-07,Trace
